"","gene","combined_p_val"
"1","Etnppl",0
"2","Itih3",0
"3","C030005K06Rik",0
"4","Gjb6",0
"5","Slc25a18",0
"6","Slc6a11",1.39668069056274e-297
"7","Atp13a4",8.33314587051281e-287
"8","Pdgfd",1.17449233915679e-276
"9","Fgfr3",2.3722018117962e-224
"10","Slc39a12",2.63181619842876e-184
"11","Nhsl1",8.34279197285103e-167
"12","Slc7a10",3.74707875887997e-165
"13","Gm33680",8.78728976546006e-164
"14","Psd2",4.43367309087659e-162
"15","Fam20a",1.11833135981257e-160
"16","Kank1",3.34583680590501e-155
"17","Acss3",1.96659297132613e-150
"18","Bmpr1b",5.24843030790153e-147
"19","Adcy8",2.71725559156248e-139
"20","Lhfp",3.76506821107909e-138
"21","Acsbg1",1.91550506715166e-130
"22","Gli2",7.87837778532593e-130
"23","Ccdc141",8.39206984253946e-127
"24","Lrig1",1.97560909939613e-125
"25","Pla2g7",1.68160183780308e-123
"26","Id2",7.04639263653452e-123
"27","Gpld1",9.19258525840104e-123
"28","Hrh1",3.08208384562326e-122
"29","Spon1",1.70842707203736e-120
"30","Atp1a2",1.98509310435074e-119
"31","Prrx1",5.52383565767537e-117
"32","Cyp2j9",4.47979879859888e-116
"33","Rgs6",4.21064980456068e-114
"34","Ntsr2",5.36674396410689e-114
"35","Gm6145",5.80415735547639e-113
"36","Mcc",5.09601749595441e-112
"37","Atp1b2",2.30359813781157e-110
"38","Nwd1",4.75430904111229e-110
"39","Gm26703",5.17837541692209e-110
"40","Tnfaip8",1.39657152358746e-108
"41","Ndrg2",4.0655944676065e-108
"42","Sparcl1",5.34468678758473e-108
"43","Rmst",7.19019168354232e-105
"44","Aldoc",1.24545734910951e-104
"45","Rorb",1.75685185939859e-103
"46","Gm40578",4.30513141439165e-103
"47","Sox6",9.66434550223642e-103
"48","Slc25a21",1.32643246149816e-102
"49","Eps8",1.1901602022837e-96
"50","F3",2.98477473639697e-96
"51","Plpp3",2.37725847518499e-95
"52","Grk3",7.30533918435361e-95
"53","Plce1",9.68416955743648e-94
"54","Sparc",2.89334815489453e-92
"55","Gpc5",4.24508621346721e-92
"56","Mtss2",5.31291512059451e-92
"57","Acot11",9.32052167304502e-86
"58","Gm20713",1.98399718518629e-85
"59","Farp1",2.34529502201202e-85
"60","Phkg1",1.25064209280181e-84
"61","Phka1",1.67832199277125e-83
"62","Kcnj10",3.07765497509035e-83
"63","Adhfe1",4.09200288703493e-83
"64","Eva1a",5.04347707031982e-82
"65","Rfx4",5.98706062623898e-82
"66","Itga6",3.15816623995194e-81
"67","Dpf3",6.22509044149766e-80
"68","Plcb4",1.6428926436561e-79
"69","Paqr8",2.86364882441683e-78
"70","Htra1",4.87253701026299e-78
"71","Camk2g",5.57944958596397e-78
"72","Palld",9.90065270653348e-78
"73","Bcan",1.49607429957076e-77
"74","Dbx2",3.36016892955104e-76
"75","Frmpd1",6.15178677698186e-75
"76","Pard3b",2.13557998428909e-74
"77","Adcy2",1.02588406403426e-73
"78","Cables1",1.73443728699586e-73
"79","Aldh1l1",6.85181850481198e-73
"80","Slc1a2",2.19015495699157e-72
"81","Ptprz1",3.45416850611779e-72
"82","Ednrb",5.58465655005448e-72
"83","Cpq",6.80704239621635e-72
"84","Slc15a2",1.77873972251682e-71
"85","Arhgef26",5.3732977260784e-71
"86","Nxn",2.30114924619832e-70
"87","Egfr",3.37203968282626e-70
"88","2310022B05Rik",1.10569265915824e-69
"89","Fgd6",1.39644716069975e-69
"90","Tcf7l2",2.74815785968983e-69
"91","Gm973",2.75771115225292e-68
"92","Gm12239",5.24510339345035e-68
"93","B930095G15Rik",4.97169036969928e-67
"94","Csgalnact1",5.06097975487889e-65
"95","Prex2",9.05752550898762e-65
"96","Slc1a3",1.03840911228842e-64
"97","Sall2",2.0374271308748e-64
"98","Arhgef19",7.64595350930679e-64
"99","Mmd2",2.50487680105585e-62
"100","Npas3",1.00933477719753e-61
"101","Pygb",1.55436023698394e-61
"102","Lama2",5.41229722140775e-61
"103","Cyp2d22",9.01661063935104e-61
"104","Glud1",1.63271383026903e-60
"105","Ptch1",6.53701952069316e-60
"106","Maml2",7.78816256896504e-60
"107","Rgma",3.75590643066407e-58
"108","Agl",1.02227621563349e-56
"109","Acss1",2.31180628997316e-56
"110","Trpm3",5.60010286791997e-56
"111","Gm3764",5.8905083269666e-56
"112","Plcd4",6.54753734627013e-56
"113","Myo10",1.50606836991233e-55
"114","Gramd3",3.38493689091033e-55
"115","Mical2",2.3523710725862e-54
"116","Zfp423",1.09158516311384e-53
"117","Gm21798",2.0781513664583e-53
"118","Acsl3",2.69382306271596e-53
"119","Sfxn5",6.45692112191626e-53
"120","Tmc7",5.97051870502269e-51
"121","Pitpnc1",9.32949986091377e-51
"122","Gabbr2",2.33645384210631e-50
"123","Tprkb",8.65869775028315e-50
"124","Slc4a4",2.96956200236558e-49
"125","Nfib",4.61806551076511e-49
"126","S1pr1",4.76796259557001e-49
"127","Gm11713",5.27085290208684e-49
"128","Sash1",2.0982896272986e-48
"129","Slc27a1",2.6274215742933e-48
"130","Cbs",6.22276463096355e-48
"131","Nim1k",9.81436909973416e-48
"132","Cep85l",1.98952991197014e-47
"133","Nfia",9.44462813704949e-47
"134","Ddhd1",1.43282129581041e-46
"135","Appl2",2.40390976841396e-45
"136","Glis3",1.24598615472909e-44
"137","Trib2",5.39931771592944e-44
"138","Gabrb1",2.49996393921721e-43
"139","Nrxn1",1.0550890440133e-42
"140","Itpr2",1.48862350896917e-42
"141","Rftn2",2.98995431883714e-42
"142","Asrgl1",8.06585803890175e-42
"143","Msi2",1.60945524590516e-41
"144","Tom1l1",3.08753016421092e-41
"145","Pbx1",3.95012811672301e-41
"146","Mir99ahg",8.60740174429727e-41
"147","Fmn2",1.19978302436813e-40
"148","Wwc1",1.50716505391385e-40
"149","Hacd2",1.52174441457622e-40
"150","Gm9925",5.2750264210348e-40
"151","Cpe",6.64894598450379e-40
"152","Nrcam",2.05325574060642e-39
"153","Arhgef4",5.35777459533135e-39
"154","Trps1",5.96527125754669e-39
"155","Ctnnd2",8.08925358241155e-39
"156","Macf1",1.06962508722759e-38
"157","Mfn1",2.5689227692325e-38
"158","Hdac8",2.93750319595568e-38
"159","Znrf3",4.19139048596775e-37
"160","Ntm",4.34004428306807e-37
"161","Glul",1.85951696190443e-36
"162","Pnpla7",4.26293303730787e-36
"163","Aifm3",4.37634036111098e-36
"164","Fry",4.38511193138325e-36
"165","Lsamp",1.09608300548219e-35
"166","Phyhipl",1.42396400262631e-35
"167","Acsl6",1.77342771432393e-35
"168","Rora",1.96861579708126e-35
"169","Cdh19",2.96060482216976e-35
"170","Bcl2",1.02189806279919e-34
"171","Ston2",1.69931814354163e-34
"172","Gli3",6.46364471065795e-34
"173","Abr",8.17182026787108e-34
"174","Wdr17",8.9523784600236e-34
"175","Bcar3",1.68733331043012e-33
"176","Fut9",1.86038586189615e-33
"177","Mdga2",5.23844667237775e-33
"178","Dtna",9.27854400627391e-33
"179","Carmil1",9.49031845878719e-33
"180","Eps15",1.23207218773997e-32
"181","Cdh20",1.44351098495811e-32
"182","Tnik",4.67752879072435e-32
"183","Gm11714",5.47213285626873e-32
"184","Atl2",1.2978506407019e-31
"185","Zbtb20",3.27011177720559e-31
"186","Tspan9",7.55741148395034e-31
"187","Gna13",8.64773604392336e-31
"188","Zfp521",1.24939413989033e-30
"189","Gk",1.5871227454857e-30
"190","Hepacam",2.34629117848307e-30
"191","Myo6",2.48137569899782e-30
"192","St3gal4",1.04571618427251e-29
"193","Abca1",1.19170220438883e-29
"194","Vav3",2.24672639885791e-29
"195","Vegfa",3.93920787352312e-29
"196","Ahcyl1",6.17779105380535e-29
"197","Lpp",2.48064563780911e-28
"198","Arhgef12",2.77151122277089e-28
"199","Smox",3.31162834323909e-28
"200","Ghr",1.08081169066673e-26
"201","Caskin1",3.77626528298495e-26
"202","Trim9",5.44300626367389e-26
"203","Fam228b",6.5127863038715e-26
"204","Rhoq",9.0111617572139e-26
"205","Ncam1",1.11787803464579e-25
"206","Zfp608",2.94829893075541e-25
"207","Ivd",3.67868268422672e-25
"208","Dock4",4.11905129868784e-25
"209","Chpt1",1.32319435485741e-24
"210","Ntrk2",1.46164898307784e-24
"211","Nebl",2.18985559996993e-24
"212","Son",3.23869845726647e-24
"213","Tmtc2",4.45014421283359e-24
"214","Arhgap5",1.02168331240466e-23
"215","Dock1",1.69243916096734e-23
"216","Klf12",2.14985563947894e-23
"217","Cpeb4",3.20844871235448e-23
"218","Cuedc1",6.57094280202462e-23
"219","Sorbs1",7.48814503165614e-23
"220","Il18",9.58401997462782e-23
"221","Chd9",1.20805488879042e-22
"222","Itsn1",2.21079902475349e-22
"223","Tox",2.45141752678538e-22
"224","Zhx2",2.52955573453721e-22
"225","Soat1",2.58552261781538e-22
"226","Snta1",2.61850908778654e-22
"227","Qk",4.53229223683224e-22
"228","Ncoa1",4.83158423014862e-22
"229","Srgap1",7.49932168707815e-22
"230","Phyhd1",2.09942496140982e-21
"231","Gsdme",1.26060959710418e-20
"232","Serpine2",5.40769695343971e-20
"233","Cdh10",7.96393796110003e-20
"234","Mt3",1.31508811730952e-19
"235","Abhd3",3.16927567419802e-19
"236","4930402H24Rik",7.51823952297335e-19
"237","Limk2",3.75649041906666e-18
