"","gene","combined_p_val"
"256","Gfap",0
"257","8030451A03Rik",0
"258","Tnc",1.66238674303032e-249
"259","Pdgfd",3.02117428251846e-222
"260","Aqp4",8.05526639420075e-210
"261","Adamts9",1.97883468012237e-196
"262","Id3",2.53362562707754e-187
"263","Igfbp5",3.47249336497021e-171
"264","Bmpr1b",5.69786355525861e-166
"265","Slc7a11",7.09969538586475e-164
"266","Gja1",4.00383440698115e-162
"267","Gm10561",1.99244877984293e-161
"268","Gli2",3.01688913546713e-133
"269","Glis3",6.08600292299191e-128
"270","Pdzrn3",4.9717416984654e-124
"271","Gm6145",5.44548895476087e-124
"272","Slc39a12",8.5422834050176e-124
"273","Gm973",2.96965030849339e-121
"274","Rorb",7.60035514143943e-120
"275","Gm14964",3.54886145205574e-119
"276","Nxn",7.68334910300951e-112
"277","Atp1a2",1.47546693685311e-107
"278","Fads2",5.95723789547078e-107
"279","Fgfr3",3.80600781917464e-103
"280","Arhgef26",4.11954055700587e-103
"281","Acsbg1",3.47999573802136e-101
"282","Mlc1",2.83124270963069e-100
"283","Prdm16",8.31699630742218e-100
"284","Sparcl1",5.07715090003415e-98
"285","Farp1",6.16578880447909e-98
"286","Plpp3",3.21570370832905e-95
"287","Atp1b2",6.75684524226383e-95
"288","Lgi4",2.01523761851301e-94
"289","Pard3b",2.80288211998235e-94
"290","Cyp2d22",5.55543417641145e-93
"291","Sox9",9.13544268946104e-92
"292","Nwd1",1.45469707719159e-91
"293","Dbx2",1.14672138463844e-88
"294","Phkg1",4.04166594506058e-87
"295","Slc1a2",2.05571825787609e-86
"296","F3",9.87686494325382e-86
"297","Mcc",1.83501823085064e-84
"298","Nckap5",8.10878359176067e-84
"299","Bcan",1.30495188503334e-82
"300","Gm5089.1",5.46812754314116e-82
"301","Wwtr1",2.59768294857243e-81
"302","Ccdc190",2.14686115166195e-80
"303","Eya4",1.73760507563277e-79
"304","Sox6",2.21498524408967e-79
"305","Palld",3.9101505835089e-79
"306","Clu",5.31999732101688e-78
"307","Gm5089",1.91270461242423e-77
"308","9530026P05Rik",7.68736564013893e-77
"309","Ntsr2",2.45353632100812e-76
"310","Prex2",4.07937612979545e-76
"311","Gm4876",4.89386791728992e-75
"312","Adcy2",2.03461444388281e-74
"313","Nhsl1",4.89703479507696e-74
"314","Lama2",1.08262201361823e-73
"315","E130114P18Rik",2.35018886121235e-72
"316","Phka1",3.04149346949655e-72
"317","Grk3",3.63216727517199e-72
"318","Rfx4",2.060805688442e-71
"319","Egfr",2.30963527899453e-71
"320","Ndrg2",8.55659458911532e-71
"321","Zfpm2",2.66076467813083e-70
"322","Ddah1",1.70216045091389e-69
"323","Tprkb",3.09547156406562e-69
"324","Pbxip1",1.14170997271708e-68
"325","Fgd6",2.44849758803788e-67
"326","Ptprz1",7.1073059990434e-67
"327","Acss1",1.21585390929268e-65
"328","Arhgef4",1.07917962563546e-62
"329","Prdx6",1.43112048634294e-62
"330","Pygb",2.74049785445251e-62
"331","Notch1",9.98841075132857e-62
"332","Maml2",1.12091810239146e-61
"333","Slc1a3",3.07631801574746e-61
"334","Gpam",1.81705469818457e-60
"335","Prrx1",2.38502188314559e-60
"336","Ednrb",2.6333074354815e-60
"337","Gm9925",2.4406988552338e-58
"338","Gramd3",2.97568555029151e-58
"339","Gm40578",7.78631462614551e-58
"340","Scg3",1.3584954405207e-57
"341","Acsl3",2.30991859265787e-57
"342","Padi2",1.76290911199205e-55
"343","Gm11266",1.88278747203412e-55
"344","Tead1",4.74569893761757e-55
"345","Rftn2",7.59631404044023e-55
"346","Mt1",9.19520651386698e-55
"347","Apoe",1.58381691228146e-54
"348","Lhfp",8.63523695696038e-54
"349","Cpe",1.14296231495405e-53
"350","Nfib",5.28289466098184e-53
"351","Msi2",6.40427479092511e-53
"352","Zfp36l1",1.38486617680894e-52
"353","Zbtb20",1.4970063936884e-52
"354","Mmd2",1.72663431079476e-51
"355","Dtna",1.96775676140849e-51
"356","Rgs20",3.1094425722881e-50
"357","Pbx1",3.12179358972195e-50
"358","Nfia",4.33210836923016e-50
"359","Npas3",7.99275840266021e-50
"360","Lrp4",1.09643733494622e-49
"361","Paqr8",1.2070092727845e-49
"362","Sfxn5",1.9510106949629e-48
"363","Plce1",3.74228330229464e-48
"364","Clybl",5.12688153016314e-48
"365","Gabrb1",1.09034050446909e-47
"366","Tmem47",4.29904163239089e-47
"367","Asrgl1",1.28031359894614e-46
"368","Gm3764",2.73144855329188e-46
"369","Pnpla7",8.44842526596488e-46
"370","Camk2g",4.01160086440755e-45
"371","Rgma",1.2209001165235e-44
"372","Pdlim5",2.74613175321189e-44
"373","Mir99ahg",4.00972760444428e-44
"374","Adhfe1",4.9169983097065e-44
"375","Gm31356",9.1237504494506e-44
"376","Gm12239",2.49991409454805e-43
"377","Pitpnc1",3.10158568273714e-42
"378","Hdac8",4.15751602525253e-42
"379","Nrxn1",8.88835123085701e-42
"380","Wdr17",1.11263640184592e-41
"381","Tcf7l1",1.87182668436031e-41
"382","Tox",2.26806815668183e-40
"383","Ntm",7.93986800452934e-40
"384","Ttc28",9.53391300977553e-40
"385","Bcar3",1.47236201430854e-38
"386","Glud1",1.53553743414341e-38
"387","Ugp2",1.58590576949317e-38
"388","Ptprt",6.28692171656247e-37
"389","Trps1",2.63178364112755e-36
"390","Cyp2j9",3.0020753431024e-36
"391","Id4",3.4282240410606e-36
"392","Ddhd1",4.075177179209e-36
"393","Mir100hg",6.1449311512097e-36
"394","Hepacam",1.36372096882177e-35
"395","Ntrk2",2.69610226758971e-35
"396","Fmn2",7.66156863493796e-35
"397","Tcf7l2",1.72786412829898e-34
"398","Gli3",2.25241694697164e-34
"399","Mtss2",5.75284589763291e-34
"400","Cspg5",1.05329597236416e-33
"401","Cd63",1.5810320841928e-33
"402","Son",2.69105187399158e-32
"403","Ctnnd2",2.07053293779437e-31
"404","Zfp521",1.03720516641459e-30
"405","Macf1",1.90822711175396e-30
"406","Sash1",5.03542704271458e-30
"407","Klf12",3.68829189452875e-29
"408","Zhx2",2.30824442592276e-28
"409","Glul",6.12003980997135e-28
"410","Mgat5",7.74879112064934e-28
"411","Lpp",1.19360899960283e-27
"412","Lix1",1.91812525550413e-27
"413","Fars2",3.00019328263699e-27
"414","Tnfrsf19",4.60931383239264e-27
"415","Slc27a1",4.66047921773352e-27
"416","Tspan9",5.63498298098203e-27
"417","Myo10",6.12551290824111e-27
"418","Vcl",2.1268605925769e-26
"419","Ttyh1",4.01040505666915e-26
"420","Gm35188",5.52243224456809e-25
"421","A330093E20Rik",2.45643398735742e-24
"422","Pacrg",2.66242227212803e-24
"423","Ppp2r2b",5.27197412116862e-24
"424","Tcf4",1.43385256784642e-22
"425","Nrcam",2.00029826325003e-22
"426","Sugct",2.66041291231408e-22
"427","Bcl2",3.23764865665532e-22
"428","Hnrnpa2b1",4.31439242390479e-22
"429","Myo6",9.73528337275726e-22
"430","Add3",1.80211730785304e-21
"431","Bmpr1a",1.60758134401031e-20
"432","Eda",1.96619852571397e-20
"433","Csrp1",3.04372051611112e-20
"434","Stard13",3.75430762300974e-20
"435","Phyhipl",9.64091341505014e-20
"436","Dock1",5.47198180766532e-19
"437","Abca1",1.15791734145295e-18
"438","Dclk1",1.85152768741078e-18
"439","Lncppara",2.54940744480429e-18
"440","C130071C03Rik",3.67201308247524e-18
"441","Rasa2",5.37140974736221e-18
"442","Mir9-3hg",2.060315477518e-17
"443","Hes5",1.19546307232373e-16
"444","Itsn1",1.16110375454717e-15
"445","2610035D17Rik",1.62274724328002e-15
"446","Arap2",2.23529612709485e-15
"447","Gm48742",4.78136131521808e-15
"448","Zfp608",6.71150571524006e-15
"449","Ptn",3.10313566219663e-13
"450","Kcnn2",2.74683818190312e-12
"451","Eps15",4.72533227009055e-12
"452","St3gal4",2.70502365480381e-11
"453","Pou2f1",2.73489590872839e-09
"454","Rnf180",3.54582501941371e-09
"455","Cyp7b1",2.23164647128439e-08
"456","Mgll",1.67478354734126e-06
