"","gene","combined_p_val"
"457","Rgs20",0
"458","Adhfe1",0
"459","Prex2",0
"460","Paqr8",0
"461","Arhgef4",0
"462","Pantr2",0
"463","Rftn2",0
"464","Gm973",0
"465","Sumo1",0
"466","Pard3b",0
"467","Plcd4",0
"468","Acsl3",0
"469","Utp14b",0
"470","Cdh20",0
"471","Bcl2",0
"472","Gli2",0
"473","Celrr",0
"474","Nckap5",0
"475","Gpr37l1",0
"476","Csrp1",0
"477","Glul",0
"478","Fam163a",0
"479","Prdx6",0
"480","Prrx1",0
"481","Pbx1",0
"482","Atp1a2",0
"483","Fmn2",0
"484","Frmd4a",0
"485","Slc39a12",0
"486","Pnpla7",0
"487","B3galt1",0
"488","Itga6",0
"489","Ccdc141",0
"490","Lrp4",0
"491","Slc1a2",0
"492","Gm13872",0
"493","Mertk",0
"494","4930402H24Rik",0
"495","Acss1",0
"496","Pygb",0
"497","Ptprt",0
"498","Phactr3",0
"499","Cyp7b1",0
"500","Tnik",0
"501","Slc7a11",0
"502","Lhfp",0
"503","Dclk1",0
"504","Wwtr1",0
"505","Arhgef26",0
"506","Bcan",0
"507","Gm3764",0
"508","Pbxip1",0
"509","Ahcyl1",0
"510","S1pr1",0
"511","F3",0
"512","Bcar3",0
"513","Bmpr1b",0
"514","Pdlim5",0
"515","Ddah1",0
"516","Tox",0
"517","Pou3f2",0
"518","Frmpd1",0
"519","Nfib",0
"520","Gm11266",0
"521","Cyp2j9",0
"522","E130114P18Rik",0
"523","Nfia",0
"524","Plpp3",0
"525","Acot11",0
"526","Eps15",0
"527","Macf1",0
"528","Arhgef19",0
"529","Prdm16",0
"530","Hes5",0
"531","Grm3",0
"532","Fgfr3",0
"533","Gabrb1",0
"534","Slc4a4",0
"535","Ptpn13",0
"536","Sparcl1",0
"537","Grk3",0
"538","Phkg1",0
"539","Mmd2",0
"540","Stard13",0
"541","Ptprz1",0
"542","Ptn",0
"543","Gng12",0
"544","Tcf7l1",0
"545","Eva1a",0
"546","Sfxn5",0
"547","Tprkb",0
"548","Aldh1l1",0
"549","Irak2",0
"550","Slc6a11",0
"551","Cecr2",0
"552","Tspan9",0
"553","Slco1c1",0
"554","Itpr2",0
"555","9430041J12Rik",0
"556","Ttyh1",0
"557","Hif3a",0
"558","Apoe",0
"559","Lgi4",0
"560","Slc7a10",0
"561","Luzp2",0
"562","Rgma",0
"563","Mir9-3hg",0
"564","Swap70",0
"565","Mical2",0
"566","Sox6",0
"567","Fgfr2",0
"568","Htra1",0
"569","Dock1",0
"570","Insyn2a",0
"571","Slc7a2",0
"572","Wdr17",0
"573","Palld",0
"574","Cpe",0
"575","Slc27a1",0
"576","Nwd1",0
"577","4930488L21Rik",0
"578","Gnao1",0
"579","Mt3",0
"580","Mt1",0
"581","Mtss2",0
"582","Maml2",0
"583","Ntm",0
"584","St3gal4",0
"585","Hepacam",0
"586","Mir100hg",0
"587","Gm48742",0
"588","Arhgef12",0
"589","2900052N01Rik",0
"590","Cadm1",0
"591","Ncam1",0
"592","Il18",0
"593","Acsbg1",0
"594","Rora",0
"595","Scg3",0
"596","Myo6",0
"597","Rasa2",0
"598","Cspg5",0
"599","Plekhg1",0
"600","Sash1",0
"601","Nhsl1",0
"602","Lama2",0
"603","Ddo",0
"604","Gm35552",0
"605","Cep85l",0
"606","Gja1",0
"607","Fam13c",0
"608","Appl2",0
"609","Rfx4",0
"610","Rmst",0
"611","Fgd6",0
"612","Egfr",0
"613","Ugp2",0
"614","Cpeb4",0
"615","Sh3pxd2b",0
"616","Wwc1",0
"617","Gm12239",0
"618","Nmur2",0
"619","Atp1b2",0
"620","Aldoc",0
"621","Msi2",0
"622","Etv4",0
"623","Pitpnc1",0
"624","Fam20a",0
"625","Sox9",0
"626","Grin2c",0
"627","Ncoa1",0
"628","Ntsr2",0
"629","Id2",0
"630","Nrcam",0
"631","Gm35188",0
"632","Arhgap5",0
"633","Npas3",0
"634","Trim9",0
"635","Gm48747",0
"636","Dpf3",0
"637","Gm26512",0
"638","Ston2",0
"639","Clmn",0
"640","Gm40578",0
"641","Gli3",0
"642","Fars2",0
"643","C130071C03Rik",0
"644","Hapln1",0
"645","Nim1k",0
"646","Fam107a",0
"647","Camk2g",0
"648","Vcl",0
"649","Glud1",0
"650","Fermt2",0
"651","Ddhd1",0
"652","Ndrg2",0
"653","Tnfrsf19",0
"654","Clu",0
"655","Ednrb",0
"656","Gm6145",0
"657","Gpc5",0
"658","4930505G20Rik",0
"659","Gm20713",0
"660","Gpc6",0
"661","Cldn10",0
"662","Farp1",0
"663","B930095G15Rik",0
"664","Clybl",0
"665","Gm5089",0
"666","Gm5089.1",0
"667","Slc1a3",0
"668","Cdh10",0
"669","Myo10",0
"670","Ctnnd2",0
"671","Zfpm2",0
"672","Trps1",0
"673","Zhx2",0
"674","Cyp2d22",0
"675","Ppara",0
"676","Abcd2",0
"677","Dbx2",0
"678","Rapgef3",0
"679","Aifm3",0
"680","Lpp",0
"681","Atp13a4",0
"682","Slc15a2",0
"683","Lsamp",0
"684","Zbtb20",0
"685","Mir99ahg",0
"686","Gm11146",0
"687","Son",0
"688","Qk",0
"689","Gm26873",0
"690","Lix1",0
"691","Cbs",0
"692","Pla2g7",0
"693","Vegfa",0
"694","Daam2",0
"695","Epas1",0
"696","Nrxn1",0
"697","Zeb1",0
"698","Abhd3",0
"699","Cables1",0
"700","Zfp521",0
"701","Aqp4",0
"702","Dtna",0
"703","Psd2",0
"704","Mcc",0
"705","Kcnn2",0
"706","Gramd3",0
"707","Megf10",0
"708","Pdgfrb",0
"709","Spire1",0
"710","Tcf4",0
"711","Gm9925",0
"712","Gm14964",0
"713","Asrgl1",0
"714","Gm9750",0
"715","Fads2",0
"716","Rorb",0
"717","Trpm3",0
"718","Glis3",0
"719","Gldc",0
"720","A830019P07Rik",0
"721","Ppp1r3c",0
"722","AA387883",0
"723","Add3",0
"724","Gpam",0
"725","Gm31356",0
"726","Tcf7l2",0
"727","Emx2os",0
