"","gene","combined_p_val"
"183","Rgs20",0
"184","Adhfe1",0
"185","Prex2",0
"186","Paqr8",0
"187","Arhgef4",0
"188","Pantr2",0
"189","Rftn2",0
"190","Gm973",0
"191","Sumo1",0
"192","Pard3b",0
"193","Plcd4",0
"194","Acsl3",0
"195","Utp14b",0
"196","Cdh20",0
"197","Bcl2",0
"198","Gli2",0
"199","Celrr",0
"200","Nckap5",0
"201","Gpr37l1",0
"202","Csrp1",0
"203","Glul",0
"204","Fam163a",0
"205","Prdx6",0
"206","Prrx1",0
"207","Pbx1",0
"208","Atp1a2",0
"209","Fmn2",0
"210","Frmd4a",0
"211","Slc39a12",0
"212","Pnpla7",0
"213","B3galt1",0
"214","Itga6",0
"215","Ccdc141",0
"216","Lrp4",0
"217","Slc1a2",0
"218","Gm13872",0
"219","Mertk",0
"220","4930402H24Rik",0
"221","Cst3",0
"222","Acss1",0
"223","Pygb",0
"224","Ptprt",0
"225","Phactr3",0
"226","Cyp7b1",0
"227","Tnik",0
"228","Slc7a11",0
"229","Lhfp",0
"230","Dclk1",0
"231","Wwtr1",0
"232","Arhgef26",0
"233","Bcan",0
"234","Gm3764",0
"235","Pbxip1",0
"236","Ahcyl1",0
"237","S1pr1",0
"238","F3",0
"239","Bcar3",0
"240","Bmpr1b",0
"241","Pdlim5",0
"242","Ddah1",0
"243","Tox",0
"244","Pou3f2",0
"245","Frmpd1",0
"246","Nfib",0
"247","Gm11266",0
"248","Cyp2j9",0
"249","E130114P18Rik",0
"250","Nfia",0
"251","Plpp3",0
"252","Acot11",0
"253","Eps15",0
"254","Macf1",0
"255","Arhgef19",0
"256","Prdm16",0
"257","Hes5",0
"258","Grm3",0
"259","Fgfr3",0
"260","Gabrb1",0
"261","Slc4a4",0
"262","Ptpn13",0
"263","Sparcl1",0
"264","Grk3",0
"265","Phkg1",0
"266","Mmd2",0
"267","Stard13",0
"268","Ptprz1",0
"269","Ptn",0
"270","Gng12",0
"271","Tcf7l1",0
"272","Eva1a",0
"273","Sfxn5",0
"274","Tprkb",0
"275","Aldh1l1",0
"276","Irak2",0
"277","Slc6a11",0
"278","Cecr2",0
"279","Tspan9",0
"280","Slco1c1",0
"281","Itpr2",0
"282","9430041J12Rik",0
"283","Ttyh1",0
"284","Hif3a",0
"285","Apoe",0
"286","Lgi4",0
"287","Slc7a10",0
"288","Luzp2",0
"289","Rgma",0
"290","Mir9-3hg",0
"291","Swap70",0
"292","Mical2",0
"293","Sox6",0
"294","Fgfr2",0
"295","Htra1",0
