"","gene","combined_p_val"
"2337","Sox17",0
"2338","Mecom",0
"2339","Lef1",0
"2340","Adgrl4",0
"2341","Abcb1a",0
"2342","Cxcl12",0
"2343","Slco1a4",0
"2344","Klf2",0
"2345","Icam2",0
"2346","Foxq1",0
"2347","1700018A04Rik",0
"2348","Zfp366",0
"2349","Ocln",0
"2350","Ly6a",0
"2351","Ly6c1",0
"2352","A4galt",0
"2353","Cldn5",0
"2354","Cyyr1",0
"2355","Adgrf5",0
"2356","Slc22a8",0
"2357","Dipk2b",0
"2358","Tie1",0
"2359","Hspb1",0
"2360","Flt1",0
"2361","Gm609",0
"2362","Gimap6",0
"2363","Edn1",0
"2364","Ctla2a",0
"2365","Fn1",0
"2366","Rassf9",0
"2367","Erg",0
"2368","Tm4sf1",0
"2369","Acvrl1",0
"2370","Hmcn1",0
"2371","Car4",0
"2372","Apcdd1",0
"2373","Eng",0
"2374","Ccm2l",0
"2375","Cdh5",0
"2376","Clec2d",0
"2377","Cgnl1",0
"2378","Gm20631",0
"2379","Prom1",0
"2380","Vwf",0
"2381","Sp100",0
"2382","Fgd5",0
"2383","Fzd6",0
"2384","Rab11fip1",0
"2385","Pdgfd",0
"2386","Srgn",0
"2387","Ifitm3",0
"2388","Adgre5",0
"2389","She",0
"2390","Mill2",0
"2391","Rbpms",0
"2392","Xdh",0
"2393","Esam",0
"2394","Clic5",0
"2395","Nostrin",0
"2396","Ptprb",0
"2397","Pecam1",0
"2398","Itga1",0
"2399","Cd34",0
"2400","Egfl7",0
"2401","Id1",0
"2402","Paqr5",0
"2403","Bcam",0
"2404","Fas",0
"2405","Gm9946",0
"2406","Itm2a",0
"2407","Kdr",0
"2408","Sema3c",0
"2409","Layn",0
"2410","Gch1",0
"2411","Igfbp7",0
"2412","Podxl",0
"2413","Gjc1",0
"2414","Pltp",0
"2415","Ramp2",0
"2416","Atp10a",0
"2417","Lsr",4.59514686418108e-287
"2418","Ets1",1.87477275505786e-284
"2419","Rai14",3.84583740896904e-275
"2420","Cmtm8",6.64851890652535e-272
"2421","Sgms2",1.7784712915663e-262
"2422","Hspa12b",1.70148157485274e-261
"2423","Vwa1",1.76322894667425e-261
"2424","Abcg2",1.75116037381161e-260
"2425","Emcn",3.70391143220884e-260
"2426","Slc2a1",1.04461344141842e-248
"2427","Ptpn14",3.07375673412947e-246
"2428","9530026P05Rik",2.09509749873975e-245
"2429","St3gal1",5.38077769256089e-243
"2430","Pglyrp1",2.91396924276071e-228
"2431","Cavin2",5.21670462080715e-205
"2432","Cav1",1.950300582664e-202
"2433","Slc7a5",8.35429649362609e-201
"2434","Thsd1",6.72210870627648e-198
"2435","Lmntd1",1.66055580798459e-197
"2436","Ndnf",3.8174250779745e-192
"2437","Plscr4",3.75821006577512e-189
"2438","Ltbp4",1.40717090971624e-187
"2439","Ccdc141",5.25090948668128e-179
"2440","Fzd4",6.21671934955017e-179
"2441","Parvb",8.71769052670203e-177
"2442","Epas1",1.08290052202144e-173
"2443","Ahnak",7.29256032465116e-173
"2444","Afap1l2",7.75350730718796e-163
"2445","Ushbp1",1.7181976227509e-160
"2446","Palmd",4.98935485241748e-157
"2447","Itih5",3.64082066851303e-155
"2448","Tshz2",3.66242569941756e-147
"2449","Fli1",4.80690263944255e-136
"2450","H2-D1",1.20035485310268e-132
"2451","Arhgap29",2.01166393820069e-132
"2452","Slc40a1",2.60989815838226e-127
"2453","Ly6e",5.72266277567509e-125
"2454","Lama4",2.80295264567733e-123
"2455","Slco1c1",2.17673219282109e-122
"2456","Sox13",6.4976762754893e-121
"2457","Cast",7.63015295791541e-121
"2458","Tek",1.08533740905331e-120
"2459","Id3",1.30080947231258e-120
"2460","Anxa3",1.12530492659828e-116
"2461","Lims2",7.78116222368526e-112
"2462","Fbxl7",6.58480984762502e-110
"2463","Nfkbia",2.0655858020568e-106
"2464","Sema7a",2.2968401208796e-105
"2465","Slc7a1",1.53525593234356e-102
"2466","Abcc4",1.06791638170832e-101
"2467","Mcc",1.43833639179808e-97
"2468","Aqp11",2.25819144626144e-95
"2469","Nxn",2.90098412283668e-95
"2470","Nkd1",3.71281312829102e-93
"2471","Kank3",7.1229372391435e-93
"2472","Nxpe2",1.31968942366679e-92
"2473","Heg1",3.50763170746928e-92
"2474","Sik1",5.20583343701663e-92
"2475","Cobll1",8.24774322727178e-91
"2476","Syne2",4.53162593465154e-84
"2477","S1pr1",4.35551893496282e-81
"2478","Wwtr1",3.20758790169377e-79
"2479","Ablim1",3.4479935967396e-78
"2480","Ppfibp1",1.05951164841499e-77
"2481","Itpkb",3.57308558233774e-75
"2482","Colgalt2",3.56123651169024e-74
"2483","Sparc",5.24418598001731e-73
"2484","Eogt",1.57862706843479e-72
"2485","Dock6",2.32381009613926e-72
"2486","Arhgap31",7.28499287374781e-72
"2487","Ctsh",3.6438111273982e-69
"2488","Afap1l1",4.65110980871314e-69
"2489","Ldlrad3",5.25305066709464e-69
"2490","Arap3",1.96754960925703e-67
"2491","B2m",5.30897322900848e-67
"2492","Acer2",3.0130878084013e-66
"2493","Rhoj",3.48008341159564e-66
"2494","Rhobtb1",1.17662599279824e-65
"2495","Plcb4",1.26146480621969e-65
"2496","Rgs12",3.86054849306369e-65
"2497","Gm3848",2.27140513711034e-61
"2498","Pdgfb",5.33784769965775e-59
"2499","Btg2",1.44796583389286e-58
"2500","Lima1",4.4183040267841e-57
"2501","Polk",8.2283314295459e-57
"2502","Prex2",5.47713210255131e-55
"2503","Pdlim5",5.40731497507372e-54
"2504","Tns1",9.86147470067091e-54
"2505","Bsg",3.06190298069005e-53
"2506","Ebf1",9.50273778675334e-53
"2507","Ptprg",2.73406230974592e-52
"2508","BC028528",2.23827904837934e-51
"2509","Col4a1",2.49610361566547e-50
"2510","Lrrk1",4.16281742811302e-50
"2511","St3gal6",9.30733483144044e-49
"2512","Kitl",5.74022849261213e-47
"2513","Degs2",2.01283377266678e-46
"2514","Jam2",1.44039673620171e-45
"2515","Sgpp2",1.1858943427644e-44
"2516","Myo1e",1.35455242730203e-44
"2517","Unc13b",2.4533445074069e-44
"2518","Notch1",5.1162023904373e-44
"2519","Rassf3",3.93270024995891e-43
"2520","Clic4",8.4350912290798e-43
"2521","Ndrg1",2.11563795361919e-42
"2522","Sgms1",2.48416468885398e-42
"2523","Utrn",7.35089010202942e-42
"2524","Net1",4.41641861136118e-41
"2525","Ism1",1.56750342270227e-40
"2526","Spock2",1.70346410913123e-40
"2527","Ptprm",3.5401439200845e-40
"2528","Nedd9",4.65728853979155e-40
"2529","Lhfpl2",6.1178213942108e-40
"2530","Rundc3b",6.50816192970935e-40
"2531","Fat4",1.25905682036918e-39
"2532","Pard3b",1.62861037960027e-39
"2533","Baiap2l1",3.28473597925788e-39
"2534","St8sia4",4.27430471318307e-39
"2535","Nxpe4",4.32993018417999e-39
"2536","Gpcpd1",6.39453026836083e-39
"2537","Jun",1.31550174807113e-38
"2538","Igf1r",3.59312035003574e-38
"2539","Swap70",1.41724661508008e-37
"2540","Hpcal1",1.64825864669114e-37
"2541","Hip1",2.64905797873682e-37
"2542","Mmp28",5.25150844343696e-37
"2543","Cd200",2.27934056925856e-36
"2544","Rnf144b",7.48996866389151e-36
"2545","Atox1",2.55359964496074e-35
"2546","Ifnar2",3.5964756053269e-35
"2547","Col4a3bp",3.6893206233635e-35
"2548","Slc39a10",5.31507519020548e-35
"2549","Gpd2",5.53251296505602e-35
"2550","Sptbn1",1.04777835637329e-34
"2551","Zfp36l1",1.0497652199172e-34
"2552","Ostf1",5.73879270266982e-34
"2553","Slc30a1",1.34752356222467e-33
"2554","Map3k1",1.77402253936694e-33
"2555","Rapgef2",2.37135046008302e-33
"2556","Akap13",3.62612528403358e-33
"2557","Klf12",7.62575600939798e-33
"2558","Tjp1",9.44439555001179e-33
"2559","Tspan9",9.64701568714333e-33
"2560","Fry",9.69932059195541e-33
"2561","Itga6",4.28630912168463e-32
"2562","Esyt2",6.17605614467137e-32
"2563","Myo10",8.25952523910731e-32
"2564","Tbc1d4",9.68222130541425e-32
"2565","Usp53",1.11160781733232e-31
"2566","Selenop",1.28087723140051e-31
"2567","Dock9",3.14053423468281e-31
"2568","Slc6a6",1.27289490532196e-30
"2569","Luzp1",1.6524152614231e-30
"2570","St6galnac3",1.66485885762619e-30
"2571","Ttc28",1.39270462239974e-29
"2572","Maoa",1.68783496825108e-29
"2573","Maml2",1.75524480340692e-29
"2574","Bmpr2",2.2852138115508e-29
"2575","Tmtc2",4.86285631843736e-29
"2576","Elk3",7.62995568880867e-29
"2577","Zfp423",4.08028166790823e-28
"2578","Gng5",7.73684360060787e-28
"2579","Rasgrp3",1.09038356709069e-27
"2580","Tspan13",1.65919265106265e-27
"2581","Crip2",2.67324727112969e-27
"2582","Zbtb20",2.76685082328266e-27
"2583","4931406P16Rik",3.96533140401917e-27
"2584","Mtss1",7.63509926938205e-27
"2585","Tmem204",8.29596061452455e-27
"2586","Arl4a",1.47511734096538e-26
"2587","Tanc1",4.70460035104346e-26
"2588","Chn2",7.07111589228667e-26
"2589","Jcad",8.98929457251581e-26
"2590","Mob3b",1.33177081666109e-25
"2591","Gm42418",2.24869646194096e-25
"2592","Nfib",2.28835036856834e-25
"2593","Iqgap1",2.67843768595243e-25
"2594","Mpzl1",1.07515323166924e-24
"2595","Tspan5",1.20780782868972e-24
"2596","Wwc2",1.49354775644847e-24
"2597","Dnm3",2.56981756390338e-24
"2598","Fcho2",4.40253400840542e-24
"2599","Cpne8",4.54514372875697e-24
"2600","Lrch1",5.36311994792791e-24
"2601","Msi2",6.0061467173584e-24
"2602","Ctnna1",6.1576048692302e-24
"2603","Rbm20",1.77347828426058e-23
"2604","Nebl",2.48428244258242e-23
"2605","Mtus1",2.6538765383762e-23
"2606","Sh3rf1",3.62263927781087e-23
"2607","Prkch",3.62354016334464e-23
"2608","Tcf4",3.82425673850221e-23
"2609","Cachd1",4.31030870088094e-23
"2610","Plat",4.79775282820294e-23
"2611","Sorbs2",5.55442617724968e-23
"2612","Stard13",1.01021204118335e-22
"2613","Abhd2",1.17643294609901e-22
"2614","Fut8",1.20714976223618e-22
"2615","Adamts10",1.76347670721863e-22
"2616","Apbb2",7.05206825501826e-22
"2617","Ralgapa1",8.01968002736525e-22
"2618","Rreb1",8.99554315233183e-22
"2619","Macf1",1.07231579955152e-21
"2620","Golim4",1.09445512489272e-21
"2621","Sema6a",1.97254713202774e-21
"2622","Elf1",2.13678155419859e-21
"2623","Phactr4",4.13425732158542e-21
"2624","Pakap.1",5.17497861202644e-21
"2625","Cyth3",1.03103223690492e-20
"2626","Efr3b",1.99540059618964e-20
"2627","Col4a2",2.0989910431223e-20
"2628","Afdn",9.39912566645304e-20
"2629","Nrp1",1.05243273857395e-19
"2630","Bcl2l1",2.67427820705132e-19
"2631","App",3.07715339112287e-19
"2632","Filip1",3.68390094671159e-19
"2633","Mindy1",4.42198796109173e-19
"2634","Stk3",6.39555970692057e-19
"2635","Gbe1",7.68587160908963e-19
"2636","Srgap2",1.39543753979348e-18
"2637","Myo1d",1.88428599231852e-18
"2638","Rplp1",4.08575866558666e-18
"2639","Dock4",4.57748641970732e-18
"2640","Far2",5.75125152321422e-18
"2641","Rbms1",8.90153479784301e-18
"2642","Dock1",9.4205813540585e-18
"2643","Tfrc",1.8790714608857e-17
"2644","Tjp2",2.1047853554018e-17
"2645","Ifnar1",2.50860829057395e-17
"2646","Rin2",2.91291729340742e-17
"2647","Sorbs1",3.06542043985555e-17
"2648","Wasf2",3.25818909270032e-17
"2649","Mfhas1",4.2421002782557e-17
"2650","Cd2ap",6.98529492380002e-17
"2651","Plekhg1",1.46943663276431e-16
"2652","Dab2ip",1.78432817848825e-16
"2653","Map4k3",2.92874750902731e-16
"2654","Lats2",5.16989501515294e-16
"2655","Fermt2",9.70383932525698e-16
"2656","Itm2b",1.19454339993805e-15
"2657","Rpl18a",1.21372490544353e-15
"2658","Gnaq",1.24213204562707e-15
"2659","Fam13c",2.9395290890338e-15
"2660","Tnfrsf19",2.98586369844142e-15
"2661","Chst11",3.20385360806592e-15
"2662","Ccnd3",3.52822299675939e-15
"2663","Fryl",4.71735300046785e-15
"2664","Myl6",4.74622051710144e-15
"2665","Limch1",5.38603480835502e-15
"2666","Pls3",6.9615010059916e-15
"2667","Rps29",2.49565142173558e-14
"2668","Rhoa",3.09783825139096e-14
"2669","Etv6",3.32027333844893e-14
