"","gene","combined_p_val"
"3083","Rp1",NA
"3084","Spag16",NA
"3085","Daw1",NA
"3086","Iqca",NA
"3087","Crocc2",NA
"3088","Sctr",NA
"3089","Htr5b",NA
"3090","Prelp",NA
"3091","Platr22",NA
"3092","Ucma",NA
"3093","Vim",NA
"3094","Armc3",NA
"3095","Enkur",NA
"3096","1700007K13Rik",NA
"3097","Cfap77",NA
"3098","Traf1",NA
"3099","Crb2",NA
"3100","Lrp2",NA
"3101","Slc43a3",NA
"3102","Fbln7",NA
"3103","Sptlc3",NA
"3104","Lbp",NA
"3105","Gm10714",NA
"3106","Tmem212",NA
"3107","Tm4sf1",NA
"3108","Mlf1",NA
"3109","Wdr49",NA
"3110","Lrrc71",NA
"3111","Spag17",NA
"3112","Bdh2",NA
"3113","Wdr63",NA
"3114","Lpar3",NA
"3115","Uox",NA
"3116","Car9",NA
"3117","Ccdc180",NA
"3118","Gm12695",NA
"3119","Ube2u",NA
"3120","Tctex1d4",NA
"3121","Armh1",NA
"3122","Dnali1",NA
"3123","Col8a2",NA
"3124","Vwa5b1",NA
"3125","Trp73",NA
"3126","Ccdc146",NA
"3127","Fbxl13",NA
"3128","1700001C02Rik",NA
"3129","Dthd1",NA
"3130","Spata18",NA
"3131","Fam47e",NA
"3132","Cfap299",NA
"3133","Cfap73",NA
"3134","Lrrc43",NA
"3135","Dnah10",NA
"3136","Rarres2",NA
"3137","Gm44109",NA
"3138","Dnah6",NA
"3139","Cfap100",NA
"3140","Scnn1a",NA
"3141","Casc1",NA
"3142","Lmntd1",NA
"3143","Dnaaf3",NA
"3144","Mia",NA
"3145","Pgpep1l",NA
"3146","Wdr93",NA
"3147","Cfap161",NA
"3148","Folr1",NA
"3149","BC051019",NA
"3150","Vwa3a",NA
"3151","Gm16201",NA
"3152","Ifitm3",NA
"3153","Nek5",NA
"3154","5830408C22Rik",NA
"3155","Fam149a",NA
"3156","Ttc29",NA
"3157","Gm19935",NA
"3158","Drc7",NA
"3159","Lrrc36",NA
"3160","Dynlrb2",NA
"3161","4930567H12Rik",NA
"3162","1700012B09Rik",NA
"3163","Col5a3",NA
"3164","Dpy19l2",NA
"3165","Jhy",NA
"3166","Ccdc153",NA
"3167","Layn",NA
"3168","4833427G06Rik",NA
"3169","Anxa2",NA
"3170","Gm28729",NA
"3171","Cdhr4",NA
"3172","Ttc21a",NA
"3173","Ccdc170",NA
"3174","Adgb",NA
"3175","Ect2l",NA
"3176","Gm36908",NA
"3177","Rsph4a",NA
"3178","Ak9",NA
"3179","Cd24a",NA
"3180","Gm867",NA
"3181","Gm33543",NA
"3182","Rassf9",NA
"3183","9130017K11Rik",NA
