"","gene","combined_p_val"
"2557","Kcnq5",NA
"2558","Pgap1",NA
"2559","Map2",NA
"2560","Dock10",NA
"2561","Nyap2",NA
"2562","Cnih3",NA
"2563","Gm13481",NA
"2564","Grb14",NA
"2565","Cers6",NA
"2566","Mir670hg",NA
"2567","Ryr3",NA
"2568","Snap25",NA
"2569","Nnat",NA
"2570","Ralyl",NA
"2571","Trpc4",NA
"2572","Dchs2",NA
"2573","Ptgfrn",NA
"2574","Kcnd3",NA
"2575","Pifo",NA
"2576","Gm26871",NA
"2577","Dpyd",NA
"2578","Camk2d",NA
"2579","Ank2",NA
"2580","Ak5",NA
"2581","Cnr1",NA
"2582","Tmeff1",NA
"2583","Epb41l4b",NA
"2584","Rnf207",NA
"2585","Prkag2",NA
"2586","Ldb2",NA
"2587","Gabrg1",NA
"2588","Gabra2",NA
"2589","Rasal1",NA
"2590","Tmem132d",NA
"2591","Galnt17",NA
"2592","Tmem130",NA
"2593","Mtus2",NA
"2594","Strip2",NA
"2595","Herc3",NA
"2596","Fam13a",NA
"2597","Tacr1",NA
"2598","Prickle2",NA
"2599","Ccnd2",NA
"2600","Prmt8",NA
"2601","Sox5",NA
"2602","Sox5os4",NA
"2603","Usp29",NA
"2604","Atp10a",NA
"2605","Pcsk6",NA
"2606","B130024G19Rik",NA
"2607","Slco3a1",NA
"2608","Shank2",NA
"2609","Gm14372",NA
"2610","Myo16",NA
"2611","Zmat4",NA
"2612","Gm19410",NA
"2613","March1",NA
"2614","Zfhx3",NA
"2615","Lncbate1",NA
"2616","D030068K23Rik",NA
"2617","Vat1l",NA
"2618","Cmip",NA
"2619","Gse1",NA
"2620","Cpne7",NA
"2621","Slc35f3",NA
"2622","Lrrc1",NA
"2623","Ctdspl",NA
"2624","Pde7b",NA
"2625","Ahi1",NA
"2626","Sh3rf3",NA
"2627","Ppfia2",NA
"2628","Syt1",NA
"2629","Nav3",NA
"2630","Ptprr",NA
"2631","Ddc",NA
"2632","1700042O10Rik",NA
"2633","Slit3",NA
"2634","Galnt10",NA
"2635","Cpd",NA
"2636","Rhbdl3",NA
"2637","Ankfn1",NA
"2638","Sdk2",NA
"2639","Hdac9",NA
"2640","Syt16",NA
"2641","Gm29587",NA
"2642","Galnt16",NA
"2643","Papln",NA
"2644","Esyt2",NA
"2645","Ptprn2",NA
"2646","Gm5441",NA
"2647","A530046M15Rik",NA
"2648","Pou6f2",NA
"2649","Carmil1",NA
"2650","Rbm24",NA
"2651","Hcn1",NA
"2652","4933413L06Rik",NA
"2653","Gng2",NA
"2654","Zmiz1os1",NA
"2655","Cacna2d3",NA
"2656","Gm48003",NA
"2657","Prkcd",NA
"2658","Grid1",NA
"2659","Spata13",NA
"2660","Cdh12",NA
"2661","Cdh18",NA
"2662","Fbxl7",NA
"2663","Oxr1",NA
"2664","Gm26854",NA
"2665","Pvt1",NA
"2666","Ly6h",NA
"2667","Syt10",NA
"2668","Pdzrn4",NA
"2669","Pced1b",NA
"2670","Dgkg",NA
"2671","Mb21d2",NA
"2672","Kalrn",NA
"2673","Sidt1",NA
"2674","Tiam1",NA
"2675","Rps6ka2",NA
"2676","Lrfn2",NA
"2677","Efna5",NA
"2678","Prkce",NA
"2679","Myo5b",NA
"2680","Pcsk5",NA
"2681","Pip5k1b",NA
"2682","Ocrl",NA
"2683","Pdzd4",NA
"2684","5330434G04Rik",NA
"2685","Oprm1",NA
"2686","Efcab1",NA
"2687","Syt7",NA
"2688","Cacna1d",NA
"2689","Tcaf1",NA
"2690","Gda",NA
"2691","Grm5",NA
"2692","Brinp1",NA
"2693","1700024B18Rik",NA
"2694","Lrtm1",NA
"2695","Rbfox1",NA
"2696","Epha5",NA
"2697","Dync1i1",NA
"2698","Grin1",NA
"2699","Sgsm1",NA
"2700","Nr3c2",NA
"2701","Zmynd8",NA
"2702","Sec24a",NA
"2703","Tmcc3",NA
"2704","Mbnl1",NA
"2705","Sez6l",NA
"2706","Ncald",NA
"2707","Cacnb2",NA
"2708","Cntn3",NA
"2709","Pakap",NA
"2710","Gm10848",NA
"2711","Cacna2d2",NA
"2712","Gria1",NA
"2713","Gm13889",NA
"2714","Sulf1",NA
"2715","Xpr1",NA
"2716","Snhg11",NA
"2717","Arhgef7",NA
"2718","Bbx",NA
"2719","Tcerg1l",NA
"2720","Clip1",NA
"2721","Fkbp5",NA
"2722","Il1rap",NA
"2723","Gm43507",NA
"2724","4930587E11Rik",NA
"2725","Lcorl",NA
"2726","Slc7a6",NA
"2727","Trerf1",NA
"2728","Thbs3",NA
"2729","Nkain3",NA
"2730","Cdk14",NA
"2731","Gm41414",NA
"2732","Ppargc1a",NA
"2733","Gm38251",NA
"2734","Mest",NA
"2735","Cdr1os",NA
"2736","Hap1",NA
"2737","Gria4",NA
"2738","Nell1",NA
"2739","Lin7a",NA
"2740","Ccdc85a",NA
"2741","Taf1d",NA
"2742","Tox2",NA
"2743","Tenm1",NA
"2744","Klhdc10",NA
"2745","Ssbp2",NA
"2746","Gm13269",NA
"2747","Grm7",NA
"2748","Prdm10",NA
"2749","Setbp1",NA
"2750","Acvr2a",NA
"2751","Nap1l5",NA
"2752","Ctnna3",NA
"2753","Gm13944",NA
"2754","Cacna1b",NA
"2755","Gm48091",NA
"2756","Mark1",NA
"2757","Fyb2",NA
"2758","Nmnat2",NA
"2759","Gabbr2",NA
"2760","Calcrl",NA
"2761","Rgl1",NA
"2762","Syndig1",NA
"2763","Akap9",NA
"2764","Spats2l",NA
"2765","Cblb",NA
"2766","Ppp1r13b",NA
"2767","Dock7",NA
"2768","Adcy2",NA
"2769","4833422C13Rik",NA
"2770","Ksr1",NA
"2771","Lrrtm4",NA
"2772","Ptprn",NA
"2773","Xkr4",NA
"2774","Sbf2",NA
"2775","Gabrb3",NA
"2776","Celf4",NA
"2777","Slc4a10",NA
"2778","Opcml",NA
"2779","Camk4",NA
"2780","C2cd2",NA
"2781","Gm20642",NA
"2782","Ubash3b",NA
"2783","Junb",NA
"2784","Hs3st5",NA
"2785","Etl4",NA
"2786","Ripor2",NA
"2787","Aplp2",NA
"2788","Ano3",NA
"2789","Thsd7a",NA
"2790","Gm1992",NA
"2791","Gm15738",NA
"2792","Depdc5",NA
"2793","Ina",NA
"2794","Ap2b1",NA
"2795","Rasgef1b",NA
"2796","Itgbl1",NA
"2797","Astn2",NA
"2798","Cntn5",NA
"2799","9630028H03Rik",NA
"2800","Sgk1",NA
"2801","Pde1a",NA
"2802","4930545L23Rik",NA
"2803","Gm12353",NA
"2804","Meg3",NA
"2805","Cntnap5b",NA
"2806","Thsd7b",NA
"2807","Cdh13",NA
"2808","Cdh9",NA
"2809","Adamtsl1",NA
"2810","1700016P03Rik",NA
"2811","Stxbp5l",NA
"2812","Plekhh2",NA
"2813","Fstl4",NA
"2814","Schip1",NA
