"","gene","combined_p_val"
"2815","Cacna1e",0
"2816","Celf2",0
"2817","Cacnb2",0
"2818","Galnt13",0
"2819","Ryr3",0
"2820","Ppp3ca",0
"2821","Lrrc7",0
"2822","Grik3",0
"2823","Kcnip4",0
"2824","Caln1",0
"2825","Cntnap2",0
"2826","Foxp1",0
"2827","Grm7",0
"2828","Tmtc1",0
"2829","Grm5",0
"2830","Dlg2",0
"2831","Dlgap2",0
"2832","Csmd1",0
"2833","Nrg1",0
"2834","Sgcz",0
"2835","Drd2",0
"2836","Elmod1",0
"2837","Mei4",0
"2838","Adora2a",0
"2839","Mgat4c",0
"2840","Slit3",0
"2841","Tenm2",0
"2842","Phactr1",0
"2843","Erc2",0
"2844","Fgf14",0
"2845","Rbfox1",0
"2846","Epha6",0
"2847","Gnal",0
"2848","Gria3",0
"2849","Cdr1os",0
"2850","Penk",0
"2851","Nell1",0
"2852","Gm10848",0
"2853","Rarb",0
"2854","Snhg11",0
"2855","Rgs7bp",0
"2856","Gm13269",0
"2857","Itpr1",0
"2858","Klhl1",0
"2859","A330015K06Rik",0
"2860","Gng7",0
"2861","Lrrtm4",0
"2862","Zfp804a",0
"2863","Necab1",0
