"","gene","combined_p_val"
"2864","Foxp1",0
"2865","Drd2",0
"2866","Phactr1",0
"2867","Neto1",0
"2868","Mdga2",0
"2869","Ntng1",0
"2870","Galntl6",0
"2871","Gpc6",0
"2872","Sema3e",0
"2873","Grik3",0
"2874","Gm49906",0
"2875","Meis2",0
"2876","Gm15810",0
"2877","Unc5d",0
"2878","Zfp804a",0
"2879","Gabrg3",0
"2880","Grip1",0
"2881","Grin2a",0
"2882","Pde10a",0
"2883","Pde7b",0
"2884","Dok6",0
"2885","Spock3",0
"2886","Galnt13",0
"2887","Tafa2",0
"2888","Gnal",0
"2889","Rab3c",0
"2890","Gm4128",0
"2891","Osbpl8",0
"2892","Caln1",0
"2893","Sorbs2",0
"2894","Slit3",0
"2895","Sema5b",0
"2896","Plcb1",0
"2897","Nedd4l",0
"2898","Dgki",0
"2899","Alk",0
"2900","Myt1l",0
"2901","Dgkb",0
"2902","Usp29",0
"2903","Rnf150",0
"2904","Gramd1b",0
"2905","Dpp6",0
"2906","Clvs1",0
"2907","Chrm3",0
"2908","Cacnb2",0
"2909","Cdh11",0
"2910","Slc2a13",0
"2911","Gprin3",0
"2912","Lrrc7",6.80819255939941e-307
"2913","Kcnq5",3.721973384943e-261
"2914","Sorcs3",4.97893052385443e-238
