"","gene","combined_p_val"
"2915","Olfr111",1.22650004260058e-186
"2916","Cd83",7.56440683794341e-133
"2917","Rbm47",2.11806271775854e-71
"2918","Mir142hg",2.4266661700386e-71
"2919","Cd84",5.27334344751166e-69
"2920","Tent5c",1.3041626406242e-64
"2921","Slc15a3",1.44953009997215e-63
"2922","Naip2",1.46549680489266e-63
"2923","Spi1",1.61350392101042e-61
"2924","A630001G21Rik",1.72506734999507e-60
"2925","Arhgap25",6.74684635336101e-58
"2926","Ptprc",4.14193689865237e-57
"2927","Il1a",2.38174758740395e-55
"2928","Myo1f",2.62193677626177e-55
"2929","AU020206",3.31408644207932e-55
"2930","Anxa3",8.4416169940565e-55
"2931","Cdk6",1.63470084588319e-54
"2932","Frrs1",5.16963067308317e-51
"2933","Gas2l3",1.43246207374358e-50
"2934","Trem2",2.48206912564398e-50
"2935","Pik3ap1",2.35171246947077e-49
"2936","Tec",2.96033854350033e-49
"2937","Npnt",3.09409207962113e-49
"2938","Nckap1l",1.53670021780057e-47
"2939","Runx1",3.22570342867061e-47
"2940","Cyba",1.29685736213409e-46
"2941","Cd86",2.24175406886157e-46
"2942","Cd300c2",9.62775956616615e-46
"2943","Irf5",3.58633956928358e-44
"2944","Cyth4",4.39074269939805e-44
"2945","Stab1",8.79498197431527e-44
"2946","Gm2629",1.89934813826482e-43
"2947","Tbxas1",4.06286877988356e-43
"2948","Msn",7.31800725740987e-43
"2949","Havcr2",4.22129934148841e-42
"2950","Gm2245",5.99926958523423e-42
"2951","Fli1",2.22644148687389e-40
"2952","Mafb",2.53649918924716e-40
"2953","Cd37",8.99051008445308e-40
"2954","Pald1",1.11516562469433e-39
"2955","Tgfbr2",2.06320827493076e-39
"2956","Arhgap30",1.63821224220268e-38
"2957","Adap2",1.70587268607013e-38
"2958","Vav1",3.22894606760409e-38
"2959","Blnk",4.53370087097738e-38
"2960","C1qb",5.24502983013353e-38
"2961","Csf3r",1.04433477654741e-37
"2962","Slco2b1",4.50683117153137e-37
"2963","Cd180",5.61449716413662e-37
"2964","Fcrls",6.6605730718553e-37
"2965","Gm10790",7.32226971878117e-37
"2966","Fyb",1.00225331207382e-36
"2967","Tyrobp",2.0490001019862e-36
"2968","Adgre1",2.64578261275385e-36
"2969","Plekho2",4.02187943526406e-36
"2970","Slc7a7",4.1667290896642e-36
"2971","B2m",7.97625970530827e-36
"2972","Dock2",1.20463384581834e-35
"2973","Dock8",4.76531966500049e-35
"2974","Inpp5d",6.79519030844306e-35
"2975","Unc93b1",1.08366309389909e-34
"2976","Ets1",1.39539927564215e-34
"2977","Ikzf1",3.22332106247577e-34
"2978","P2ry6",3.38796893034188e-34
"2979","Lcp2",1.75116656104142e-33
"2980","C1qa",2.3210048378941e-33
"2981","Fcer1g",2.57652649569815e-33
"2982","Gm5086",3.7803012840673e-33
"2983","Csf1r",3.88438051015233e-33
"2984","Lcp1",5.15602301501904e-33
"2985","Ctsz",9.39389835846467e-33
"2986","Ctss",1.05354655787934e-32
"2987","Ly86",1.50172886329555e-32
"2988","Ctsh",1.63776563308643e-32
"2989","Il10rb",4.7180386923561e-32
"2990","Tnfrsf1b",5.24940347375669e-32
"2991","Wdfy4",7.18620539875541e-32
"2992","Hk2",9.46399650660436e-32
"2993","Nlrp1b",1.05075854319739e-31
"2994","Mpeg1",1.29245687522904e-31
"2995","C1qc",1.57589693042561e-31
"2996","Ptafr",3.61995467340753e-31
"2997","Ncf2",3.59668174136706e-30
"2998","Gna15",6.99333168585001e-30
"2999","Apbb1ip",1.05275134385568e-29
"3000","Prkcd",7.79611649874826e-29
"3001","Siglech",1.40820796135223e-28
"3002","Cd68",1.60027610241604e-28
"3003","Samsn1",2.97615444478344e-27
"3004","Rcsd1",7.49845302524095e-27
"3005","Cmklr1",9.14786086959036e-27
"3006","Sh2b2",1.1301089733979e-26
"3007","Laptm5",4.98662174772555e-26
"3008","Ifitm10",1.01435784426733e-25
"3009","Ccr5",1.40668289831722e-25
"3010","Pros1",2.18615310234578e-25
"3011","Trim30a",2.28786514852813e-25
"3012","Lair1",5.3635379964348e-25
