"","gene","combined_p_val"
"3390","Ifi207",0
"3391","Mndal",0
"3392","Ifi203",0
"3393","Mrc1",0
"3394","Lilrb4a",0
"3395","F13a1",0
"3396","Ms4a7",0
"3397","Ms4a4a",0
"3398","Gm4951",0
"3399","Gm8369",0
"3400","Adam33",0
"3401","Ms4a6c",4.42995367790761e-276
"3402","Cybb",4.57584506321616e-272
"3403","Lyz2",3.65292512520116e-240
"3404","Ccl12",4.43796997240211e-211
"3405","Dab2",5.19164213231919e-195
"3406","Aoah",1.44634731588437e-163
"3407","Ms4a6b",3.11254904651159e-141
"3408","Igf1",4.65986758230371e-134
"3409","Stab1",8.31207031835112e-131
"3410","Ctsc",1.93473820602795e-124
"3411","Gm26740",4.14416605333238e-112
"3412","Ddx60",9.36859715087847e-104
"3413","Fcgr2b",3.69623862830235e-101
"3414","Cd200r1",3.15842731085798e-96
"3415","5033421B08Rik",9.6582988240167e-95
"3416","Slc40a1",7.92077105580218e-91
"3417","Syk",2.87755406687342e-89
"3418","Apobec1",3.44395672905377e-89
"3419","Itga4",4.32652341075041e-89
"3420","Bank1",2.5927068991425e-88
"3421","Epsti1",2.30325403082286e-87
"3422","Adgre1",7.31485119776834e-87
"3423","Gm31243",3.28361179512506e-86
"3424","Arhgap45",1.55969950516611e-74
"3425","Myo1f",2.85250982669064e-72
"3426","Gpr160",1.81423014918825e-71
"3427","C5ar1",5.1850328864994e-71
"3428","Gm2245",6.96583170500402e-68
"3429","Abca9",1.93890081206819e-66
"3430","Runx1",1.39419129891799e-65
"3431","Ms4a6d",1.13759665655475e-63
"3432","Ptprc",1.07310952689157e-62
"3433","Il15",1.12692638235448e-62
"3434","Dse",1.45434446200327e-62
"3435","Ehd4",2.96936051880668e-62
"3436","Fyb",1.66752051320028e-60
"3437","Ly86",1.36631359278909e-58
"3438","Cd84",1.8568890371817e-58
"3439","Mdfic",3.21106386574184e-58
"3440","Fli1",1.10645699332374e-56
"3441","Slc14a1",3.05367075410432e-53
"3442","Tec",8.37463118860337e-53
"3443","Cfh",1.65514300841243e-52
"3444","Nlrc4",4.07322745390377e-52
"3445","Stard8",8.31169485178812e-52
"3446","Nrros",1.32456835037118e-49
"3447","Stk17b",1.4947807700803e-49
"3448","Il10rb",3.89621722770561e-49
"3449","Blnk",4.88786357888404e-49
"3450","Dock8",5.44265011759966e-49
"3451","P2ry6",7.94893089950017e-49
"3452","Lcp1",9.30066977376965e-49
"3453","Il6ra",4.61869049494126e-48
"3454","Gm5086",3.16451200224409e-47
"3455","Rbm47",6.13693715455868e-47
"3456","Zfp36l1",3.78613954676075e-45
"3457","Slco2b1",4.64697094844888e-45
"3458","Hpgd",5.65646217754378e-45
"3459","Arhgap15",1.44933089604773e-44
"3460","Gng2",2.18517730561694e-44
"3461","Cd300c2",9.38876290241231e-44
"3462","Cyth4",9.60766761316643e-44
"3463","Tbxas1",1.92171070112576e-42
"3464","Maf",2.56512389918434e-42
"3465","Snx8",6.17166660432008e-42
"3466","Csf1r",2.26762556484454e-40
"3467","Tgfbr2",4.35414376686956e-38
"3468","Colec12",6.64253898426692e-38
"3469","Tnfaip8",3.76556512828958e-37
"3470","Lrmp",1.5866916701263e-36
"3471","Anapc15",2.23529524188966e-36
"3472","Cd300a",3.99873960355109e-36
"3473","Adap2",2.02780194186681e-35
"3474","Dock2",6.93002419890453e-35
"3475","Blvrb",1.01157300907635e-34
"3476","Cyp27a1",6.79617899584341e-34
"3477","Inpp5d",3.79124914351131e-32
"3478","Ly96",5.97581937265615e-32
"3479","Cd86",3.40436548165091e-31
"3480","Fcrls",1.90257559334558e-29
"3481","Rreb1",3.13632105672017e-29
"3482","Gm10790",3.97456209402413e-29
"3483","Unc93b1",6.25440603407774e-29
"3484","Nrp1",9.73006663457925e-29
"3485","Rhobtb1",8.41540223689115e-27
"3486","Rcsd1",1.25837628892686e-26
"3487","Iqgap2",1.86087861700835e-26
"3488","P3h2",4.17172296738358e-26
"3489","Arhgap25",9.58024337775076e-26
"3490","Cp",2.33855034282032e-25
"3491","Gm43305",1.6433182626464e-24
"3492","Rbpj",1.71065509071496e-24
"3493","Adap2os",1.81288204589438e-24
"3494","Spi1",3.76111599729547e-23
"3495","C1qc",3.30951795296863e-22
"3496","Rftn1",7.16786492698144e-22
"3497","Dclre1c",9.90046570205418e-22
"3498","Slc16a10",4.19848673211862e-21
"3499","Lrmda",3.51214619041419e-20
"3500","Selenop",5.26013863465081e-20
"3501","Mertk",4.1551359552924e-19
"3502","B4galt1",4.67686911180985e-19
"3503","Slc9a9",6.11202860691339e-19
"3504","Mir142hg",7.77055234597943e-19
"3505","Tyrobp",1.34278118894374e-18
"3506","Pros1",1.53583562469632e-18
"3507","Swap70",1.55025217955364e-18
"3508","Pid1",4.48061052552152e-18
"3509","Vav3",6.3917206972252e-18
"3510","Snx24",1.1356672436974e-17
"3511","Ankrd44",3.54018074174935e-17
"3512","Gab2",4.99487152477964e-17
"3513","Man1c1",5.08052436325076e-17
"3514","Fcho2",6.27179275683554e-17
"3515","Cd53",1.57719448364119e-16
"3516","Gab3",2.11805787846302e-16
"3517","Eps15",5.21266396683266e-16
"3518","Nfxl1",1.16482276710478e-15
"3519","Pdgfc",2.27490660030229e-15
"3520","Lyn",5.00672849077485e-15
"3521","Snx29",5.1483513011251e-15
"3522","Fgd4",6.87361188079158e-15
"3523","Itsn1",8.40302403426892e-15
"3524","Abca1",1.636693546276e-14
"3525","Slc8a1",2.10395578372403e-14
"3526","Hdac9",2.15633695050361e-14
"3527","Mtss1",2.58975608302463e-14
"3528","Agmo",3.85681260418958e-14
"3529","Mitf",3.91119158981649e-14
"3530","Rab11fip5",4.74213425410453e-14
"3531","Snx2",5.4886191796828e-14
"3532","Ikzf1",6.80290739126731e-14
"3533","Abcc3",8.31825874780737e-14
"3534","Wwp1",8.62038127810798e-14
"3535","Serinc3",1.24386067310114e-13
"3536","Lacc1",1.62282456002182e-13
"3537","Myo5a",1.93797916805416e-13
"3538","Skap2",3.13440079716529e-13
"3539","Il10ra",3.14313437576502e-13
"3540","Lgmn",3.51225877611098e-13
"3541","Notch2",4.80136973399591e-13
"3542","Cables1",5.35451437329843e-13
"3543","Apoe",5.64474377484254e-13
"3544","Ptprj",6.42189797559892e-13
"3545","Pnpla7",8.00259743942738e-13
"3546","9930111J21Rik2",9.12946815548241e-13
"3547","Wasf2",1.28275704710207e-12
"3548","Arrb2",1.28779362770649e-12
"3549","Tbc1d4",2.19772261387456e-12
"3550","Rnf150",2.43112722350193e-12
"3551","Dennd1a",2.74430472058806e-12
"3552","Arhgap22",6.30349912742894e-12
"3553","Gnaq",6.51553993857480e-12
"3554","Mbnl1",6.88868932801885e-12
"3555","Ccnd3",9.36792556127016e-12
"3556","Etv6",1.52608735083014e-11
"3557","Ophn1",1.53549034594123e-11
"3558","Frmd4b",2.10052674151618e-11
"3559","St8sia4",2.64679857809727e-11
