"","gene","combined_p_val"
"3708","2610203C22Rik",0
"3709","Mgat4a",0
"3710","Slc40a1",0
"3711","Ankrd44",0
"3712","Cflar",0
"3713","Casp8",0
"3714","A630001G21Rik",0
"3715","Inpp5d",0
"3716","Tnfrsf11a",0
"3717","Srgap2",0
"3718","Ptprc",0
"3719","Nek7",0
"3720","Cfh",0
"3721","Pla2g4a",0
"3722","Ivns1abp",0
"3723","Ncf2",0
"3724","A830008E24Rik",0
"3725","Rcsd1",0
"3726","Fcgr3",0
"3727","Fcer1g",0
"3728","Arhgap30",0
"3729","F11r",0
"3730","Cd84",0
"3731","Traf5",0
"3732","8030442B05Rik",0
"3733","Plxdc2",0
"3734","Pip4k2a",0
"3735","Apbb1ip",0
"3736","Vav2",0
"3737","Phyhd1",0
"3738","Ggta1",0
"3739","Ptgs1",0
"3740","Zeb2",0
"3741","Zeb2os",0
"3742","Itga6",0
"3743","Wipf1",0
"3744","Gm13710",0
"3745","Ptprj",0
"3746","Spi1",0
"3747","Lmo2",0
"3748","Ehd4",0
"3749","Capn3",0
"3750","Stard9",0
"3751","B2m",0
"3752","Mertk",0
"3753","Sirpa",0
"3754","Rassf2",0
"3755","Rrbp1",0
"3756","Cst3",0
"3757","Abhd12",0
"3758","Soga1",0
"3759","Mafb",0
"3760","Serinc3",0
"3761","Pmepa1",0
"3762","Pag1",0
"3763","Pld1",0
"3764","Gm43821",0
"3765","Maml3",0
"3766","P2ry13",0
"3767","P2ry12",0
"3768","Mbnl1",0
"3769","Fcrls",0
"3770","Il6ra",0
"3771","Ctss",0
"3772","Plekho1",0
"3773","Fcgr1",0
"3774","Txnip",0
"3775","Olfml3",0
"3776","Cttnbp2nl",0
"3777","I830077J02Rik",0
"3778","Cd53",0
"3779","Fam102b",0
"3780","Frrs1",0
"3781","Bank1",0
"3782","Dapp1",0
"3783","Lyn",0
"3784","Chd7",0
"3785","B4galt1",0
"3786","Tgfbr1",0
"3787","Abca1",0
"3788","Col27a1",0
"3789","Whrn",0
"3790","Smap2",0
"3791","Csf3r",0
"3792","Laptm5",0
"3793","Wasf2",0
"3794","Rps6ka1",0
"3795","C1qb",0
