"","gene","combined_p_val"
"539","2610203C22Rik",0
"540","Mgat4a",0
"541","Il1rl2",0
"542","Slc40a1",0
"543","Ankrd44",0
"544","Cflar",0
"545","Casp8",0
"546","A630001G21Rik",0
"547","Inpp5d",0
"548","Tnfrsf11a",0
"549","Srgap2",0
"550","Ptprc",0
"551","Nek7",0
"552","Cfh",0
"553","Pla2g4a",0
"554","Ivns1abp",0
"555","Ncf2",0
"556","A830008E24Rik",0
"557","Rcsd1",0
"558","Fcgr3",0
"559","Fcer1g",0
"560","Arhgap30",0
"561","F11r",0
"562","Cd84",0
"563","Traf5",0
"564","8030442B05Rik",0
"565","Plxdc2",0
"566","Pip4k2a",0
"567","Apbb1ip",0
"568","Vav2",0
"569","Phyhd1",0
"570","Ggta1",0
"571","Ptgs1",0
"572","Zeb2",0
"573","Zeb2os",0
"574","Itga6",0
"575","Wipf1",0
"576","Gm13710",0
"577","Ptprj",0
"578","Spi1",0
"579","Lmo2",0
"580","Ehd4",0
"581","Capn3",0
"582","Stard9",0
"583","B2m",0
"584","Mertk",0
"585","Sirpa",0
"586","Rassf2",0
"587","Rrbp1",0
"588","Cst3",0
"589","Abhd12",0
"590","Soga1",0
"591","Mafb",0
"592","Serinc3",0
"593","Pmepa1",0
"594","Pag1",0
"595","Pld1",0
"596","Gm43821",0
"597","Maml3",0
"598","P2ry13",0
"599","P2ry12",0
"600","Mbnl1",0
"601","Fcrls",0
"602","Il6ra",0
"603","Ctss",0
"604","Plekho1",0
"605","Fcgr1",0
"606","Txnip",0
"607","Olfml3",0
"608","Cttnbp2nl",0
"609","I830077J02Rik",0
"610","Cd53",0
"611","Fam102b",0
"612","Frrs1",0
"613","Bank1",0
"614","Dapp1",0
"615","Lyn",0
"616","Chd7",0
"617","B4galt1",0
"618","Tgfbr1",0
"619","Abca1",0
"620","Col27a1",0
"621","Whrn",0
"622","Smap2",0
"623","Csf3r",0
"624","Laptm5",0
"625","Wasf2",0
"626","Rps6ka1",0
"627","C1qb",0
"628","C1qc",0
"629","C1qa",0
"630","Tnfrsf1b",0
"631","Pik3cd",0
"632","Spsb1",0
"633","Slc2a5",0
"634","Cdk6",0
"635","0610040J01Rik",0
"636","Klf3",0
"637","Rhoh",0
"638","Rbm47",0
"639","Tec",0
"640","Anxa3",0
"641","Bmp2k",0
"642","Crybb1",0
"643","Myo18b",0
"644","Cmklr1",0
"645","Tmem119",0
"646","Selplg",0
"647","P2rx7",0
"648","Ncf1",0
"649","Mlxipl",0
"650","Rasa4",0
"651","Irf5",0
"652","Zc3hav1",0
"653","Tbxas1",0
"654","Skap2",0
"655","Chn2",0
"656","Hpgds",0
"657","Hk2",0
"658","Arhgap25",0
"659","Frmd4b",0
"660","Mitf",0
"661","Irak2",0
"662","Wnk1",0
"663","Apobec1",0
"664","BC035044",0
"665","Etv6",0
"666","Itpr2",0
"667","Lair1",0
"668","Tgfb1",0
"669","Kcnk6",0
"670","Tyrobp",0
"671","Cd33",0
"672","Cd37",0
"673","Nav2",0
"674","Siglech",0
"675","Lrrk1",0
"676","Mef2a",0
"677","Akap13",0
"678","AU020206",0
"679","Zfp710",0
"680","Ctsc",0
"681","E230029C05Rik",0
"682","Picalm",0
"683","Gab2",0
"684","Slco2b1",0
"685","Gm34280",0
"686","P2ry6",0
"687","Fchsd2",0
"688","Trim12a",0
"689","Trim30a",0
"690","Trim30d",0
"691","4933406I18Rik",0
"692","Pde3b",0
"693","Il21r",0
"694","Itgam",0
"695","Rgs10",0
"696","Gm15503",0
"697","Ebf3",0
"698","Ifitm10",0
"699","Ctsd",0
"700","Mtus1",0
"701","Hpgd",0
"702","Il15",0
"703","Scoc",0
"704","Sall1",0
"705","Chd9",0
"706","Lpcat2",0
"707","Zfhx3",0
"708","Maf",0
"709","Plcg2",0
"710","Irf8",0
"711","Cyba",0
"712","Sipa1l2",0
"713","Ntpcr",0
"714","Fli1",0
"715","Ets1",0
"716","Ubash3b",0
"717","Il10ra",0
"718","Rab39",0
"719","1700017B05Rik",0
"720","Scamp2",0
"721","Dennd4a",0
"722","Ctsh",0
"723","Slc9a9",0
"724","Cmtm7",0
"725","Tgfbr2",0
"726","Itga9",0
"727","Cx3cr1",0
"728","Lyzl4",0
"729","Ccr5",0
"730","Ifngr1",0
"731","Epb41l2",0
"732","Marcks",0
"733","Gm35154",0
"734","Gm40645",0
"735","Cdh23",0
"736","Vsir",0
"737","Slc29a3",0
"738","Pald1",0
"739","Rhobtb1",0
"740","Arhgap45",0
"741","Gna15",0
"742","Nuak1",0
"743","Tmcc3",0
