"","gene","combined_p_val"
"2770","Rgs5",0
"2771","Lamc3",0
"2772","Slc38a11",0
"2773","Myl9",0
"2774","Gm36823",0
"2775","Tm4sf1",0
"2776","Pear1",0
"2777","Enpep",0
"2778","C1qtnf7",0
"2779","Tbx3os1",0
"2780","Hspb1",0
"2781","Col1a2",0
"2782","Slc6a13",0
"2783","Kcnj8",0
"2784","Abcc9",0
"2785","Mrvi1",0
"2786","Ifitm1",0
"2787","Ano1",0
"2788","Cgnl1",0
"2789","Bmp5",0
"2790","Zic1",0
"2791","Zic4",0
"2792","Ccn2",0
"2793","Frk",0
"2794","Ndufa4l2",0
"2795","Vtn",0
"2796","Tbx2",0
"2797","Nid1",0
"2798","Foxd1",0
"2799","Cysltr2",0
"2800","Egflam",0
"2801","A4galt",0
"2802","Tmem45a",0
"2803","Carmn",0
"2804","Slc22a8",0
"2805","Bgn",0
"2806","Rem1",0
"2807","Itga1",0
"2808","Cped1",0
"2809","2610307P16Rik",0
"2810","Rbpms",0
"2811","Mgp",0
"2812","Mill2",0
"2813","Adgrf5",0
"2814","Ddr2",0
"2815","Spp1",0
"2816","Pde5a",0
"2817","Slc6a20a",0
"2818","Gm30624",0
"2819","Gjc1",0
"2820","Slc16a12",0
"2821","Higd1b",0
"2822","Gm26632",0
"2823","Pla2r1",0
"2824","Colec12",0
"2825","Ednra",0
"2826","Morrbid",0
"2827","Osmr",0
"2828","Fzd6",0
"2829","Ggt5",0
"2830","Pdgfrb",0
"2831","Cox4i2",0
"2832","Cnn2",0
"2833","Dock6",0
"2834","Gper1",0
"2835","Vstm4",0
"2836","Igfbp7",0
"2837","Car4",0
"2838","Lama4",0
"2839","Arhgap29",0
"2840","Slc1a5",0
"2841","Nbl1",0
"2842","Atp2a3",0
"2843","Flt1",0
"2844","Tfpi",0
"2845","Dcdc2a",0
"2846","Atp13a5",0
"2847","Phldb2",0
"2848","Nr2f2",0
"2849","9530026P05Rik",0
"2850","Eva1b",0
"2851","Uaca",0
"2852","Trpc3",0
"2853","Mylk",0
"2854","B130024G19Rik",0
"2855","Rarres2",9.80178847316808e-307
"2856","Cxcl12",8.73780007498808e-298
"2857","Itga4",2.54109036615417e-287
"2858","4933431K23Rik",2.33782609604046e-285
"2859","Lhfp",1.98256934978779e-277
"2860","Apcdd1",8.4342274320901e-272
