"","gene","combined_p_val"
"1945","Prom1",0
"1946","Rinl",0
"1947","Enpp6",0
"1948","5830418P13Rik",0
"1949","Bfsp2",0
"1950","Bmp4",0
"1951","Chst3",0
"1952","Mroh3",0
"1953","Plxnb3",0
"1954","Kif19a",0
"1955","Gpr17",0
"1956","Gm10863",0
"1957","Bcas1os2",0
"1958","Zfp488",0
"1959","Rhbdl2",0
"1960","Prkcq",0
"1961","Myrf",0
"1962","1700047M11Rik",0
"1963","Cnksr3",0
"1964","Bcas1",0
"1965","Rnf122",0
"1966","St18",0
"1967","Gjc3",0
"1968","Tmem163",0
"1969","Elovl7",0
"1970","Adamts4",0
"1971","Neu4",0
"1972","Inava",0
"1973","Sgk2",0
"1974","Gm32633",0
"1975","Parvb",0
"1976","Sox10",0
"1977","Tns3",0
"1978","Ugt8a",0
"1979","Spsb1",0
"1980","Gal3st1",0
"1981","Cldn14",0
"1982","Chst8",0
"1983","Kank1",0
"1984","Shisal1",0
"1985","Dusp15",0
"1986","Sema3d",0
"1987","Gm26834",0
"1988","Asap3",0
"1989","Pllp",0
"1990","Fa2h",0
"1991","Phldb1",0
"1992","Ick",0
"1993","Sh3d19",0
"1994","Tspan15",0
"1995","4930444A19Rik",0
"1996","Sulf2",0
"1997","Tmem108",0
"1998","Ankrd44",0
"1999","Lima1",0
"2000","Nckap5",0
"2001","Olig2",0
"2002","Soga1",0
"2003","Gm4221",0
"2004","Lims2",0
"2005","Gm5087",0
"2006","Col9a3",0
"2007","Arhgef28",0
"2008","Cux2",0
"2009","Diaph3",0
"2010","Rras2",0
"2011","Kndc1",0
"2012","Sez6l",0
"2013","1700042O10Rik",0
"2014","Shisa4",2.07097636811561e-305
"2015","Lpar1",5.9067557433552e-301
"2016","Abtb2",2.12973882057179e-300
"2017","9130019P16Rik",2.953966722171e-298
"2018","Stard13",5.1883811835375e-294
"2019","Gramd3",1.39176585199205e-289
"2020","Tfeb",3.40252380427356e-284
"2021","Sirt2",1.34983849191396e-275
"2022","Arhgef10",1.16710415693739e-266
"2023","Tspan2",8.49208365228316e-265
"2024","Sema5a",4.0682677433193e-264
"2025","Lgi3",5.72286510503409e-264
"2026","Gm16364.1",2.46480212189701e-263
"2027","Plekhg1",8.8001941255965e-263
"2028","Dock6",9.05039341826399e-263
"2029","Plekhg3",7.45513094297989e-261
"2030","Agpat4",2.55978506298754e-258
"2031","Olig1",5.60367608274301e-255
"2032","Cobll1",1.00474923974409e-254
"2033","Cldn11",5.94743384684958e-254
"2034","Sh3bp4",5.96294619238602e-254
"2035","Enpp2",7.505927084742e-250
"2036","Bcar1",5.67144050392153e-249
"2037","Cd9",6.85452363711409e-249
"2038","Pdzrn3",2.55380452610886e-248
"2039","Mob3b",2.85989701330522e-248
"2040","Padi2",4.63619337304161e-248
"2041","Jam3",9.66461547030212e-246
"2042","Ppfibp1",2.93525906211801e-244
"2043","Fbn2",5.12392459982222e-244
"2044","Prag1",2.54619583083805e-242
"2045","Nkx2-2os",7.7329370574495e-242
"2046","Cald1",1.22335301745351e-239
"2047","Mag",3.58858353831748e-239
"2048","Tcf7l2",1.08375025562948e-234
"2049","Tubb4a",4.96947488954448e-234
"2050","Creb3l2",3.27428915379671e-233
"2051","Afap1l2",8.70889254370136e-233
"2052","Zeb2",4.97079507628093e-232
"2053","Sox8",4.79464489949168e-224
"2054","Bmp1",6.99242360789992e-222
"2055","Tnni1",2.25223590258358e-221
