"","gene","combined_p_val"
"4751","Lhx8",0
"4752","Slc10a4",0
"4753","Qrfprl",0
"4754","Zic1",0
"4755","Chat",0
"4756","Gm49678",0
"4757","Slc5a7",0
"4758","9330158H04Rik",0
"4759","Ecel1",0
"4760","Pde3a",0
"4761","Isl1",0
"4762","Tshz3",0
"4763","Cftr",0
"4764","Plpp4",0
"4765","Sfta3-ps",0
"4766","Kcnk9",0
"4767","Slit1",0
"4768","Sntb1",0
"4769","Chrm2",0
"4770","Whrn",0
"4771","4930590L20Rik",0
"4772","Elavl2",0
"4773","Gm16083",0
"4774","Sdk1",0
"4775","4930527B05Rik",0
"4776","Elfn1",0
"4777","Gm15496",0
"4778","4921534H16Rik",0
"4779","Zfp423",0
"4780","Tmem108",0
"4781","Tacr1",0
"4782","Cpne4",0
"4783","Kcnt2",0
"4784","Gm11418",0
"4785","Gm32509",0
"4786","Dner",0
"4787","Ebf4",0
"4788","4930444A19Rik",0
"4789","5530401A14Rik",0
"4790","Trpc3",0
"4791","Dscam",0
"4792","Miat",0
"4793","Gm11417",0
"4794","Slc6a15",0
"4795","Cntnap4",0
"4796","Car10",0
"4797","Inpp4b",0
"4798","Nxn",0
"4799","C530008M17Rik",0
"4800","Acly",0
"4801","Ankrd44",0
"4802","Sphkap",0
"4803","Trpc7",0
"4804","8030451O07Rik",0
"4805","Tshz2",0
"4806","Dpysl3",0
"4807","Iqsec3",0
"4808","Mcc",0
"4809","Pip5k1b",0
"4810","Gng2",0
"4811","Elavl4",0
"4812","Plcb4",0
"4813","Trpc4",0
"4814","Adcy2",0
"4815","Kcnj3",4.60764134386027e-301
"4816","Ldlrad3",1.77994750022571e-294
"4817","Gm11655",4.24989012295815e-290
"4818","Unc13b",6.69733016727987e-284
"4819","Gm13919",2.95913903540535e-283
"4820","Clstn2",3.77980324410688e-279
"4821","Ppm1e",7.35353971647e-277
"4822","Dpysl5",6.71198224036313e-267
"4823","Myrip",3.96833386524356e-251
"4824","Zfp618",3.32925663312108e-248
"4825","Lima1",6.60245497203123e-246
"4826","Ankrd24",5.6083491455193e-245
"4827","Luzp2",1.40298879999701e-242
"4828","Prima1",1.17870061885919e-239
"4829","Grk5",3.55299440028397e-234
"4830","Gm45645",2.24280504708419e-230
"4831","Slc7a14",5.27325081226683e-228
"4832","Cacna2d2",8.54419961567996e-213
"4833","Scn9a",1.89366049823381e-207
"4834","Cep112",1.92861645781088e-204
"4835","Stmn2",2.19429458539858e-200
"4836","Ptchd4",3.4856346052627e-196
"4837","Ptprs",1.19534304219242e-195
"4838","Carmil1",9.98358267502331e-191
"4839","Ctif",3.8415946309526e-187
"4840","Ccdc85a",1.13335518897239e-176
"4841","Nt5dc3",2.03007736066318e-175
"4842","Chl1",1.04684192426853e-174
"4843","Rab3b",2.16064745092191e-174
"4844","Fam155a",3.0600786406813e-174
"4845","Rimbp2",5.01407379169181e-174
"4846","Prkca",5.5606358423574e-171
"4847","Sfmbt2",3.970601050314e-170
"4848","Asic2",2.93066271569937e-169
"4849","Ablim3",1.75381246429156e-168
"4850","Sntg1",2.16996677848484e-168
"4851","2700054A10Rik",3.49913740203385e-168
"4852","Galntl6",8.92515448287821e-167
"4853","Nyap2",2.89057085498834e-165
"4854","Ralyl",2.10282101944989e-164
"4855","Rbms3",6.36877180067677e-164
"4856","Rims1",8.34929844446827e-164
"4857","Gm20642",2.90408956040016e-163
"4858","Ctnna2",4.86867795172682e-163
"4859","Hs3st4",1.80060153141104e-162
"4860","Sobp",4.79042770738212e-162
"4861","Ccser1",4.99937961062724e-162
"4862","Sv2c",7.09833234189267e-161
"4863","Cdk14",3.800612776718e-160
"4864","Tmem132e",6.60051583346735e-158
