"","gene","combined_p_val"
"5023","Kcnmb2",8.13432448814018e-307
"5024","Hcrtr2",5.05874013259271e-274
"5025","Dlx1",2.33413217006983e-182
"5026","Gm21798",3.104804662478e-182
"5027","Pde11a",8.47386122446159e-179
"5028","Adcy8",9.28579475049708e-149
"5029","Nxph1",2.60420262979524e-148
"5030","Igf1",4.49503930738452e-143
"5031","Kcnip1",8.08311911701518e-103
"5032","Kcnj6",4.71911128458327e-92
"5033","Gm38505",4.30893284855985e-90
"5034","Col19a1",4.75753522846845e-84
"5035","Kit",1.96558961837638e-73
"5036","Btbd11",6.13617781409264e-65
"5037","Ppm1e",2.56095849901555e-60
"5038","Grik1",3.02230352556896e-60
"5039","Elavl2",4.07219351675705e-60
"5040","Dner",1.85831636858962e-57
"5041","Vwc2",1.25915386190224e-56
"5042","C530008M17Rik",1.47490910538738e-54
"5043","Zfp536",3.44183873308391e-52
"5044","Dlx1as",1.62839662731968e-51
"5045","Zbtb16",1.69957114350597e-50
"5046","Pcdh15",5.51629414275051e-50
"5047","Zmat4",1.12066852049625e-47
"5048","Col26a1",4.50418814479945e-47
"5049","Nfib",2.55719902090982e-46
"5050","Rasgrf2",3.18148587922223e-46
"5051","Homer2",1.08280657066144e-45
"5052","Egfr",6.025815231618e-41
"5053","Gm15398",1.35614536274034e-39
"5054","Pde4d",1.90556165479225e-39
"5055","Grip1os2",3.68127552390179e-38
"5056","Pip5k1b",1.26812391163476e-36
"5057","Npy",6.96739379460897e-36
"5058","Adra1a",1.87814411053485e-35
"5059","Tcf4",4.12920545620754e-35
"5060","Sox1ot",1.83571510824288e-34
"5061","Chrm3",2.90795884357839e-34
"5062","Erbb4",5.63415498562773e-34
"5063","Grip1",1.49906259024547e-33
"5064","9630014M24Rik",1.3931962169985e-32
"5065","Dlx6os1",1.41754064280549e-32
"5066","Tox3",2.1484772657427e-32
"5067","Sox2ot",2.98905895266408e-31
"5068","Adarb2",3.23056030519752e-31
"5069","Maf",5.46123123285704e-31
"5070","Ptchd4",6.07163237386722e-31
"5071","Sobp",8.22675462405647e-31
"5072","Plcb4",2.38563597011747e-30
"5073","Sema5a",6.47656726234219e-30
"5074","Ube3a",1.44100728122294e-28
"5075","Alk",5.92571834047615e-28
"5076","Ptprm",1.74388791829692e-27
"5077","Snhg11",3.95782876970079e-27
"5078","Celf4",6.55517805913324e-26
"5079","5330434G04Rik",1.61381047513068e-25
"5080","Fmn1",3.92258392393009e-25
"5081","Gm20642",7.44240045766759e-25
"5082","Cadps",1.21898954185439e-24
"5083","Astn2",5.60405583297536e-24
"5084","Clstn2",8.39554138068689e-24
"5085","Fam155a",1.17667396335427e-23
"5086","Xkr4",1.35206110985936e-23
"5087","Dgkg",1.44697344027632e-23
"5088","Nrg3os",2.73424293235771e-23
"5089","Nol4",3.13062866149442e-23
"5090","Mtss1",6.82635645344044e-23
"5091","Gad1",1.40802312930552e-22
"5092","Rims1",1.73815471715918e-22
"5093","Aff2",6.75912937905017e-21
"5094","Kcnc1",1.04252371813763e-20
"5095","Adamts17",2.42989486386115e-20
"5096","Tafa2",3.90376515774117e-20
"5097","Gria4",7.51274017023409e-20
"5098","Stmn2",2.88988512364503e-19
"5099","Dlgap1",5.41855283542758e-19
"5100","Kcnh7",5.70817699057181e-19
"5101","Rapgef4",1.44444853450373e-18
"5102","Pam",1.94363204665375e-18
"5103","Parm1",2.63500021284527e-18
"5104","Gabbr2",6.09911980079318e-18
"5105","Rapgef4os1",2.25183329764622e-17
"5106","Brinp2",2.57636148622864e-17
"5107","Khdrbs3",1.03268409567607e-16
"5108","Nyap2",4.69118049028942e-16
"5109","Cdh12",1.75535083188689e-15
"5110","Mpdz",2.27575862292962e-15
"5111","Klf12",3.90126626824417e-15
"5112","4930415C11Rik",7.86159720396461e-15
"5113","Nav3",8.7898428392559e-15
"5114","Fstl5",1.02719776762957e-14
"5115","Nrg3",1.9670057245433e-14
"5116","Rev3l",6.12473122894023e-14
"5117","Fgf13",1.20250455636661e-13
"5118","Rab3c",1.32209489109036e-13
"5119","Meg3",3.20728790527676e-13
"5120","Slc6a1",3.54358847839419e-13
"5121","A330076H08Rik",4.76881217598311e-13
"5122","A230057D06Rik",4.9852699607535e-13
"5123","Amph",2.05414375772063e-12
"5124","Apba1",1.17333544350808e-11
"5125","Lingo2",1.20236125121261e-11
"5126","Gm28153",2.08654102053417e-11
"5127","Sntg1",2.20174783348942e-11
"5128","Rimbp2",7.27727381281696e-11
"5129","Kcnn2",7.5112884647903e-10
"5130","Egfem1",1.36567025201191e-09
"5131","Mir124a-1hg",1.51398200253462e-09
"5132","Kif5c",1.65397581302727e-09
"5133","Slc24a3",2.31576802983235e-09
"5134","Crispld1",2.90150369335472e-09
"5135","4930517O19Rik",4.55730205533276e-09
"5136","Sh3rf3",7.6218967020986e-09
"5137","Itgbl1",3.40079589561232e-08
"5138","Gm37679",7.93277054521847e-08
"5139","Gabrb2",1.12032416657372e-07
"5140","Kctd16",1.4767358529957e-07
"5141","A830018L16Rik",5.72857643406518e-07
"5142","Cacna2d1",6.7503711286961e-07
"5143","Unc5c",3.67066218816701e-06
"5144","Grin2a",4.6783430074569e-06
