"","gene","combined_p_val"
"5145","Lemd1",0
"5146","Nxph2",0
"5147","Lhx6",0
"5148","Nos1",0
"5149","Sfrp1",0
"5150","Moxd1",0
"5151","Arhgap28",0
"5152","Npy",0
"5153","Kcnmb2",0
"5154","Rnf152",0
"5155","Gm45025",0
"5156","9330158H04Rik",0
"5157","Tacr1",0
"5158","Nxph1",0
"5159","Ndst4",0
"5160","Grik1",0
"5161","Chrm2",0
"5162","Cntnap4",0
"5163","Vwc2l",0
"5164","Col25a1",0
"5165","Gm38505",0
"5166","Sox6",0
"5167","Tox3",0
"5168","Gm45904",0
"5169","Sst",0
"5170","Tent5a",0
"5171","Colec12",0
"5172","Itga8",0
"5173","Aff2",0
"5174","Grin3a",0
"5175","Ntn1",0
"5176","Gm42695",0
"5177","Tox",0
"5178","Kcnc2",0
"5179","Npy2r",0
"5180","Adgrg6",0
"5181","Sox1ot",0
"5182","Klhl32",0
"5183","Alk",0
"5184","Gm12296",0
"5185","Elavl2",0
"5186","Thsd7b",0
"5187","Shisa6",0
"5188","Mcc",0
"5189","Fxyd6",0
"5190","8030451O07Rik",0
"5191","Gm16083",0
"5192","Tmem108",0
"5193","Eda",0
"5194","Dnah9",0
"5195","Vstm2b",0
"5196","Dscam",0
"5197","Gm2516",0
"5198","C130073E24Rik",0
"5199","Gm20515",0
"5200","4930555F03Rik",0
"5201","Gm45321",0
"5202","Gm32509",0
"5203","Hhip",0
"5204","Baiap3",0
"5205","Resp18",0
"5206","Zfp804b",0
"5207","Kcnk10",0
"5208","Ankfn1",0
"5209","Grik4",0
"5210","Rims4",0
"5211","Slit1",0
"5212","Scn9a",0
"5213","Olfm2",0
"5214","Gm13629",0
"5215","Dner",0
"5216","Gm45323",0
"5217","C530008M17Rik",0
"5218","Plcb4",0
"5219","Pip5k1b",0
"5220","Cpne4",0
"5221","Nell1",2.06025851500974e-301
"5222","Slc44a5",6.55029346108362e-298
"5223","Adra1a",1.09752252617612e-290
"5224","Gm28307",1.32641328205214e-282
"5225","Col11a1",2.7665360926113e-279
"5226","Rab3b",4.03194902642987e-278
"5227","Gm15398",2.86930039533887e-276
"5228","Sox2ot",3.56764578724962e-273
"5229","Inpp4b",4.24860380814599e-268
"5230","Nell1os",2.57371089111011e-266
"5231","B230216N24Rik",2.00715734573635e-258
"5232","Pcdh15",4.68190956063603e-258
"5233","Gm26854",2.62023600752953e-257
"5234","Klf5",1.82498411812883e-242
"5235","9630014M24Rik",3.45959517885158e-230
"5236","Stmn2",6.40887284817623e-230
"5237","Ptprt",1.0382815090487e-222
"5238","Dpysl5",4.53417018810678e-220
"5239","Fstl5",2.22492286785053e-218
"5240","L3mbtl4",3.80079145172918e-213
"5241","Slc24a3",1.49726003810587e-208
"5242","Kcnb2",2.00779604409465e-208
"5243","Rftn1",6.19605392893301e-208
"5244","Pam",1.84816883171654e-207
"5245","Fam155a",1.96073026163052e-205
"5246","Meg3",3.73002417281577e-205
"5247","A230077H06Rik",8.94950161936253e-205
"5248","Bcl11a",1.61986450237737e-204
"5249","Gm42303",5.81435993275334e-201
"5250","Oxr1",7.76913635946589e-201
"5251","Astn2",1.16065431361143e-199
"5252","Mllt3",6.99685257965693e-193
"5253","Nkain3",7.57397839703969e-188
"5254","Snhg11",1.28934118937385e-187
"5255","Hdac4",1.17425877585666e-186
"5256","Epha5",2.02476741717884e-184
"5257","Spock1",3.37516371001972e-183
"5258","Ube3a",4.27749956967821e-179
"5259","Rbms3",5.15909896380251e-179
"5260","Celf4",2.89114308640196e-175
"5261","Grb10",8.00152479307219e-175
"5262","Dlgap1",1.23513969311782e-168
"5263","Rph3a",3.39509840647807e-164
"5264","Nav3",1.58830716265614e-162
"5265","Csmd2",1.52229375500043e-161
"5266","5330434G04Rik",3.14476742963726e-161
"5267","Gm12064",2.68237856090092e-160
"5268","Kcnip1",2.69544324791887e-158
"5269","Grip1",3.30209513183898e-158
"5270","Ptprm",8.85840765610859e-155
"5271","Robo1",4.06484343848116e-154
"5272","Garnl3",3.08748024457722e-152
"5273","Plxna4",1.63278283846721e-150
"5274","Mapk10",2.23358222336195e-150
"5275","Fgf1",8.54775406987336e-150
"5276","Adamts6",9.21140127112006e-149
"5277","1110004F10Rik",1.28801681881158e-146
"5278","Sntg2",4.52725501336287e-146
"5279","Epb41l3",1.36887101378939e-144
