"","gene","combined_p_val"
"5324","Col19a1",0
"5325","Dlx1as",0
"5326","A530058N18Rik",0
"5327","Kcnmb2",0
"5328","Kit",0
"5329","Nxph1",0
"5330","Pde3a",0
"5331","Cox6a2",0
"5332","Maf",0
"5333","Moxd1",0
"5334","Igf1",0
"5335","Egfr",0
"5336","Egfros",0
"5337","Igfbp4",0
"5338","Sfta3-ps",0
"5339","Cntnap3",0
"5340","Adamts5",0
"5341","Gna14",0
"5342","Galnt14",0
"5343","Sox5os4",0
"5344","Gpc3",0
"5345","A630012P03Rik",0
"5346","Cntnap4",0
"5347","6330576A10Rik",0
"5348","Elavl2",0
"5349","Gm49876",0
"5350","Ndst4",0
"5351","Mafb",0
"5352","Gm13832",0
"5353","Nwd2",0
"5354","Pparg",0
"5355","Gm45904",0
"5356","Adcy8",0
"5357","Gm47027",0
"5358","Tmem178",0
"5359","Zfp536",0
"5360","Gm21798",0
"5361","Vwc2",0
"5362","Gm49878",0
"5363","Crtac1",0
"5364","Grip1os2",0
"5365","Rnf144b",0
"5366","Lgr5",0
"5367","Gpr83",0
"5368","Sox6",0
"5369","Gm34299",0
"5370","Gm15398",0
"5371","Tmem108",0
"5372","Adamts17",0
"5373","Tcf4",0
"5374","Kcnip1",0
"5375","Cemip",0
"5376","Srrm4",0
"5377","Grip1",0
"5378","Chrm2",0
"5379","Hs3st2",0
"5380","Gria4",0
"5381","Zmat4",0
"5382","Lamb1",0
"5383","Etv1",0
"5384","Erbb4",0
"5385","Grip1os1",0
"5386","Srrm4os",0
"5387","Ppm1l",0
"5388","Pcdh15",0
"5389","Dlc1",0
"5390","Dlgap1",0
"5391","Prox1",0
"5392","E230016M11Rik",0
"5393","Astn2",0
"5394","Adcy1",0
"5395","Ankrd24",0
"5396","Gm12296",0
"5397","Shisa6",0
"5398","Rapgef5",0
"5399","Tafa2",0
"5400","Ptprg",0
"5401","Megf11",0
"5402","Gpr176",0
"5403","C530008M17Rik",0
"5404","Sox5",0
"5405","Zbtb16",0
"5406","Tle2",0
"5407","Nfib",0
"5408","Dner",0
"5409","Alk",0
"5410","Skp2",0
"5411","9630014M24Rik",0
"5412","Kcnc1",0
"5413","Gad1",0
"5414","Vsnl1",0
"5415","Iqsec3",0
"5416","St8sia4",0
"5417","Olfm2",0
"5418","Dlx6os1",0
"5419","Olfm1",0
"5420","Btbd11",0
"5421","Mkx",0
"5422","Grk3",0
"5423","Fmn1",0
"5424","8030451O07Rik",0
"5425","Ablim3",0
"5426","Ank1",0
"5427","Hcn1",0
"5428","Mtss1",0
"5429","Kcnj6",0
"5430","Sobp",0
"5431","Shank1",0
"5432","4933413L06Rik",0
"5433","Ppm1e",0
"5434","Klhl32",0
"5435","Tiam1",0
"5436","Clstn2",0
"5437","Adra1a",0
"5438","Kcnd3",0
"5439","Plxna4",0
"5440","Slc8a1",4.33091648133356e-305
"5441","Cadps",1.6208929873288e-303
"5442","Sh3rf3",3.05978271354712e-302
"5443","Nrcam",5.20493314505445e-302
