"","gene","combined_p_val"
"5539","Th",0
"5540","Trh",0
"5541","Lhx8",0
"5542","Syt17",0
"5543","Hmcn2",0
"5544","Lhx6",0
"5545","Sfta3-ps",0
"5546","Antxr2",0
"5547","Crabp1",0
"5548","Adra1b",0
"5549","Kit",0
"5550","Hs3st2",0
"5551","Gm15723",0
"5552","Camk2n2",0
"5553","9330158H04Rik",0
"5554","Ccbe1",0
"5555","4933432K03Rik",0
"5556","4930473D10Rik",0
"5557","Dpf3",0
"5558","Grik1",0
"5559","Chrm2",0
"5560","Trhde",0
"5561","Cacna1g",0
"5562","Adcy8",0
"5563","Nxph1",0
"5564","A530058N18Rik",0
"5565","Cntnap4",0
"5566","Elavl2",0
"5567","Thsd7b",0
"5568","Iqsec3",0
"5569","Lgr5",0
"5570","Sphkap",0
"5571","Olfm2",0
"5572","Adcy2",0
"5573","Alk",0
"5574","Cux2",0
"5575","Gm32509",0
"5576","Dner",0
"5577","Tcerg1l",0
"5578","Syt13",0
"5579","Klhl32",0
"5580","Ankrd55",0
"5581","Sidt1",0
"5582","Gm21798",0
"5583","Sema3d",0
"5584","Fhod3",0
"5585","Vsnl1",0
"5586","Tmem108",0
"5587","Kcnip1",0
"5588","C530008M17Rik",0
"5589","8030451O07Rik",0
"5590","Resp18",0
"5591","Sdk2",0
"5592","Grin3a",0
"5593","Lrfn2",0
"5594","Crtac1",0
"5595","Dscam",6.8823147808404e-303
"5596","Tmem178",2.14637171182319e-285
"5597","Gm32442",4.2732299541108e-279
"5598","Kcnc1",1.99360088639577e-263
"5599","Ank1",2.57437991610865e-255
"5600","Trpc7",3.08954788568673e-253
"5601","Fstl5",8.29132203754323e-251
"5602","Zfp536",7.43655290799175e-249
"5603","Cep112",1.3709402922495e-248
"5604","Scn9a",1.7608662648996e-248
"5605","Fndc1",9.06464127656885e-241
"5606","6330576A10Rik",1.41091736371207e-240
"5607","Ppm1l",5.17902987815344e-234
"5608","Nfib",3.0086045983898e-230
"5609","Gnas",1.93278940735642e-225
"5610","Cdh22",4.57988546998619e-222
"5611","Ankrd24",4.41853249114318e-220
"5612","Sobp",5.26122836145633e-218
"5613","Podxl2",9.5673206419294e-216
"5614","Adamts17",7.865849529736e-206
"5615","9630014M24Rik",9.72070605855689e-206
"5616","Ablim3",1.11072423531749e-197
"5617","Mtss1",3.58934983134996e-193
"5618","Astn2",7.92800050571474e-192
"5619","E230016M11Rik",1.15181021858442e-191
"5620","Lingo2",5.24330446899318e-189
"5621","Tcf4",4.34940446754432e-185
"5622","Parm1",1.59654157690117e-182
"5623","Sox6",9.56363349096855e-178
"5624","Cdh4",1.13142553926145e-176
"5625","Etv1",1.12665553552945e-174
