"","gene","combined_p_val"
"5771","Slc17a7",0
"5772","Gm49678",0
"5773","Tmem178",0
"5774","Ccdc3",0
"5775","Tafa1",0
"5776","Pdzrn3",0
"5777","Fhod3",0
"5778","Cadps2",0
"5779","Sv2b",0
"5780","Sidt1",0
"5781","Kcnj6",0
"5782","Hs3st2",0
"5783","Clstn2",0
"5784","Slit1",0
"5785","Sh3gl2",0
"5786","Tshz3",0
"5787","Arpp21",0
"5788","Khdrbs3",0
"5789","Pcsk2",0
"5790","Kcnh7",0
"5791","Cdk14",0
"5792","Sobp",0
"5793","Miat",0
"5794","Nwd2",0
"5795","Oxr1",0
"5796","Gabbr2",0
"5797","Car10",0
"5798","Tmem108",0
"5799","Nrg3",0
"5800","Ptprd",0
"5801","Fam155a",0
"5802","Cpne4",0
"5803","Gabra3",0
"5804","Celf4",0
"5805","Epha5",0
"5806","Hecw1",0
"5807","Spon1",0
"5808","Tafa2",0
"5809","Ncald",0
"5810","Olfm1",0
"5811","Gm20642",0
"5812","Rgs6",0
"5813","Ak5",1.1638725545096e-302
"5814","Cadps",3.55711728438611e-295
"5815","Lrfn5",3.53308660969474e-292
"5816","Sgcd",4.333913826561e-291
"5817","Mef2c",1.66685004347905e-289
"5818","Ppm1l",6.27792724563237e-286
"5819","Kcnt2",1.55369987428877e-284
"5820","Tcf4",1.35831740230594e-275
"5821","Mical2",3.61350135805781e-273
"5822","Rimbp2",1.62822419443782e-271
"5823","Ppm1e",7.7647677377748e-271
"5824","C1ql3",1.22472381214696e-262
"5825","Brinp2",3.0595411751946e-262
"5826","Adcy2",1.62236678083412e-245
"5827","Apba2",1.30829717358065e-244
"5828","Nav3",2.43893174056757e-240
"5829","Unc13b",5.06330125563132e-224
"5830","Ldb2",7.20110784272808e-213
"5831","Kcnma1",6.23901996552193e-212
"5832","Lingo1",3.09965375575285e-211
"5833","Pcdh15",2.80638344502744e-209
"5834","Gm15398",5.46387611495531e-204
"5835","Cacna2d1",3.80113416582553e-198
"5836","Kcnb2",1.97711627536292e-193
"5837","Grin2a",1.67581736290914e-190
"5838","Dlgap1",4.5715459304758e-167
"5839","Amph",1.38446556250399e-166
"5840","Rims1",1.9857907302219e-164
"5841","Gls",2.35423900955289e-164
"5842","Csmd1",4.41663144439924e-162
"5843","Nell1",2.4437591982737e-161
"5844","Rnf112",1.07874202440659e-156
"5845","Raph1",3.65739989979794e-152
"5846","Pak7",3.08681326350991e-149
"5847","Syt1",1.14540529862243e-148
"5848","Atrnl1",3.18175086458239e-148
"5849","Camk2a",8.09572908918441e-147
"5850","Grm8",1.59187627708728e-142
"5851","Fbxw7",5.69540310798718e-136
"5852","Hivep3",5.93797314418477e-134
"5853","Srrm4",1.52718428741218e-125
"5854","Vsnl1",1.83467270648909e-125
"5855","Prkag2",1.51518686015924e-120
"5856","Dpp10",1.58826616133044e-120
"5857","Fstl5",4.38835787725327e-110
"5858","Nrcam",1.70098280689564e-109
"5859","Kcnj3",4.06348247173997e-108
"5860","Gpc6",1.56255552348855e-107
"5861","Prickle1",3.01879920868445e-106
"5862","Agbl4",1.52209507647325e-101
"5863","Pde1a",3.54157314731155e-90
"5864","Ryr2",4.77596928703502e-80
