"","gene","combined_p_val"
"4944","Erbb4",0
"4945","Vwc2l",0
"4946","Sphkap",0
"4947","Lypd1",0
"4948","Thsd7b",0
"4949","Pbx3",0
"4950","C79798",0
"4951","Gm13974",0
"4952","Gm28494",0
"4953","Meis2",0
"4954","Sox2ot",0
"4955","Gm38505",0
"4956","Ntng1",0
"4957","Col11a1",0
"4958","Olfm3",0
"4959","Npffr2",0
"4960","Foxp2",0
"4961","Cadps2",0
"4962","Sox1ot",0
"4963","Inpp4b",0
"4964","Clstn2",0
"4965","Oprm1",0
"4966","Slc35f1",0
"4967","Kcnh5",0
"4968","Adarb2",0
"4969","Msra",0
"4970","Khdrbs3",0
"4971","Grin2a",0
"4972","Sema5b",0
"4973","Epha3",0
"4974","8030451O07Rik",0
"4975","Robo1",0
"4976","Gm49906",0
"4977","Chst9",0
"4978","March3",0
"4979","Tshz1",0
"4980","Kcnc2",0
"4981","Trhde",0
"4982","Chn2",0
"4983","Pcdh15",0
"4984","Kcnj3",0
"4985","Slc2a13",0
"4986","Slc44a5",0
"4987","Ppm1e",0
"4988","Trpm3",0
"4989","Syt1",0
"4990","Cadps",0
"4991","Fam155a",0
"4992","Gm15398",0
"4993","Atp2b4",0
"4994","Ildr2",0
"4995","Ccser1",0
"4996","Cpne4",0
"4997","Pbx1",0
"4998","Ptprg",0
"4999","Car10",0
"5000","Celf4",0
"5001","Gabra3",0
"5002","Kcnip4",0
"5003","Dlx6os1",0
"5004","Asic2",0
"5005","Sorcs2",0
"5006","Tafa2",0
"5007","Zfp804b",0
"5008","Etl4",1.21329747041877e-288
"5009","Rims2",5.14786536398863e-281
"5010","Nrxn3",6.5993624529851e-279
"5011","Ptpro",2.64862737125763e-275
"5012","Gabrg3",5.26498749251653e-271
"5013","Brinp2",1.41130987771168e-268
"5014","Gm40841",3.31036146341523e-243
"5015","Adamts3",5.31510038614513e-207
"5016","Prkce",1.96332513645467e-191
"5017","Mpped2",1.04336290105135e-174
"5018","Abl2",2.37391142243941e-156
"5019","Fam135b",4.99694882918024e-152
"5020","Runx1t1",1.75406044841711e-125
"5021","Nfib",7.40466301444612e-116
"5022","Dlgap1",2.57843869108585e-88
