"","gene","combined_p_val"
"1","Xkr4",0
"2","Sntg1",0
"3","A830018L16Rik",0
"4","Kcnb2",0
"5","Stau2",0
"6","Kcnq5",0
"7","Rims1",0
"8","Adgrb3",0
"9","Inpp4a",0
"10","2010300C02Rik",0
"11","Unc80",0
"12","March4",0
"13","Ptprn",0
"14","Speg",0
"15","Nyap2",0
"16","Armc9",0
"17","Cntnap5a",0
"18","Nmnat2",0
"19","Cacna1e",0
"20","Catspere2",0
"21","Kif26b",0
"22","Mark1",0
"23","Gm38251",0
"24","Esrrg",0
"25","Kcnh1",0
"26","Syt14",0
"27","Plxna2",0
"28","Celf2",0
"29","Cacnb2",0
"30","Gm10848",0
"31","Gm13269",0
"32","Etl4",0
"33","Gpr158",0
"34","Gad2",0
"35","Cacna1b",0
"36","Grin1",0
"37","Stxbp1",0
"38","Ttll11",0
"39","Kif5c",0
"40","Cacnb4",0
"41","Galnt13",0
"42","Ccdc148",0
"43","Slc4a10",0
"44","Scn3a",0
"45","Scn2a",0
"46","Csrnp3",0
"47","Scn1a",0
"48","Cers6",0
"49","Gad1",0
"50","Rapgef4",0
"51","Rapgef4os1",0
"52","Osbpl6",0
"53","Zfp385b",0
"54","Gm13944",0
"55","D430041D05Rik",0
"56","Gm13883",0
"57","Ryr3",0
"58","Meis2",0
"59","Plcb1",0
"60","4930545L23Rik",0
"61","9630028H03Rik",0
"62","Snap25",0
"63","Macrod2",0
"64","Flrt3",0
"65","Macrod2os1",0
"66","Dzank1",0
"67","Syndig1",0
"68","Epb41l1",0
"69","Snhg11",0
"70","Slc12a5",0
"71","Kcnb1",0
"72","Kcnq2",0
"73","Pkia",0
"74","Slc7a14",0
"75","Kcnab1",0
"76","A330015K06Rik",0
"77","Gria2",0
"78","Trim46",0
"79","Celf3",0
"80","5330417C22Rik",0
"81","Ntng1",0
"82","Olfm3",0
"83","Plppr4",0
"84","Plppr5",0
"85","Gm26871",0
"86","Fnbp1l",0
"87","Col25a1",0
"88","Gm26691",0
"89","Ppp3ca",0
"90","Gm30382",0
"91","Negr1",0
"92","B230334C09Rik",0
"93","Lrrc7",0
"94","Clvs1",0
"95","Gm11817",0
"96","Necab1",0
"97","Nkain3",0
"98","Lingo2",0
"99","Phf24",0
"100","Brinp1",0
"101","Sh3gl2",0
"102","Mllt3",0
"103","Focad",0
"104","Hook1",0
"105","Agbl4",0
"106","Ccdc30",0
"107","Grik3",0
"108","Dlgap3",0
"109","Sh2d5",0
"110","Gm13052",0
"111","Ajap1",0
"112","Rundc3b",0
"113","Sema3a",0
"114","Pclo",0
"115","Cacna2d1",0
"116","Dpp6",0
"117","Jakmip1",0
"118","Gm1043",0
"119","Ldb2",0
"120","Kcnip4",0
"121","Gabra2",0
"122","Adamts3",0
"123","Mapk10",0
"124","Gm10419",0
"125","Wscd2",0
"126","Svop",0
"127","Bicdl1",0
"128","Cit",0
"129","Ksr2",0
"130","Tmem132b",0
"131","Glt1d1",0
"132","Rimbp2",0
"133","Caln1",0
"134","Galnt17",0
"135","Auts2",0
"136","Srrm3",0
"137","Mtus2",0
"138","Dync1i1",0
"139","Dlx6os1",0
"140","Ica1",0
"141","Kcnd2",0
"142","Dgki",0
"143","Cntnap2",0
"144","Jazf1",0
"145","Wipf3",0
"146","Ccser1",0
"147","Reep1",0
"148","Lrrtm4",0
"149","Add2",0
"150","Grm7",0
"151","Atp2b2",0
"152","Rasgef1a",0
"153","Cacna1c",0
"154","Slc2a3",0
"155","Prmt8",0
"156","Grin2b",0
"157","Rerg",0
"158","Lmo3",0
"159","Plekha5",0
"160","Far2",0
"161","Prkcg",0
"162","Usp29",0
"163","Atp1a3",0
"164","Sptbn4",0
"165","Nell1",0
"166","Gabrg3",0
"167","Gabrb3",0
"168","Ube3a",0
"169","Snhg14",0
"170","A230006K03Rik",0
"171","B230209E15Rik",0
"172","A230057D06Rik",0
"173","Fam189a1",0
"174","Sv2b",0
"175","Ntrk3",0
"176","Grm5",0
"177","Me3",0
"178","Dlg2",0
"179","Gm45159",0
"180","Gm32647",0
"181","Tenm4",0
"182","Cacng3",0
"183","Shank2",0
"184","Fam155a",0
"185","Mcf2l",0
"186","Dlgap2",0
"187","Csmd1",0
"188","Nrg1",0
"189","Sgcz",0
"190","Sorbs2",0
"191","Gm16351",0
"192","Sorbs2os",0
"193","Galntl6",0
"194","Spock3",0
"195","Lzts1",0
"196","Unc13a",0
"197","Rnf150",0
"198","Cacna1a",0
"199","Gm16183",0
"200","Vat1l",0
"201","Pcnx2",0
"202","Slc35f3",0
"203","Gucy1a2",0
"204","Gria4",0
"205","Cep126",0
"206","Cntn5",0
"207","Pde4a",0
"208","Opcml",0
"209","Scn3b",0
"210","Drd2",0
"211","Elmod1",0
"212","Nptn",0
"213","Hmgcll1",0
"214","Mei4",0
"215","Rasgrf1",0
"216","Clstn2",0
"217","Dock3",0
"218","Cacna2d2",0
"219","Camkv",0
"220","Traip",0
"221","Bsn",0
"222","Trank1",0
"223","Arpp21",0
"224","Rbms3",0
"225","Ulk4",0
"226","9530059O14Rik",0
"227","Rgs17",0
"228","Gm48749",0
"229","Samd5",0
"230","Hivep2",0
