"","gene","combined_p_val"
"95","Erbb4",0
"96","Vwc2l",0
"97","Sphkap",0
"98","Thsd7b",0
"99","Brinp2",0
"100","Etl4",0
"101","Cdh4",0
"102","Sox2ot",0
"103","Gm38505",0
"104","Ntng1",0
"105","Olfm3",0
"106","Slc44a5",0
"107","Foxp2",0
"108","Sox1ot",0
"109","Clstn2",0
"110","Tmem108",0
"111","Moxd1",0
"112","Pcdh15",0
"113","Gm15398",0
"114","Sfta3-ps",0
"115","Adarb2",0
"116","Cadps",0
"117","Khdrbs3",0
"118","Epha3",0
"119","8030451O07Rik",0
"120","Robo1",0
"121","Kcnj6",0
"122","Chst9",0
"123","March3",0
"124","Tshz1",0
"125","Inpp4b",0
"126","Ppm1e",0
"127","Cadps2",0
"128","Kcnmb2",0
"129","Fam155a",0
"130","Ptprg",0
"131","Grip1",0
"132","Alk",0
"133","Ccser1",0
"134","Ablim3",0
"135","Kcnj3",0
"136","Syt1",0
"137","Slc35f1",0
"138","Cpne4",0
"139","Dlgap1",0
"140","Tafa2",0
"141","Ube3a",0
"142","Adcy2",0
"143","Ank1",0
"144","Celf4",0
"145","Galntl6",0
"146","Airn",0
"147","Dpp6",0
"148","Nfib",0
"149","Nxph1",0
"150","Vsnl1",0
"151","Ppm1l",0
"152","Vwc2",0
"153","Car10",0
"154","Dner",0
"155","Dlx6os1",0
"156","Snhg11",0
"157","Asic2",0
"158","Elavl2",0
"159","Kcnip1",0
"160","Tacr1",0
"161","Zmat4",0
"162","Grip1os2",0
"163","Kcnt2",0
"164","Nos1",0
"165","Ndst4",0
"166","Cntnap4",0
"167","Zfp804b",0
"168","Aff2",0
"169","Nell1",0
"170","Astn2",0
"171","Egfr",0
"172","Sox6",0
"173","Galnt14",1.87102217455805e-305
"174","Gria4",2.72627779886557e-303
"175","Pam",7.75685181114604e-303
"176","Tcf4",3.04545604041548e-290
"177","Gad1",7.41046038285011e-273
"178","Trpm3",5.73704756136608e-251
"179","Col25a1",4.56790211592026e-228
"180","Col19a1",6.24551848108182e-201
"181","Npy",3.51755874222317e-92
"182","Sst",8.42965402030426e-52
