"","gene","combined_p_val"
"425","Paqr8",0
"426","Map4k4",0
"427","Plcl1",0
"428","Gm973",0
"429","Acsl3",0
"430","Cdh20",0
"431","Phlpp1",0
"432","Cdh19",0
"433","Nckap5",0
"434","Shisa4",0
"435","Csrp1",0
"436","Gm4258",0
"437","Nek7",0
"438","Glul",0
"439","Atp1a2",0
"440","1700047M11Rik",0
"441","Prkcq",0
"442","Slc39a12",0
"443","Pnpla7",0
"444","Fnbp1",0
"445","Zeb2",0
"446","Fmnl2",0
"447","Itga6",0
"448","Wipf1",0
"449","Prr5l",0
"450","Slc1a2",0
"451","Abtb2",0
"452","Gatm",0
"453","Mertk",0
"454","Rassf2",0
"455","Rin2",0
"456","Cst3",0
"457","Acss1",0
"458","Bcas1",0
"459","Bcas1os2",0
"460","Car2",0
"461","Pld1",0
"462","Sox2ot",0
"463","Arhgef26",0
"464","Bcan",0
"465","Gm3764",0
"466","F3",0
"467","Ugt8a",0
"468","Chd7",0
"469","Abca1",0
"470","Nfib",0
"471","Nfia",0
"472","Plpp3",0
"473","Eps15",0
"474","Macf1",0
"475","Prdm16",0
"476","Grm3",0
"477","0610040J01Rik",0
"478","Bmp2k",0
"479","Sparcl1",0
"480","Phkg1",0
"481","Tsc22d4",0
"482","Gjc3",0
"483","Gna12",0
"484","Mmd2",0
"485","Actb",0
"486","Stard13",0
"487","Gm4876",0
"488","Ptprz1",0
"489","Ptn",0
"490","Hipk2",0
"491","Hnrnpa2b1",0
"492","Creb5",0
"493","Gng12",0
"494","Frmd4b",0
"495","Irak2",0
"496","Wnk1",0
"497","Ninj2",0
"498","Cd9",0
"499","Tspan9",0
"500","Slco1c1",0
"501","Itpr2",0
"502","Lair1",0
"503","Apoe",0
"504","Mag",0
"505","Luzp2",0
"506","Rgma",0
"507","Folh1",0
"508","Ppfibp2",0
"509","Sox6",0
"510","Gprc5b",0
"511","Fgfr2",0
"512","Htra1",0
"513","D7Ertd443e",0
"514","Dock1",0
"515","Insyn2a",0
"516","C030029H02Rik",0
"517","Cd81",0
"518","Wdr17",0
"519","Nwd1",0
"520","Gab1",0
"521","Nfix",0
"522","Chd9",0
"523","Gnao1",0
"524","Mtss2",0
"525","Maml2",0
"526","Sept7",0
"527","St3gal4",0
"528","Hepacam",0
"529","Il18",0
"530","Acsbg1",0
"531","Myo1e",0
"532","Tcf12",0
"533","Myo6",0
"534","Cspg5",0
"535","Clasp2",0
"536","Mobp",0
"537","Plekhg1",0
"538","Sash1",0
"539","Nhsl1",0
"540","Epb41l2",0
"541","Lama2",0
"542","Cdk19",0
"543","Appl2",0
"544","Tmcc3",0
"545","Tns3",0
"546","Gm12239",0
"547","Aspa",0
"548","Crlf3",0
"549","Msi2",0
"550","Pitpnc1",0
"551","Fam20a",0
"552","2610035D17Rik",0
"553","Ttyh2",0
"554","Grin2c",0
"555","Ntsr2",0
"556","Agmo",0
"557","Gm35188",0
"558","Arhgap5",0
"559","Npas3",0
"560","Plekhh1",0
"561","Foxn3",0
"562","Clmn",0
"563","Gm40578",0
"564","Pik3r1",0
"565","Erbin",0
"566","Zcchc24",0
"567","Cmtm5",0
"568","Dleu2",0
"569","Elf1",0
"570","Gm6145",0
"571","Gpc5",0
"572","Gm20713",0
"573","Farp1",0
"574","Slc1a3",0
"575","Cdh10",0
"576","Cpq",0
"577","Zfpm2",0
"578","Enpp2",0
"579","Sox10",0
"580","Gm10863",0
"581","St6gal1",0
"582","Itgb5",0
"583","Arhgap31",0
"584","Zbtb20",0
"585","Mir99ahg",0
"586","Son",0
"587","Qk",0
"588","Pacrg",0
"589","Gm16168",0
"590","Mog",0
"591","Gm42418",0
"592","Ccnd3",0
"593","Daam2",0
"594","Tbc1d5",0
"595","Rab31",0
"596","Rasgrp3",0
"597","Dtna",0
"598","Gramd3",0
"599","Megf10",0
"600","Tcf4",0
"601","Neat1",0
"602","Asrgl1",0
"603","Fth1",0
"604","Rorb",0
"605","Tjp2",0
"606","Kank1",0
"607","Glis3",0
"608","Il33",0
"609","Scd2",0
"610","Tcf7l2",0
"611","Hdac8",0
"612","Phka1",0
"613","Litaf",0
"614","Gm19522",0
"615","Rrbp1",0
"616","Ncam1",0
"617","A230001M10Rik",0
"618","Trf",0
