"","gene","combined_p_val"
"1541","St18",0
"1542","Tmeff2",0
"1543","Gm28322",0
"1544","Hecw2",0
"1545","Plcl1",0
"1546","Dock10",0
"1547","Phlpp1",0
"1548","Cdh19",0
"1549","Cntn2",0
"1550","Nfasc",0
"1551","Csrp1",0
"1552","Tnni1",0
"1553","Gm4258",0
"1554","Gm26936",0
"1555","E330020D12Rik",0
"1556","Dnm3",0
"1557","Tmem63a",0
"1558","1700047M11Rik",0
"1559","Prox1",0
"1560","Prkcq",0
"1561","Plxdc2",0
"1562","Ptgds",0
"1563","Fnbp1",0
"1564","Gsn",0
"1565","Zeb2",0
"1566","Tnfaip6",0
"1567","Galnt5",0
"1568","Ermn",0
"1569","Prr5l",0
"1570","Gm13905",0
"1571","Frmd5",0
"1572","Gatm",0
"1573","Mal",0
"1574","Pak7",0
"1575","Ppp1r16b",0
"1576","Bcas1",0
"1577","Bcas1os2",0
"1578","Car2",0
"1579","Cldn11",0
"1580","Pex5l",0
"1581","Sox2ot",0
"1582","Ankub1",0
"1583","Trim59",0
"1584","Sh3d19",0
"1585","Hapln2",0
"1586","Car14",0
"1587","Otud7b",0
"1588","A230001M10Rik",0
"1589","Tspan2",0
"1590","Ugt8a",0
"1591","Ttll7",0
"1592","St6galnac3",0
"1593","Lpar1",0
"1594","Ptprd",0
"1595","Slc24a2",0
"1596","Cyp2j12",0
"1597","Pde4b",0
"1598","Rnf220",0
"1599","Gm12828",0
"1600","Nkain1",0
"1601","Clic4",0
"1602","Magi2",0
"1603","Qdpr",0
"1604","Gm42413",0
"1605","Atp8a1",0
"1606","Gjc3",0
"1607","Gna12",0
"1608","Slc13a1",0
"1609","Gpr37",0
"1610","Creb5",0
"1611","Exoc6b",0
"1612","Prickle2",0
"1613","Frmd4b",0
"1614","Ninj2",0
"1615","Ppp1r14a",0
"1616","Mag",0
"1617","Zfp536",0
"1618","Pde8a",0
"1619","Sytl2",0
"1620","Pak1",0
"1621","Olfml1",0
"1622","Ppfibp2",0
"1623","Insc",0
"1624","Ccp110",0
"1625","Gprc5b",0
"1626","Gm44866",0
"1627","Kctd13",0
"1628","D7Ertd443e",0
"1629","C030029H02Rik",0
"1630","Arhgef10",0
"1631","Klhl2",0
"1632","Mast3",0
"1633","Hhip",0
"1634","Gab1",0
"1635","Nfix",0
"1636","Pllp",0
"1637","Fa2h",0
"1638","Anln",0
"1639","Sept7",0
"1640","7630403G23Rik",0
"1641","Gm36855",0
"1642","Phldb1",0
"1643","Cryab",0
"1644","Tcf12",0
"1645","Trf",0
"1646","Gm42756",0
"1647","Fbxw15",0
"1648","Clasp2",0
"1649","Mobp",0
"1650","Plekhg1",0
"1651","Map7",0
"1652","Ptprk",0
"1653","Nkain2",0
"1654","Cdk19",0
"1655","Unc5b",0
"1656","A330049N07Rik",0
"1657","Dip2a",0
"1658","Ano4",0
"1659","Cpm",0
"1660","Gal3st1",0
"1661","Rtn4",0
"1662","Gm12324",0
"1663","Aspa",0
"1664","Rffl",0
"1665","Vmp1",0
"1666","Ypel2",0
"1667","Sept4",0
"1668","Arhgap23",0
"1669","Cnp",0
"1670","Mapt",0
"1671","Arsg",0
"1672","Abca8a",0
"1673","Ttyh2",0
"1674","Aatk",0
"1675","Gm48508",0
"1676","Plekhg3",0
"1677","Plekhh1",0
"1678","Prima1",0
"1679","Clmn",0
"1680","Mboat1",0
"1681","Edil3",0
"1682","Mast4",0
"1683","Erbin",0
"1684","Elovl7",0
"1685","Gm48370",0
"1686","Cmtm5",0
"1687","Kif13b",0
"1688","Stmn4",0
"1689","Dock5",0
"1690","Lgi3",0
"1691","Pcdh9",0
"1692","Slain1",0
"1693","Mbnl2",0
"1694","Enpp2",0
"1695","Ndrg1",0
"1696","Micall1",0
"1697","Sox10",0
"1698","Gm10863",0
"1699","Xrcc6",0
"1700","Galnt6",0
"1701","Sec14l5",0
"1702","Litaf",0
"1703","Apod",0
"1704","App",0
"1705","4930420G21Rik",0
"1706","Synj2",0
"1707","Qk",0
"1708","Pacrg",0
"1709","Gm16168",0
"1710","Ddr1",0
"1711","Mog",0
"1712","Daam2",0
"1713","Rftn1",0
"1714","Tubb4a",0
"1715","Rab31",0
"1716","Bin1",0
"1717","9330117O12Rik",0
"1718","4930511M06Rik",0
"1719","Gm19500",0
"1720","Slc12a2",0
"1721","Sh3tc2",0
"1722","Atp8b1",0
"1723","Smad7",0
"1724","Pstpip2",0
"1725","Mbp",0
"1726","Neat1",0
