"","gene","combined_p_val"
"1271","Sntg1",0
"1272","Vxn",0
"1273","Eya1",0
"1274","6030407O03Rik",0
"1275","Pid1",0
"1276","Sh3bp4",0
"1277","Neu4",0
"1278","Nckap5",0
"1279","Tmem163",0
"1280","Inava",0
"1281","Brinp3",0
"1282","Tnr",0
"1283","Prkcq",0
"1284","Fign",0
"1285","Cobll1",0
"1286","Galnt3",0
"1287","Wipf1",0
"1288","Calcrl",0
"1289","Lrrc4c",0
"1290","4930445B16Rik",0
"1291","Abtb2",0
"1292","Shc4",0
"1293","Kcnip3",0
"1294","Rin2",0
"1295","Matn4",0
"1296","Sulf2",0
"1297","Bcas1",0
"1298","Bcas1os2",0
"1299","Myt1",0
"1300","Cp",0
"1301","Sox2ot",0
"1302","Gm38505",0
"1303","Gm20754",0
"1304","4930509J09Rik",0
"1305","Sh3d19",0
"1306","Car8",0
"1307","Chd7",0
"1308","Grin3a",0
"1309","E130114P18Rik",0
"1310","Usp24",0
"1311","Pou3f1",0
"1312","Sema3d",0
"1313","Lhfpl3",0
"1314","Gm42948",0
"1315","0610040J01Rik",0
"1316","Pdgfra",0
"1317","Gjc3",0
"1318","Nxph1",0
"1319","Gm4876",0
"1320","Tes",0
"1321","Ptprz1",0
"1322","Cald1",0
"1323","Ptn",0
"1324","Tafa1",0
"1325","Cntn6",0
"1326","Pde3a",0
"1327","Sox5",0
"1328","Sox5os4",0
"1329","Itpr2",0
"1330","Ppfibp1",0
"1331","Nav2",0
"1332","Luzp2",0
"1333","Rlbp1",0
"1334","Mir9-3hg",0
"1335","Spon1",0
"1336","Sox6",0
"1337","Xylt1",0
"1338","Plpp4",0
"1339","Scrg1",0
"1340","Tox3",0
"1341","Lpcat2",0
"1342","Pllp",0
"1343","Mtss2",0
"1344","Maml2",0
"1345","Olfm2",0
"1346","Opcml",0
"1347","Cspg4",0
"1348","Megf11",0
"1349","Cspg5",0
"1350","Susd5",0
"1351","Itga9",0
"1352","Rev3l",0
"1353","Pcdh15",0
"1354","Chst11",0
"1355","Nav3",0
"1356","A930009A15Rik",0
"1357","Emid1",0
"1358","Tns3",0
"1359","Sgcd",0
"1360","Epn2",0
"1361","Ntn1",0
"1362","Rnf43",0
"1363","Tmem100",0
"1364","C1ql1",0
"1365","Cacng4",0
"1366","Gm33680",0
"1367","Zfp36l1",0
"1368","Smoc1",0
"1369","Adarb2",0
"1370","Vcan",0
"1371","Zcchc24",0
"1372","Armh4",0
"1373","Gm36146",0
"1374","Rgcc",0
"1375","6330576A10Rik",0
"1376","Gpc5",0
"1377","Gm20713",0
"1378","Sema5a",0
"1379","Cpq",0
"1380","Ncald",0
"1381","Sox10",0
"1382","Cntn1",0
"1383","Sema5b",0
"1384","Arhgap31",0
"1385","Grik1",0
"1386","Olig2",0
"1387","Olig1",0
"1388","Dscam",0
"1389","Gm32509",0
"1390","Kcnh8",0
"1391","Svil",0
"1392","Zeb1",0
"1393","Gpr17",0
"1394","Stk32a",0
"1395","Tcf4",0
"1396","Ostf1",0
"1397","Kank1",0
"1398","Afap1l2",0
"1399","C430049B03Rik",0
"1400","Pcdh11x",0
"1401","B9d1",0
"1402","Csmd2",0
"1403","Nav1",0
"1404","Zfpm2",0
"1405","Arhgap24",0
"1406","Ptprk",0
"1407","Hunk",0
"1408","Mmp16",0
"1409","Ppp1r14c",0
"1410","Bcan",0
"1411","Astn2",0
"1412","Stard9",0
"1413","Dscaml1",0
"1414","Fchsd2",0
"1415","Adam12",0
"1416","Erbb4",0
"1417","Dmd",0
"1418","Prrx1",0
"1419","Etv4",0
"1420","Cd9",0
"1421","Gm3764",0
"1422","Slc35f1",0
"1423","Sdk1",0
"1424","Ptprt",0
"1425","Npas3",0
"1426","Tafa2",0
"1427","Ankrd11",0
"1428","Nrxn2",0
"1429","Gsap",0
"1430","Phlda1",0
"1431","Hip1",0
"1432","Zfp462",0
"1433","Nrxn1",0
"1434","Msrb3",0
"1435","S100a16",0
