"","avg_logFC","p_val","p_val_adj"
"4930415C11Rik",1.89474227027528,6.41259749124363e-06,0.00348655840415958
"4930447N08Rik",5.32331003092041,1.02257894607282e-07,0.000152894725793125
"4930488N15Rik",6.90277422647289,2.12428842038266e-10,7.2599074115449e-07
"9630015K15Rik",4.89166207254072,1.76619757625018e-05,0.00828485188561433
"Ankrd24",2.32869143154997,1.18772984178881e-05,0.00579878796022727
"Anxa13",7.61662539305445,8.18644303936005e-07,0.000783377107322442
"Arhgap15",4.98154273299509,8.89473628778745e-06,0.00452742077048381
"Arhgef37",4.59705067157578,2.92349743691234e-06,0.00184860408105778
"C030029H02Rik",6.38836509235618,4.15527199995316e-07,0.000473364628832759
"Cck",4.52496624013892,3.46795231323346e-06,0.00212727751767908
"Cdh11",2.41062359569016,9.66214051416001e-07,0.000825526384000892
"Col14a1",4.62479375235458,2.86093843963399e-10,8.55527878642051e-07
"Col26a1",3.95980229838221,2.64665671374467e-12,2.11053228543046e-08
"Dlx1",5.17696661766427,2.05001527199405e-06,0.0015325786047473
"Dlx1as",3.0448692032308,8.69013286741792e-07,0.000799592494566304
"Dusp10",5.23980306232113,6.79604867758913e-10,1.62581872513965e-06
"Efhd2",3.6906740192309,3.63511510460418e-08,5.79752390982972e-05
"Gm12296",2.97032026590632,5.94804128734454e-10,1.58105546352382e-06
"Gm15856",6.87075446168294,2.93637733897068e-06,0.00184860408105778
"Gm21798",2.4469000002316,1.11249277519979e-06,0.000913899131157054
"Gm2582",4.78441688575141,2.15484068349069e-06,0.00156212889912569
"Gm3764",4.42602365639816,2.41200394027312e-24,2.8851185131577e-20
"Gm38505",5.01406785173225,1.98748788456251e-38,4.75466726623889e-34
"Gm43948",5.14991320955241,9.16736528154639e-10,1.99373526936759e-06
"Gm47710",7.49102971136394,3.12308250732051e-11,1.24522504704381e-07
"Gm5087",5.46612581189437,1.19845275108896e-11,5.73411703286025e-08
"Gpd1",4.06833505942453,3.7928751414251e-07,0.000453684760041563
"Hcrtr2",2.62564016303666,9.25715352991258e-07,0.000820218088504069
"Hspb2",8.43411679124594,5.19063291669133e-06,0.00288780258758155
"Htr2a",5.07037171118,1.7628631734502e-09,3.51441464153744e-06
"Htr3a",6.50082885112589,1.68294639964889e-06,0.00129874602318711
"Inhbe",8.43411679124594,5.19063291669133e-06,0.00288780258758155
"Itga9",4.61896984382313,5.13301258479094e-07,0.000558168454845243
"Megf10",3.51210401836439,3.63089687804192e-06,0.00217154865033492
"Metap1d",2.06233600456346,2.62990493330896e-06,0.00174764488109862
"Msra",2.12917540690707,1.14605082701633e-06,0.000913899131157054
"Ngf",5.26047202722566,5.47586582089426e-07,0.000569561469709798
"Nox4",4.64176537033338,3.98872211086143e-06,0.00232737070873508
"Nr2e1",6.94049039798867,1.56939251444771e-07,0.000220850453665486
"Nrtn",6.50462882624593,1.59380696715349e-08,2.72347457680092e-05
"Pde5a",6.13549655504154,4.11129562067543e-12,2.45886312833546e-08
"Rgs12",3.61453466404395,6.78279969948274e-06,0.00360588704912723
"Rnf144b",2.74893556584442,1.7818625193965e-07,0.000236819428064014
"Rph3a",1.88182747029035,7.62712787458646e-07,0.000760265750598882
"Slc1a3",4.81074036114703,1.47030262097079e-08,2.70569612319109e-05
"Sntb1",3.02672109652048,2.8756630552932e-07,0.000362076248798838
"Tle2",3.56113456576857,2.25604567241604e-06,0.00158739354768261
