"","avg_logFC","p_val","p_val_adj"
"1110015O18Rik",1.97738664576289,1.53863541799481e-05,0.000936693856926814
"1700001L19Rik",2.34377458159456,1.64078765590567e-06,0.000147076810742303
"1700003F12Rik",2.34848624378426,3.46197381575825e-06,0.000275211037738947
"1700003M07Rik",1.2707812043358,2.55268596325102e-05,0.0014058701613286
"2310030G06Rik",1.67388800034477,0.000199681382428387,0.00692095671496789
"2610042L04Rik",4.03394085937432,6.24733245888663e-05,0.00282433751771753
"2700069I18Rik",2.56663029226736,8.33174554999679e-08,1.15204109346897e-05
"4732471J01Rik",0.816230843631784,2.29037899116542e-05,0.00128039573925474
"4930412F09Rik",3.15955915485192,1.11417894722125e-08,2.09877403862439e-06
"4930434J06Rik",2.99099906180347,3.67059265129775e-06,0.000288269051270348
"4930442G10Rik",3.76360657038383,6.20799299123126e-05,0.00281634865282821
"4930551O13Rik",3.47199236890023,7.83911617583282e-10,2.14502973674499e-07
"4930589P08Rik",2.5157914551134,1.54442686703854e-05,0.000938022813286608
"4930590L20Rik",4.06579562572904,3.7190946564596e-14,3.11864082563443e-11
"4932435O22Rik",3.94696251596355,3.739516526611e-08,5.85348895760199e-06
"6430584L05Rik",1.82021880589769,9.19071500712486e-06,0.000612750208139022
"A330040F15Rik",2.50614526308492,1.01012191325229e-11,4.37635318916555e-09
"A330074K22Rik",1.84809553844663,6.217261807042e-07,6.41340161404987e-05
"A530010L16Rik",4.24731419542868,9.83702552355214e-09,1.88024616532895e-06
"A630012P03Rik",2.76814250488638,8.46131294637731e-06,0.000577301391183932
"A730009L09Rik",4.08981170326399,2.97676813060294e-07,3.51732216159198e-05
"A830019P07Rik",3.03438029797974,3.59657537176645e-19,7.79108139908906e-16
"Abi3bp",2.26673952180617,7.6275018670132e-08,1.07176708666491e-05
"Ablim3",0.666095762894687,0.000268739356365431,0.00869972549031056
"Abtb2",1.7973257031788,2.46850087260733e-06,0.000208339870725414
"Accs",1.93641175454025,4.82783846082951e-06,0.000364824595317626
"Adam19",0.900047738845616,2.02154437493046e-08,3.52684872659847e-06
"Adamts10",1.5359349262843,9.08603407520108e-07,8.81311402182284e-05
"Adamtsl1",1.26930360219738,1.78742572384438e-05,0.00105360842837494
"Adamtsl2",1.76131249870509,0.000108341521942594,0.00429870585571197
"Adarb2",1.37456792075716,0.000302250564667139,0.00954678423878771
"Adcy8",1.26873462791578,2.94730944375883e-05,0.0015665858015427
"Adgra1",2.80894017446347,5.41578899799617e-07,5.74626265318001e-05
"Adk",0.928516109035222,1.15990430408807e-06,0.000109245334727425
"Aff2",3.28362912534988,7.08175378994493e-12,3.26289413673529e-09
"Agmat",2.03970521897507,0.000130864302264355,0.00496615698884951
"Agpat2",2.45450804550345,5.10960265676537e-05,0.00237610234459062
"Agtr2",2.69630643151527,2.65431588793812e-07,3.17219156910521e-05
"Agtrap",1.92556417779748,0.000101387574531106,0.00412452269160578
"AI115009",3.03578039313862,5.28245038580811e-05,0.00244772366807633
"Ak5",2.01514411942419,8.46190724103453e-07,8.30065202757331e-05
"Aloxe3",2.08400719147233,2.79417031580936e-07,3.31664188856001e-05
"Amotl1",1.07626402367939,7.5161406913538e-07,7.63211239342742e-05
"Angpt4",1.9036203061842,0.00014548548743287,0.00541043668929535
"Ank1",1.65538539561895,1.36010682747407e-07,1.77668226031098e-05
"Ankrd31",1.98563604924914,4.68150821906629e-05,0.00222809610127535
"Ankrd34b",1.29948979344494,2.20465208614505e-09,5.25779183296703e-07
"Ankrd39",0.953608359073541,0.000156896806822865,0.00574329918603908
"Anks4b",1.74005234060597,0.000159891702371415,0.00582943170146555
"Anxa7",0.75332111688704,0.000162163705226621,0.00588223609883611
"Apbb1ip",1.49998250668521,1.7927678081837e-05,0.00105436649714333
"Apcdd1",2.30411172422498,3.27463897678437e-05,0.00168557741596416
"Arhgef26",2.506180058309,8.07669856708576e-06,0.000553967755280724
"Arl5b",1.05130673660699,2.00314281805696e-08,3.51835794293181e-06
"Arntl2",0.939174058734704,6.15789253207205e-05,0.00280340484012632
"Arrdc1",2.56852313761751,3.04587603589266e-05,0.00159954641521272
"Art1",2.85371596403732,4.35567032349972e-05,0.00210456598623374
"Art5",2.68733006230944,0.000203760979122613,0.00704357267592063
"Asxl3",1.92321192485389,1.59454782688353e-11,6.79512635407169e-09
"Atp13a4",1.8897391362658,1.93280330917563e-05,0.00112652964174934
"Atp1a2",1.31957575221656,0.000186313760054724,0.00655375668825786
"Atp2c2",4.76744350882189,1.74667638711766e-16,2.27024263415618e-13
"Atp6ap1l",0.93807904937963,9.65261237893761e-05,0.00400534983932711
"B230208B08Rik",1.28069595236675,0.000101234639722173,0.00412452269160578
"BC006965",1.87482906840345,1.07870558647098e-05,0.000695805253605785
"BC051537",2.75018412363326,3.53976579301563e-06,0.000279684534314411
"Bcl7c",1.67976957137933,3.68680962681123e-12,1.87918855390113e-09
"Bean1",2.4622767490647,9.89713406136984e-07,9.49357933303724e-05
"Begain",0.822218202558725,0.00010628164070764,0.00425044807722322
"Btg2",2.60426267229018,8.59404257346939e-10,2.27961363976874e-07
"C030032O16Rik",1.46376359987814,9.73850147183362e-06,0.000639273600404836
"C7",2.50438889532813,2.7347630997506e-06,0.00022785309864749
"Cables1",0.763883795515933,3.53512760809339e-06,0.000279684534314411
"Cald1",1.87460849616222,1.51131223865896e-05,0.000924389685739758
"Camk2g",1.51891290422076,2.41573283035669e-09,5.70881590228383e-07
"Camta1",1.38733207404865,2.01969166281372e-13,1.45838568819007e-10
"Capn2",0.873259242631231,7.69977330364719e-06,0.000533748285408824
"Caps2",2.62081479541925,6.5101208988746e-05,0.00292786492675165
"Carmil1",0.688672738618189,8.45401097895796e-05,0.00359675966281526
"Casz1",2.81499024899584,4.68722871361968e-12,2.29895302661403e-09
"Cblb",1.57059276557037,2.24942369800923e-20,6.49708544774998e-17
"Cc2d2a",1.00053503917678,8.08930203428848e-05,0.00345857576285081
"Ccdc114",3.05585707138375,8.24696352156252e-07,8.12044760390218e-05
"Ccdc136",2.96320779038509,8.86650698265195e-11,3.29264070020053e-08
"Ccdc153",3.17670935379476,2.57531650578396e-08,4.37551323972902e-06
"Ccdc158",3.58965222358994,5.62423833859994e-11,2.18212053152098e-08
"Ccdc160",3.26669775080732,3.55392675373258e-09,7.69869383027321e-07
"Ccdc172",2.83788645784702,0.000184452734715691,0.00650590073125424
"Ccdc18",1.1623555233597,0.000114430382118513,0.00447984605899209
"Cd36",4.24512222504482,2.84463924691014e-06,0.000234750467375965
"Cd86",2.12767860459906,1.3621166093707e-08,2.51122136599939e-06
"Cdh20",3.23229852569728,1.68188256872285e-33,1.45735124579835e-29
"Cdh22",1.21660437690013,3.28038880248771e-06,0.000264825176772261
"Cdh6",1.73077790191413,7.51565895282271e-06,0.00052518697440491
"Cemip2",0.767274662222274,0.00011111123871634,0.00437626765216856
"Cercam",1.63516182721382,1.26053309273613e-07,1.66181368363412e-05
"Cers4",0.873606050406445,4.17799631412323e-05,0.0020300376483296
"Cfap46",1.03225700586882,0.000107340780328697,0.00427963739976148
"Cfap97d2",1.62661597314496,2.79305409897379e-06,0.000231966266143207
"Chd7",1.25698899287435,1.08667055381753e-10,3.86958918445022e-08
"Chrna10",3.57093333809532,3.33075045765311e-06,0.000268058384355085
"Chst7",1.27608690685699,2.14535057700691e-06,0.000184989454018787
"Cib2",2.24773951345509,4.77420311000004e-07,5.19269497257117e-05
"Cntfr",0.736609794361436,9.93775979351994e-05,0.00408107528961376
"Col11a1",2.74559728690818,5.38360595852516e-07,5.73552610212547e-05
"Coprs",1.2274905655138,1.95322970023476e-05,0.00113517100856064
"Cotl1",2.06497301877381,8.14183350158939e-07,8.04741299900442e-05
"Cpa6",2.25861357677732,8.49821791963018e-08,1.16725896914362e-05
"Crhr2",3.3977263579727,3.94849246932206e-12,1.97386657192359e-09
"Crim1",1.49935671489745,1.33021156662952e-06,0.000124384351347246
"Ctxn3",3.41412063481535,4.13326163859978e-06,0.000318886065965174
"Cxcl14",1.35488541969674,0.000149225125762158,0.00551907489800642
"Cxxc5",1.29394042668403,1.17779753679955e-06,0.00011053013346247
"Cyp19a1",4.3844693916094,0.000171024828487282,0.00614908771303859
"Cyp20a1",0.811527390961603,0.000136918274098376,0.00515078225063285
"Cyp26b1",3.27761357503556,2.26718814243868e-16,2.80645503631873e-13
"Cyp4f17",3.09678572289123,2.88656612263975e-05,0.00154395650942428
"Dcaf12l2",4.07055083319791,5.7321220710319e-09,1.17327963178326e-06
"Dcdc2c",2.50137055154362,7.85971325035304e-07,7.85820176703566e-05
"Ddah1",1.64538326112135,5.08453237836636e-06,0.000379805802228832
"Dennd2a",1.06313987109964,4.00330566073404e-07,4.42833747450133e-05
"Dennd3",2.79635324959749,2.59454066175577e-05,0.00141691353996515
"Dhfr",1.0369800960167,6.99316769129636e-05,0.00307196013153334
"Dhrs4",0.8876985319927,0.000230795160463395,0.00774967684749293
"Disp3",1.3888344866225,0.000153846123607298,0.00566463170420923
"Dnah11",1.78394896396964,6.35394614877459e-08,9.2792601200784e-06
"Dnah7a",1.24337622347244,7.00278882034562e-06,0.000496014973800775
"Dner",2.96386977210319,3.34356980327665e-05,0.00170815447793114
"Dnmt3b",2.07023282068572,7.9251544203528e-05,0.00340519651499291
"Dpp6",0.972580509106306,5.11207702214292e-06,0.000380769175331247
"Dpy19l4",0.70156058953107,1.600225518097e-05,0.000962913480160453
"Dpysl3",1.62135083529289,7.37143076592436e-13,4.56238911333818e-10
"Dscam",1.49491475557321,2.80059172028704e-11,1.13752159013846e-08
"Dstyk",0.769661509084152,4.68576369748372e-05,0.00222809610127535
"Dtx4",1.75396094244356,2.53361324614363e-06,0.000212455730108077
"Dynlt1b",1.56004381032548,1.95130851635388e-06,0.000170788770648549
"Dynlt1c",2.72513059787992,1.0451927722507e-07,1.38621357727842e-05
"Dysf",2.34830760120202,7.3599157366041e-08,1.03978809550556e-05
"E130006D01Rik",1.91312897507375,3.60019567789462e-08,5.70652967358967e-06
"Ebf4",2.25743083520629,1.58196246840169e-05,0.00095413258390028
"Echdc2",2.98971989150894,7.15464380819049e-12,3.26289413673529e-09
"Eda",1.25364038512891,2.38400744794608e-07,2.9094964135849e-05
"Eef1akmt3",1.63808437652963,0.00012918261064792,0.00492978325669346
"Efhb",2.12962276293811,6.20506084134967e-07,6.41340161404987e-05
"Efhd2",1.71382435834035,5.95542044361497e-07,6.24238525934561e-05
"Efna1",3.17831138583276,1.03232725669948e-05,0.000674254950701081
"Egfem1",1.99820910024107,5.55553121459353e-15,5.15771549726281e-12
"Elovl5",0.945546036044311,4.37714070484172e-05,0.00210710690041408
