"","avg_logFC","p_val","p_val_adj"
"1700003F12Rik",2.95216667756496,2.75218925588758e-06,0.00107172956695662
"4930518C09Rik",5.55189303198768,2.14374143746685e-05,0.00530442021933203
"4930590L20Rik",1.59847093373566,2.51145687108993e-05,0.00571621004596172
"9330175M20Rik",1.69891243842179,3.23398996487671e-05,0.00692073852483617
"Ablim3",1.24799064170199,8.19242201809785e-06,0.0024325349077237
"Aff2",2.22355588452969,1.05628415061046e-10,4.18182895226681e-07
"Ank1",1.26245815873801,5.27227991150622e-06,0.00176391178898477
"Asb4",4.91553500034482,2.67874519222225e-07,0.00023567004924462
"Bcar3",1.50285357973672,1.77999445561632e-06,0.000779622892518467
"Bcl6",2.34564850303725,2.60100216522786e-09,5.61674594843842e-06
"Bcl7c",2.11257933538233,2.37080711097582e-05,0.00562922401555813
"Btg2",2.7193400648687,1.79636581422188e-05,0.00474120817233627
"Cacna1g",3.68912738114075,2.39349846582206e-05,0.00562922401555813
"Cdh6",1.95959354035142,1.75342544613265e-08,2.97506200338821e-05
"Col11a1",2.7563604505369,1.68920665472821e-05,0.00455970623595613
"Cotl1",2.4693095444959,1.52958011685672e-06,0.000741502981547236
"Cxadr",0.918128868441486,9.55317051156146e-06,0.00270150014680513
"Cyp26b1",4.37846830851116,1.66754911529199e-06,0.000760927139747059
"Dzip1",1.31581398164427,4.70925390186859e-05,0.0090446817399431
"Efcab6",2.76130540298721,2.13959073083035e-05,0.00530442021933203
"Etl4",0.898871034219102,2.46757028034027e-05,0.00571621004596172
"Flrt2",1.22118191791809,1.69778304313354e-06,0.000760927139747059
"Frmd6",1.23294557773559,3.17351806557122e-07,0.00025800636846683
"Gkap1",1.00102164366746,3.264163563048e-05,0.00692294118541449
"Gm2721",5.58669064589373,1.99535323348242e-05,0.00509651835571413
"Gm32509",2.06845064735248,2.37173652096578e-05,0.00562922401555813
"Gm36660",3.83730502233404,4.5414590875121e-05,0.00884244419383298
"Gm42722",1.27064446213458,1.80513846461715e-06,0.000779622892518467
"Gm47423",1.6147738314644,1.43260997183284e-07,0.000141792571962155
"Gm48855",1.3264760741138,4.75955720086254e-05,0.0090446817399431
"Gng4",1.65380071707994,3.03144622947502e-05,0.0066640564120901
"Grin2d",1.46099230578796,2.48502144910281e-05,0.00571621004596172
"Gucy1a1",1.4515384108448,1.17156429016006e-05,0.00323596955214675
"Ina",1.47602719233277,1.40460473237596e-06,0.000709893208784227
"Itga6",1.53532431579912,1.15258800470646e-05,0.00322100887809379
"Ivd",0.918137331791664,3.05793613251588e-05,0.0066640564120901
"Kcnc2",3.29079850168221,6.31996981862519e-07,0.000438901748897842
"Kcnh5",1.50994341010197,5.31845908220628e-13,3.88046600205751e-09
"Kirrel3",1.61962460500454,7.46160945526288e-06,0.00227234706410659
"Lasp1",1.38415009965778,2.8734355830201e-05,0.0064392064942509
"Lhfp",2.47667361402162,2.04014840128017e-05,0.00515549841744778
"Mccc1",0.931308460175454,2.22140471617714e-05,0.00543992243588369
"Mtus1",1.2018593453451,4.72567038966308e-05,0.0090446817399431
"Necab3",3.36359151935374,8.01070124219399e-08,9.06124749081315e-05
"Olfm1",1.81169429092216,2.77853963340037e-07,0.000235719394470687
"Olfr560",6.0124340186785,9.40380492531259e-07,0.000531852338561607
"Patj",1.02379563961553,5.99864938884448e-06,0.00195194407647413
"Peg10",2.34596505467531,7.03552453975932e-06,0.00218682288685923
"Phldb1",2.70455161097146,2.74361425916024e-08,4.34478754080616e-05
"Ppm1e",1.89609800193965,1.08696635398828e-07,0.000112259994663641
"Ptgfrn",1.44112708914527,9.13080556544284e-07,0.000529007696101291
"Pvt1",0.976902178072239,1.7744568492715e-05,0.00473600539298822
"Schip1",1.36460208040973,3.36543110347575e-06,0.00126892778463433
"Shank1",1.23252160082606,2.98092790967611e-05,0.00661765995948096
"Slit1",2.52585022898674,4.15809743863673e-06,0.00154330385245901
"Stk3",1.82119087370027,7.71919340687054e-07,0.000470158256889238
"Stmn1",1.59824620005328,5.5418608881215e-06,0.00182835227133942
"Syt7",1.49456692978415,6.36644075274482e-07,0.000438901748897842
"Tcn2",3.24594006252998,2.5267409902584e-05,0.00571621004596172
"Teddm1b",4.65556123147401,4.4415309794438e-06,0.00162314041362628
"Tmeff2",1.18260155538499,3.25847901574678e-07,0.00025800636846683
"Tspear",2.00156372217388,4.9754707151477e-05,0.00930608908406445
"Uts2b",5.58669064589373,1.99535323348242e-05,0.00509651835571413
"Wls",2.01494375347068,5.39554644074583e-05,0.00998786612259825
