"","avg_logFC","p_val","p_val_adj"
"1700057H15Rik",-9.69700514339414,4.00451885187989e-05,0.005680355876272
"2810032G03Rik",-1.96311508819701,7.50710452894148e-08,3.65016178316036e-05
"4930417O13Rik",-2.63341133422276,3.49831452594871e-06,0.000835537075172287
"4933406K04Rik",-3.54844000234281,5.177376134211e-05,0.00693187267928393
"A330008L17Rik",-5.13335696172629,5.74666815256887e-09,3.77010164149281e-06
"A430106G13Rik",-2.96837368681355,3.85961669049335e-06,0.000890836297044155
"A930033H14Rik",-3.31817724760695,3.51189632055989e-06,0.000835537075172287
"Agtr1a",-7.76497249085618,1.04421055034306e-06,0.000306510139886815
"C230014O12Rik",-2.94554715974231,2.70323185003671e-13,8.86727627608292e-10
"Cgnl1",-2.66138592571106,1.40449919889773e-08,8.77544475654151e-06
"Clmp",-2.85412127820746,2.12387712725284e-05,0.00352751794768159
"Cntn4",-1.76611112725466,2.54314122710284e-05,0.0040446734594929
"Cpne8",-3.56186918477274,7.06007675409502e-10,6.86187163633191e-07
"D830036C21Rik",-1.87037449223074,3.86995419034501e-06,0.000890836297044155
"Dgkg",-2.83305187816691,3.65884862782621e-12,6.00096910571346e-09
"Efna5",-2.04364900745886,7.8740537697993e-12,1.14794955015041e-08
"Etv5",-1.40071006469811,2.22129320795592e-06,0.00057148212120764
"Eya1",-3.46941706956722,9.50526734676786e-08,4.12098616446083e-05
"Fam135b",-1.42789956031391,1.25942969059357e-06,0.000344270353547462
"Fbn2",-1.64673688948483,6.15654212079093e-05,0.00776730665066325
"Fhit",-1.03882311853545,1.90119474879848e-05,0.00319885480380854
"Fmnl1",-1.41841132046848,1.46839989991826e-05,0.00260997242719342
"Fras1",-1.08595587039439,2.76715912667442e-05,0.00433841515102329
"Gad1os",-1.20090264249014,7.04141514106935e-06,0.00138932944460107
"Gm15680",-5.00623685734584,5.99924253647789e-10,6.36638064461243e-07
"Gm26930",-4.69848948663123,5.23150890813437e-07,0.000173778806034509
"Gm26936",-3.71730773433987,6.59827194956928e-09,4.22321591464871e-06
"Gm26979",-3.35134204790637,5.39269485508916e-06,0.00114125079344556
"Gm29676",-3.79102018674466,5.84547635573146e-05,0.00744645585083033
"Gm30332",-2.95562123885924,7.65246613646081e-06,0.00149862698770899
"Gm31045",-1.9337343157809,3.2372832653419e-05,0.00477262850837652
"Gm3294",-2.31314619833817,6.33942843976819e-07,0.000202877172093167
"Gm35363",-6.05738121318033,2.40992314170714e-05,0.00390377796819005
"Gm4258",-3.5665895321536,1.43138648356335e-11,1.78868781436522e-08
"Gm4814",-2.44877002221889,4.07188604017313e-06,0.000913285756121567
"Gm7854",-1.25682636905803,1.65234021948135e-07,6.67087877532763e-05
"Gm9989",-1.59665453119052,1.50336805083351e-09,1.27262530290235e-06
"Grb14",-3.6457333171966,1.40549098952856e-06,0.00038023602625988
"Gulp1",-5.16326311492603,4.51606620714941e-08,2.41858386546969e-05
"Hs3st4",-2.17251254462665,4.03907043960431e-05,0.00569856378903743
"Hs3st5",-2.33235638439281,1.39739551597131e-10,1.66683877864177e-07
"Htr1f",-1.45678943387979,4.8358093818779e-08,2.5380261959848e-05
"Ifi27l2a",-6.09716142650567,7.41006838067577e-05,0.00908668291802306
"Kazn",-1.11899510696076,4.16403347574154e-05,0.00578161727356664
"Kctd8",-3.38546588169393,1.62680489292483e-12,3.55755116667778e-09
"Kiz",-1.50793102775979,1.57900790078494e-08,9.63635472846472e-06
"Klhl29",-1.54262925194299,3.26080160118007e-08,1.82063735357803e-05
"Lmo3",-1.96648426342188,2.31179578495629e-07,8.79219492591638e-05
"Lrrtm4",-1.18311582787257,2.84053008331477e-05,0.00436504749599529
"Lsamp",-2.12646103904899,1.59085433290654e-06,0.000421688882870034
"Mgat4c",-2.18591823389725,9.58076122978893e-08,4.12098616446083e-05
"Nek7",-1.28230624923631,1.8096371336761e-05,0.00310382337659662
"Nfia",-1.08720429982775,5.63287104384945e-05,0.00728166511983731
"Nrip1",-0.875224520603527,5.76650920556443e-05,0.00741787914570694
"Nt5dc3",-1.795120953828,8.53164760609826e-06,0.00161070141351964
"Ntng1",-2.50046426496147,8.46458274496037e-06,0.00160962014777717
"Nwd2",-3.3457808227802,9.26982756553195e-12,1.28030955249837e-08
"Oxr1",-1.45707579274178,1.31182964923216e-05,0.00239062733716322
"Pbx1",-1.78755734115567,8.46126102002209e-08,3.92134125596044e-05
"Pbx3",-3.22145955687344,3.01200627148811e-05,0.00451663249007948
"Rxrg",-4.76330715187572,3.22545736599604e-09,2.35117922773522e-06
"Sez6",-1.87591674481093,6.93707082016322e-08,3.50081947043698e-05
"Sh3d21",-2.85320032753598,5.22557988944478e-05,0.0069608968253203
"Slc15a5",-3.61657361436636,4.7783194049178e-05,0.00649702890279031
"Slco4c1",-1.44273606582211,3.16545775483908e-08,1.82063735357803e-05
"Snai3",-3.69422808296963,2.79798765137676e-05,0.00434466224540999
"Snca",-1.60359607985557,6.93483883148807e-06,0.00137866697436295
"Sv2b",-1.63221910834695,4.41762535228086e-05,0.00610143813129233
"Tenm3",-1.59024376457363,5.43305464962797e-10,6.19887913545814e-07
"Tle4",-2.59003043599097,2.36110032064745e-05,0.00384844687046151
"Tmem178",-1.76688971055849,4.76874995153661e-05,0.00649702890279031
"Trib2",-3.05648480814148,1.21719768562078e-06,0.000336228438590112
"Ubash3b",-2.49053100196936,1.42111971504925e-11,1.78868781436522e-08
"Ugp2",-1.24150451562881,4.73848828613626e-05,0.00649702890279031
"Unc13c",-2.99620939679055,4.41450788281963e-13,1.15845515860953e-09
"Zdhhc23",-2.43443022228874,6.06506806323111e-10,6.36638064461243e-07
"Zfp521",-2.69322724670235,9.19167373590854e-19,8.04026340592373e-15
"Zfp982",-2.5577121857485,1.09104035840516e-07,4.54461604528068e-05
"Zmat4",-3.22312893567125,3.52902606271746e-06,0.000835537075172287
