"","avg_logFC","p_val","p_val_adj"
"1700003F12Rik",2.60591388919774,3.4777063313972e-06,0.000609502811640673
"1700010J16Rik",3.66298820133651,1.91642501119294e-09,1.04960202331774e-06
"1700125G02Rik",1.37747345292289,3.62440106654816e-05,0.00403736778129172
"2010310C07Rik",1.86508817047507,5.09684906309658e-05,0.0052545515694018
"2210408F21Rik",1.18986490037001,2.61080558359317e-05,0.0030640833922804
"2610316D01Rik",1.03319664005941,1.3096831961544e-06,0.00027992082555856
"4930542D17Rik",2.4557278696972,2.70942072146916e-07,8.09408651667077e-05
"4933401D09Rik",4.58793291200536,7.88421419453145e-16,2.96097295657196e-12
"6430553K19Rik",2.69265498882367,1.27480536818403e-07,4.52883220597163e-05
"6430710C18Rik",2.18566496106135,0.000106718169543817,0.00951021681063527
"9530077C05Rik",1.02475412731038,5.04377113868005e-05,0.00522030312853385
"Abca12",3.56484778350135,4.66647842151297e-16,2.04461752038591e-12
"Acoxl",1.72192420674678,1.33214340161449e-05,0.00179593425051505
"Ap1m2",2.17443675818618,1.07726322574598e-05,0.00155605345833165
"Aqp4",1.62519380546618,1.2300198662545e-05,0.00169529936385821
"Arhgef25",1.64844169613892,3.47306027706247e-12,4.56516408118477e-09
"Arhgef6",1.97131816170819,5.788187900195e-05,0.00576385120106918
"Art1",3.82701328238464,1.4851560801449e-08,6.84969617384724e-06
"Art5",3.59464743968648,2.47284275493663e-13,5.41738026537743e-10
"Avp",3.70430885516872,1.56695920533173e-10,1.24829668330199e-07
"Bard1",1.8653299937984,3.28911796548572e-06,0.000588215116970436
"Bcl6",1.39602681007218,4.16604304381069e-07,0.000114524892322997
"Blnk",2.15980141916524,4.07225713875443e-10,2.82075267179563e-07
"Brinp3",1.90622040433136,1.87903425561941e-14,5.48865906066429e-11
"Caps2",2.56709059663013,3.37472254834829e-06,0.000597725631234629
"Ccdc146",1.51713780300606,1.41266511854666e-05,0.00187563400512491
"Ccdc3",2.66648821205306,1.573313374029e-06,0.000325083955717573
"Ccdc33",2.02299493306464,1.59828133684665e-07,5.44704078771719e-05
"Cdh6",1.88672838849581,4.30688653963072e-11,4.29526548372308e-08
"Cdh7",0.921687424232144,1.74020917514112e-05,0.00218891669881745
"Cfap74",0.748586866120297,1.20907100051885e-05,0.00168176018691217
"Chrna10",4.01014979914546,1.1442297705775e-05,0.00160859125340705
"Chrna1os",1.73151442435356,6.01534253672837e-05,0.00594501278000196
"Clcf1",2.81264945213689,4.41099196848612e-08,1.90099291573003e-05
"Col9a3",3.15973287123785,6.13560191656402e-05,0.00604115501065736
"Cpne8",1.24813952619526,6.59678410809823e-09,3.2721293852414e-06
"Crtac1",2.38392956967564,3.29214184345587e-16,1.73094233845223e-12
"Cxxc5",1.30256243698907,1.08658419378772e-06,0.000248393146699874
"Cyb5r2",2.83569694882061,2.37008399170126e-06,0.000454796628159375
"Cyp19a1",3.5893940421579,9.70682845861255e-05,0.00879940735684363
"D330050G23Rik",1.08140857897693,3.19868747241261e-06,0.000575960924399008
"Dennd2a",0.884584903408692,1.73833722333506e-06,0.000348848452398897
"Dgat2l6",2.03039307263868,1.38246190496351e-08,6.48991803921176e-06
"Dpy19l3",0.985048307161457,2.7952051510527e-08,1.24547708840719e-05
"Dse",1.74660021685532,3.79649353217943e-05,0.00421122440790992
"Dtl",2.27829353263979,3.30129709657698e-07,9.64308881910137e-05
"Dydc2",2.40705849600998,2.00276595046319e-06,0.000392915776654678
"E130111B04Rik",2.72422090307423,8.61861439056093e-09,4.19582877247141e-06
"E130304I02Rik",2.20292464103814,3.66862994827784e-06,0.000638706044438915
"Efna1",1.88343353525492,5.41612715257087e-06,0.000884376190769786
"Epha10",1.93937036133738,5.7922999540376e-10,3.90445573055627e-07
"Epsti1",2.72730506403047,7.22728017798672e-07,0.000177323741895129
"Fam3c",0.981079312322341,1.26337180102111e-06,0.0002767731773087
"Fgd2",1.58776675526405,9.49887043688522e-06,0.00139506036265517
"Flrt2",1.15892432327356,7.45761479952194e-06,0.00115873908116381
"G730013B05Rik",1.71298538821785,7.35223396347104e-07,0.000177323741895129
"Ggta1",3.48962747712824,2.63158844262379e-12,3.84343492045204e-09
"Gm10865",3.36310637258584,1.25444319721186e-12,2.19853714743351e-09
"Gm12022",2.35095012869922,5.03095697742817e-05,0.00522030312853385
"Gm12031",3.54384056184262,2.55194062904054e-07,7.89270202315845e-05
"Gm12212",2.3770132557019,6.19564684746143e-10,4.07193399932284e-07
"Gm15408",2.127955105149,3.14520357573367e-05,0.00361066623591539
"Gm15411",2.31313345667796,3.41565590727889e-13,6.90724447280421e-10
"Gm15584",1.75089698614924,1.01086785313648e-06,0.000235174380452256
"Gm15600",3.64540631138481,1.07228249863656e-06,0.000247273987777689
"Gm15723",2.6731821650661,1.42212986444504e-06,0.000299090976051165
"Gm15856",3.45564920504379,4.41143322532326e-11,4.29526548372308e-08
"Gm17268",3.05939832242329,7.0690039711004e-05,0.00673322628247313
"Gm17753",2.89342451855114,7.20981633036225e-06,0.00112820750898151
"Gm20471",3.81181891202573,6.53401931884076e-07,0.000165166186416351
"Gm21154",1.81212350706882,1.54218278016423e-05,0.00198772151657075
"Gm26902",2.20206224144722,1.19468404871174e-05,0.00167058771045654
"Gm29514",1.33318852280102,2.27553680231545e-07,7.20742012000854e-05
"Gm30371",2.1197049255478,1.23170215107809e-05,0.00169529936385821
"Gm30414",2.56123309203757,7.01554380481157e-05,0.00670660476671604
"Gm31182",2.41352962684585,1.09151838980187e-05,0.00156802879505472
"Gm31816",3.40516772095301,1.47320514352193e-05,0.00192570739270998
"Gm32369",4.40178448755375,4.65565592806202e-08,1.94273870940988e-05
"Gm34299",2.58120482019668,3.67139966274406e-09,1.85610434103613e-06
"Gm36356",4.22598219692368,7.02760615890211e-22,9.23743691556888e-18
"Gm46349",4.38187544037494,1.04871394908682e-17,9.18988033584776e-14
"Gm47033",2.1243376994642,1.20547593485812e-09,7.04239041144115e-07
"Gm47897",2.70158490833063,2.41536132239829e-05,0.00286024476596976
"Gm48722",3.45560844493207,1.83135433433336e-06,0.000364730864358256
"Gm48773",2.64252657124364,5.80234564454771e-07,0.000152537864649515
"Gm49083",3.64719160136154,1.98484810366886e-13,4.74360652703187e-10
"Gm49198",1.60509201070065,4.71757521765509e-05,0.00498073634124236
"Gm50048",3.78430241181698,8.86423506824393e-11,8.03558192100223e-08
"Gm50100",0.939681159385387,4.70341213604587e-05,0.00498073634124236
"Gm50399",1.62985795673544,2.61792679439481e-07,7.96006201691516e-05
"Gm50410",1.9071259255655,4.04290610655296e-06,0.000686338203547289
"Gm7480",2.25727179384941,4.24236019188481e-07,0.000114976708334495
"Grp",4.80227499570106,4.42569562293237e-05,0.00478794700540202
"Gsap",2.18946850515972,2.79499666029797e-06,0.000510261577795648
"Htr1f",2.52343547454652,5.53865827010507e-05,0.00562184506806147
"Insyn2a",1.14942742264037,2.63427819799771e-07,7.96006201691516e-05
"Islr",2.24261705928349,1.24041711873021e-05,0.00169840237678637
"Itga11",1.06397766962315,4.56875784196169e-06,0.000765019585397012
"Kank3",2.09177344805059,9.70995024274627e-06,0.00141813823295309
"Kcnb2",0.78314320478306,0.000107717827531118,0.00953465982479984
"Kcnj9",1.23554096863175,4.85092966470596e-05,0.00506055912521647
"Kirrel2",2.19771574301691,1.58281967103539e-06,0.000325083955717573
"Krt17",2.55923935027989,3.21912109162611e-05,0.00365371552108002
"Lama3",2.75032514592294,1.90690024689294e-07,6.34563298614792e-05
"Lasp1",0.967512113561779,9.22148409741864e-05,0.00847634949080555
