"","avg_logFC","p_val","p_val_adj"
"4930467D21Rik",10.8726359852568,7.73458832147926e-11,3.47057423475042e-08
"4930555F03Rik",6.57402974154062,1.32424881701233e-09,3.85427986767725e-07
"4933439C10Rik",8.41681925626442,4.14613433316368e-07,6.15858215639168e-05
"A830036E02Rik",3.06460875736821,9.63817011795619e-05,0.00680612813116526
"AA387883",7.56559123129136,9.53994035941615e-05,0.00678122889310578
"Abca12",8.48504807852248,2.19137732486013e-07,3.52223021065951e-05
"Abi3bp",5.81045829290296,5.24469499408833e-09,1.32894400920794e-06
"Ablim3",2.96338561659192,1.61833179757078e-05,0.00153549031965108
"Adamts16",3.03885461318201,7.26760636960889e-05,0.00536060636947385
"Arhgap24",9.89904391336162,1.13016353024034e-10,4.96764532945233e-08
"Arhgap29",3.46321059306851,3.59554267344915e-06,0.000427849713263799
"Atp10a",3.56339043650469,0.000148896550344371,0.00951612433625243
"Atp6ap1l",7.52725271401876,0.000116975098413259,0.00794766457294882
"Bmpr1b",6.06486644630121,3.57997813496724e-09,9.28982759890656e-07
"C130073E24Rik",5.3196037155515,1.22618506028623e-08,2.83973912133816e-06
"Cacng4",8.09608323725299,3.96414628846378e-06,0.00046402055848333
"Cadm3",2.58534482433279,2.67264065611235e-05,0.00230253337805391
"Cald1",3.74884514685123,1.31957756797809e-06,0.000178748815466114
"Coch",3.01163614558117,9.01599946932602e-05,0.00646397434155623
"Col12a1",9.02042698052802,2.96327855715858e-09,7.98102833998109e-07
"Col26a1",10.2857599708913,2.11704612955541e-10,8.47262157868416e-08
"Col8a1",4.74434472617101,6.55013305298116e-08,1.20578432218041e-05
"Dclk3",3.97969747678684,1.07229414873534e-05,0.00105940694382852
"Ddit4l",8.59688423378251,1.13721632814269e-07,1.94391787901089e-05
"Dipk2a",3.97211350675573,1.08329460433893e-05,0.00106538809078776
"Egln3",7.63288847429978,6.63436858422898e-05,0.00496149411691402
"Erich3",3.19410221187839,2.38585333663961e-05,0.00208888248636358
"Fam189a2",4.29935939547536,8.97616119731577e-07,0.000123928564017812
"Fbxo10",4.27883993773617,1.27506968166416e-06,0.000173812979770143
"Fgf13",3.12633534406482,4.97432048685426e-05,0.00375918998757428
"Glra3",2.69402425463817,5.62451254724599e-05,0.00423569060288756
"Gm11250",2.66481913783601,8.51760614515519e-05,0.00613552512221915
"Gm11802",4.31440293285592,7.13304604583949e-07,0.000101073385352165
"Gm12027",3.16840178684718,3.32361690419499e-05,0.00277885091078263
"Gm13629",3.10850762233661,3.51050103315247e-06,0.00042005095140021
"Gm14015",8.86446856612222,1.4205928814679e-08,3.19950474563139e-06
"Gm15577",4.52691262890484,1.07464705700124e-07,1.87068205386209e-05
"Gm15584",3.53396805250988,8.81868913563414e-07,0.000123335666625512
"Gm19410",3.47578415937119,3.32005609482465e-06,0.000401726787473783
"Gm19744",8.01084112883712,6.46606260400275e-06,0.000692865952064733
"Gm21798",3.31988864020533,7.91704197639037e-06,0.000835873074828786
"Gm2516",9.76363204805327,5.47810472123461e-11,2.5649439018685e-08
"Gm27151",5.58705937653116,2.10333236039932e-08,4.39821091051267e-06
"Gm29530",2.41518199170179,0.000124338497759127,0.00834268711755784
"Gm29674",8.12859446232019,3.07360978877201e-06,0.000374007952715093
"Gm32509",4.42043690398712,3.27021903475345e-07,4.89124844239721e-05
"Gm34184",7.95342328382674,9.5920544660509e-06,0.000983779376618116
"Gm39185",7.86285982994777,1.7019366219608e-05,0.00160773293700841
"Gm42303",2.80681218670472,9.03359771941881e-05,0.00646397434155623
"Gm45321",10.3285790400456,2.20291625745073e-10,8.62662006417704e-08
"Gm45323",9.18418337863456,7.12663264761949e-10,2.29785560050507e-07
"Gm45341",3.22344343158622,1.89607111503699e-05,0.00175209116392036
"Gm48003",2.84178841264673,3.32873774251053e-05,0.00277885091078263
"Gm5149",2.74531257793104,9.74145849421791e-06,0.00098967704268144
"Gpr39",8.65887678869159,5.42528608220659e-08,1.01608531859622e-05
"Grk5",2.49253032948038,0.000152497058102937,0.00963191096017905
"Hrk",7.83054362444183,2.1029473288495e-05,0.0018793891937245
"Ikzf2",3.51506032924902,2.62403500914737e-06,0.000332449800158918
"Jam2",9.29969464932094,4.57227966788336e-10,1.6656241430695e-07
"Kcnh5",6.39855820726368,1.06285142131338e-09,3.17940193225661e-07
"Kctd2",7.52848282488665,0.000116672728349243,0.00794766457294882
"Krt12",3.58219453023681,1.67623795817486e-06,0.000224241075423417
"L3mbtl4",3.50866306274764,4.10635150694417e-06,0.000475497842777223
"Lemd1",3.83437280821668,3.28306942489729e-05,0.00277297055974266
"Lypd1",3.62274791684805,2.34218836781833e-06,0.000305733654945886
"Man2a2",2.97874929004846,0.000107195807280567,0.00752046676615259
"Matr3",2.30297102448449,0.000111108950651897,0.00771939314130373
"Minar2",3.03847030711057,7.29509343320294e-05,0.00536251612164932
"Mpped2",2.93887068944699,0.000116166650819733,0.00794766457294882
"Naa11",9.20675688181685,7.14812541711578e-10,2.29785560050507e-07
"Nckap5",3.55956782230893,3.72252854339196e-06,0.000438119233702601
"Nrip1",3.52322153889887,6.37821408934197e-06,0.000686869875281236
"Nsa2",2.3992658073074,6.24205289339544e-05,0.00468436708076484
"Ntng1",3.8589686954632,7.92763169317009e-07,0.000111598255821894
"Olfm3",3.75383788554302,6.3741159334472e-06,0.000686869875281236
"Pde5a",4.11691762870114,3.49855064512538e-06,0.00042005095140021
"Phka1",7.55818475093347,9.94577653513905e-05,0.00700039656907925
"Pkib",3.24358723441948,2.10088123962337e-05,0.0018793891937245
"Plxnd1",9.23303421349588,6.69901841968063e-10,2.2902136305251e-07
"Pparg",3.44687576722228,4.68793111979059e-06,0.000525878439885676
"Ppfia4",7.94879155108876,9.74021119031991e-06,0.00098967704268144
"Prim2",3.59976507531461,0.000128283424253003,0.00844944462251124
"Prkg1",2.97333347880715,0.000143553512693581,0.00925705256405494
"Prmt8",2.52894243130052,0.000109079009532151,0.00760305406894327
"Prr16",3.39739633767595,2.85543780358074e-05,0.00243084661713525
"Ptchd4",7.47875024710018,0.000150105390707874,0.00951663320571039
"Ptger3",7.69315578554339,4.70704613116314e-05,0.00362305955930309
"Ptgfrn",7.51665600249401,0.000123934370558433,0.00834155772839856
"Pygo1",7.98274300423287,7.96309946634862e-06,0.000836630421005935
"Rasgef1c",2.4048514726617,0.000108706285766073,0.00760167526892755
"Rassf3",7.51087973534192,0.000127267898899519,0.00843414155845489
"Rims3",7.75026635713549,3.43716174605866e-05,0.00285828531608538
"Rmst",4.64578190722864,7.91886143125462e-08,1.43324737400304e-05
"Rnf144b",3.15125689835368,3.57356663134871e-05,0.00293769000404536
"Rorb",6.0623002996495,7.4202812443573e-10,2.35026496236717e-07
"Rskr",3.96507815081758,1.07700146104048e-07,1.87068205386209e-05
"Rtl8a",7.47941282620989,0.000150178708206833,0.00951663320571039
"Scn7a",2.94939776714785,4.08672425809666e-06,0.000475497842777223
"Scn9a",2.44126739023772,0.000146810682993878,0.00941073955453021
"Sema3d",3.35475785671433,4.35661029264344e-06,0.000493856170962918
"Sema6a",3.02149009821938,8.97901713791368e-06,0.000925311345054473
"Serp2",2.30135571887005,0.00013361520636015,0.00872117078599568
"Slitrk1",2.36382731378236,0.000128187437880175,0.00844944462251124
"Smyd2",3.21057523908199,2.14078929759964e-06,0.000282873128169945
"Stat5b",2.81876673076501,1.90705413720618e-05,0.00175209116392036
"Tmem132cos",3.68466118552633,7.15142113106782e-05,0.00529303465020408
"Tmod1",2.478097289132,0.000111823319718022,0.00771939314130373
"Tnni3k",3.99914002366426,8.87711042046483e-06,0.00091920771267294
"Tox",4.63617027032046,1.82125837446702e-08,3.92262628692706e-06
"Trpc3",2.94370188852436,2.21485815316749e-05,0.00196311172440006
"Trpm3",3.47854514027418,1.23074163157077e-05,0.00119404113787258
"Trpm4",2.23601930619166,0.000122495326827558,0.00827054654925374
"Ust",2.92456439198731,9.83494323692872e-06,0.000994483602990474
"Vegfc",8.05383368728181,4.82422180083126e-06,0.000538363156198465
"Vstm2l",4.38851609341542,5.50744681144031e-07,7.9610328473021e-05
"Vwc2",4.68679887902671,4.30633772093975e-08,8.13595630119302e-06
"Zar1l",4.07701654536092,5.4789719955992e-06,0.000602071932863344
"Zfp536",11.5793709904125,1.49792780765144e-11,8.06559228029916e-09
"Zfp57",8.98949074642595,4.87101735967327e-09,1.24895204634099e-06
"Zmym3",3.65606592442011,7.88351111963248e-05,0.00573631967887312
