"","avg_logFC","p_val","p_val_adj"
"1700003F12Rik",2.30833611855583,6.8556610172405e-08,2.75265177207384e-05
"1700010J16Rik",2.33151875832044,4.00303476144646e-07,0.000120545933157195
"1700081B01Rik",2.88400873234849,4.99986734099499e-07,0.000140953706953582
"2210408F21Rik",0.853835597064936,2.89254996542689e-05,0.00399232156686524
"4930467D21Rik",5.21135087880064,3.10348064991036e-26,4.11211186113122e-22
"4930474M22Rik",3.77284784298292,6.77391354683251e-05,0.00787318899083603
"4930523C07Rik",1.90421457811605,3.94662419251543e-06,0.000836684328813272
"4930542D17Rik",2.08729845570298,5.77418476877445e-08,2.35409071342343e-05
"4933401D09Rik",3.95003356147945,7.26772342111629e-16,2.75135243799402e-12
"6430553K19Rik",2.4394319597681,4.39763676046083e-14,1.29485971280235e-10
"6430710C18Rik",1.64292281255027,2.20142958362792e-05,0.00322308751194142
"8430436N08Rik",5.57182690285704,2.30194224185961e-07,7.86938348415821e-05
"A230108P19Rik",1.95735861482305,4.89083731717533e-05,0.0060003328196827
"A730009L09Rik",5.93479744410238,3.14281929212513e-11,3.62107440179634e-08
"A730035I17Rik",4.34446737176259,4.72725131387282e-08,1.98844698123222e-05
"Abca4",1.86891410542333,5.71662824630748e-05,0.00676297538067627
"Adamts13",1.60191595362438,9.33341647433384e-05,0.00977533761408041
"Ank1",0.9207598412301,7.66087660960887e-05,0.00860225551502691
"Ankrd29",1.02374331749444,3.42817664297925e-05,0.00451973537507215
"Arhgef25",1.36986792869275,1.11041750955399e-08,5.55208754776994e-06
"Art1",3.26357800598684,5.52190651522821e-09,3.04855255528224e-06
"Art5",3.4310607499413,2.38719075322537e-07,8.00766518486991e-05
"BC006965",3.12728730820733,5.8599253237598e-05,0.00690168982576154
"Bhlhe22",4.48501981254129,1.1293336621642e-09,7.87561632825034e-07
"Bnc2",2.9959895344675,3.03252682048025e-06,0.000664148435890303
"Brinp3",1.58831140241463,2.32278111777534e-10,2.05178998736822e-07
"C7",1.15387630581591,5.71595161706235e-05,0.00676297538067627
"Ccdc3",2.27948784928599,1.87894327458807e-05,0.00302784906132406
"Cd36",3.60807833917001,7.43880070508431e-06,0.00146020902729433
"Cdh6",1.86128317713835,8.2016569678365e-29,2.17343909647667e-24
"Cdkn1c",3.60591175998306,5.1162662357791e-09,2.88470330315205e-06
"Chrm2",1.06265936344195,1.12587299213427e-05,0.00208640799241665
"Chrna10",3.6239462490552,4.46163341426615e-05,0.00555085847314802
"Clcf1",2.42464689665379,9.18122684830268e-09,4.67889445153887e-06
"Cpne4",1.90734467621303,9.14877797228839e-06,0.00174966615475832
"Crhr1",0.881334319822023,9.36071875510206e-05,0.00977533761408041
"Crhr2",2.08697380140774,3.26490484583494e-07,0.00010178820989956
"Crtac1",0.890104318002562,6.4502635482634e-05,0.00756336212517611
"Cyb5r2",1.66576682559908,8.82344852758864e-05,0.00950493438947556
