"","avg_logFC","p_val","p_val_adj"
"Col27a1",-1.58406528878005,2.88964469330122e-05,0.00469826589749309
"Enpp1",-2.07693715855131,6.84308307027437e-05,0.00933766834621574
"Gm10754",-2.01355416402755,2.09019584825624e-05,0.00365625706863251
"Mc4r",-2.1286902149888,4.2698011081143e-06,0.000984538502783738
"Oprk1",-2.38660818772829,7.67965352526701e-06,0.00157086074205542
"Parm1",-1.70221852152935,1.08143864588677e-05,0.00204698580703523
"Rspo1",-4.40974850773731,5.20101809977961e-05,0.00766968738853547
"Scnn1a",-5.17669496573828,3.45951379212911e-06,0.000820066428257596
"Th",-5.2744921582224,2.96761722522758e-05,0.00476396476586534
"Whrn",-1.76878711831986,5.95837505457106e-05,0.00849034971259216
