"","avg_logFC","p_val","p_val_adj"
"1700003F12Rik",1.26578998034366,7.58669683741247e-06,0.00156446324052138
"1700007F19Rik",3.06774567106111,3.33805477137292e-06,0.000806346868772406
"2310015D24Rik",4.41246437334705,3.0497157083788e-07,0.000115452222727343
"3110006O06Rik",2.71720971414955,5.33181101937032e-05,0.00781711298816814
"4921539H07Rik",2.27544732073662,6.05121500993869e-06,0.00130070353823801
"4930412B13Rik",3.75480056557777,5.82489280769085e-06,0.0012627571040536
"4930447N08Rik",2.74366340298306,6.30944605489833e-05,0.0088907105409134
"4930467D21Rik",6.69579183421651,7.12913158597492e-41,1.80823293546668e-36
"8430436N08Rik",5.22683340691028,2.99158597590456e-06,0.000736685307697507
"A730009L09Rik",6.24730011285944,1.44172720107827e-13,2.43786458187661e-10
"A730035I17Rik",3.51013676871263,1.66663726149278e-06,0.000484988569664071
"A730065G17Rik",4.55108006783216,4.13239014019615e-05,0.00631409298288766
"A830009L08Rik",1.98325941127515,1.27313008767364e-06,0.000403645894296928
"Adamtsl1",1.82020575036092,2.41446140658665e-05,0.00411009390044724
"Afmid",1.97031456785259,8.84112308428299e-07,0.000303035467445613
"Akr1b10",1.0901729846768,6.67587664897059e-05,0.00925283799587378
"Arhgap29",1.94497224061148,1.07431408745118e-07,4.61845805323926e-05
"Atp8b1",2.87224391534915,8.53414590965541e-08,3.79754520793859e-05
"AU023762",3.94434292281543,6.60782424111166e-11,5.77933979488124e-08
"B230208B08Rik",2.84265684853112,4.90815897011066e-06,0.00110168623113174
"Bhlhe22",4.22901326196848,1.06862778553713e-06,0.000352008768212515
"Bmp1",2.14877430102023,2.23137610341397e-10,1.71504919657551e-07
"Bmpr1b",2.86142998084514,9.29714661880888e-12,1.07187648563395e-08
"Boc",4.65939775431349,1.69500652107947e-11,1.71968581602638e-08
"Calcrl",2.97237131851745,2.63041538449175e-05,0.00437312348771115
"Car8",2.06612413725044,6.9779668142327e-09,4.21402738752853e-06
"Cbln4",2.09800059376889,3.3278180884987e-09,2.16427635888926e-06
"Cd6",2.80120746742204,1.149302516157e-05,0.00215932659405971
"Cdk14",1.08853701274321,1.36183835443976e-05,0.00249197885141912
"Cdkl4",1.98100379790327,6.98152722938014e-07,0.000256636893689852
"Cdkn1c",6.34910713062716,4.94750809351189e-15,1.14080541167123e-11
"Cerkl",2.77017110551159,9.69540238258098e-06,0.00184897884234424
"Clrn1",3.27811407069838,4.40979149684549e-06,0.00100765722095486
"Cntnap5a",1.97196529107416,1.47306752378416e-05,0.00264984997682705
"Col8a1",2.51883518791306,4.81418099704365e-06,0.00109024006079478
"Cyp26b1",3.34272777729977,2.66395322812352e-05,0.00438756556351461
"D5Ertd615e",2.26750845603961,8.36862575890506e-06,0.00165829549803803
"Dnah7c",1.7212723431516,6.50520809137762e-06,0.00136362064487357
"Dpy19l2",3.42770308431506,5.20076171027929e-06,0.00114706191321325
"Dtl",5.56590480822939,3.53072221243649e-13,5.26783754095524e-10
"Echdc2",1.53123610830323,1.36565628586681e-05,0.00249197885141912
"Efemp1",3.81613295241387,2.6829268626668e-08,1.36194901757263e-05
"Egln3",2.48657245690732,5.77616524923556e-08,2.70738346948693e-05
"Emid1",1.99847729686392,2.30700749656763e-06,0.00060953060565564
"Emx1",5.02862555061138,1.7046852361306e-10,1.35117613528802e-07
"Exph5",1.97053177602491,8.08551307493117e-07,0.000283098628808578
"Fezf2",4.55197193247611,8.53384820278329e-06,0.00167792655670849
"Fhl2",1.80168140391553,1.82716547077101e-08,1.00748315218773e-05
"Galnt3",3.57599998878997,1.80140151232253e-06,0.000507674977317207
"Gdpd4",3.58943775328078,2.84540628448405e-07,0.000109349825757051
"Gimap6",3.89861376425749,2.17429307993994e-08,1.17337807828929e-05
"Gk2",4.8677664132319,1.58237922070028e-06,0.000466691471556301
"Gm12522",2.4986110755574,6.88433993353707e-05,0.00933766834621574
"Gm13211",3.33704855371235,9.56002139936944e-09,5.63907866915364e-06
"Gm13584",5.82795883813494,3.03536008680638e-09,2.02602298004624e-06
"Gm13872",2.79195844892165,3.75976881599997e-05,0.0058148034298185
"Gm13986",3.29214606471294,3.02147578740461e-08,1.50268062493589e-05
"Gm14015",7.02167545994054,1.40423036028288e-25,1.1872299619405e-21
"Gm14317",4.54756744152394,2.4663325928773e-06,0.000644907833873606
"Gm15825",6.96261657987826,4.50880267662153e-14,8.79702085306372e-11
"Gm16045",4.83044701066568,1.03755389035923e-07,4.53733049570201e-05
"Gm19410",2.47322823421714,4.33523056056051e-08,2.07469411203881e-05
"Gm20033",1.57775140941521,3.4352295618593e-05,0.00537846682759255
"Gm20063",3.38256153771126,1.24525198994749e-14,2.63204762275234e-11
"Gm21154",1.78464431105312,3.25453437216968e-05,0.00515925061348198
"Gm26911",4.1383232528458,4.15599172103769e-11,4.05432976970769e-08
"Gm29069",3.24098970009458,1.56327916872639e-07,6.3953246508994e-05
"Gm29100",3.85889392211509,2.23401984536476e-05,0.00388107392861861
"Gm29674",2.81967335660703,1.03234602865011e-08,5.95100560697305e-06
"Gm30094",6.6890319615256,7.4858475169145e-05,0.00999321244310628
"Gm31592",6.33137048928173,1.31571898725803e-11,1.40569882726684e-08
"Gm32200",6.88322183700647,3.64421741434231e-16,9.2796872919435e-13
"Gm32243",3.88844186588563,1.49644968205639e-06,0.00045730059922504
"Gm32633",2.79205845327866,2.63744646871455e-05,0.00437312348771115
"Gm3279",4.39432838336303,2.98726407087724e-06,0.000736685307697507
"Gm33228",1.11031960273185,5.39045486771901e-05,0.00785767225659913
"Gm34184",6.76929408311925,3.05550737330049e-16,9.2796872919435e-13
"Gm35041",3.61736328089548,4.59149261189177e-05,0.00685050697694253
"Gm35769",3.67023561956618,1.95252306401657e-06,0.000538302119518656
"Gm35850",3.21889826108198,5.83667147037582e-05,0.00836391724150352
"Gm36251",5.77405573011112,2.3190720833838e-05,0.00398726441232549
"Gm36745",5.31653514730885,3.44764158046925e-06,0.000820066428257596
"Gm37306",4.98096132254551,8.18343097374149e-06,0.00163436648203133
"Gm38412",4.5408877826185,2.63794312261396e-05,0.00437312348771115
"Gm38642",2.8928331374137,2.3859664178987e-07,9.31040803439734e-05
"Gm39822",3.69038437114087,7.00411783074441e-05,0.00944959812015963
"Gm40331",5.03607969190357,8.11386997012713e-07,0.000283098628808578
"Gm40518",4.12307151385901,8.14784730445758e-07,0.000283098628808578
"Gm42303",1.76585024509661,3.57228495110519e-05,0.00555873837422283
"Gm42744",3.09136279469993,6.9892952446629e-08,3.16565151045768e-05
"Gm42750",3.60649215612656,2.56494432084708e-06,0.000660434236001115
"Gm42864",6.3515253128147,9.58056787218021e-10,6.56760874351294e-07
"Gm42953",6.9938033882963,4.61658730557046e-11,4.33685631179589e-08
"Gm43112",1.3342458271245,4.22142254748558e-05,0.00641150667631283
