"","avg_logFC","p_val","p_val_adj"
"1700001C02Rik",3.46380541516715,9.68204339706427e-07,0.000242069885010873
"1700024G13Rik",4.21084512696155,1.91426668886673e-05,0.00370556330412084
"1700028P14Rik",4.25521974860318,2.41847491348362e-17,4.79081276707924e-14
"1700066J03Rik",4.76557011853274,1.0835092789573e-05,0.00229414144347661
"2010001K21Rik",2.99986491815778,2.97280510978079e-06,0.000677483868912168
"4833427G06Rik",4.8958444516805,1.19719121917365e-05,0.00245080251919882
"5430419D17Rik",2.93052331454712,8.96539927417547e-06,0.00195658442464887
"Ak7",3.2232826006465,6.4395032004708e-22,1.84255651576138e-18
"Ak8",2.46281506313926,4.65348375414286e-12,3.94840055947092e-09
"Ak9",4.21955854993958,6.73988035659191e-29,5.7855132980985e-25
"Armc4",4.38266987114208,1.63694940409551e-37,4.21547210542676e-33
"Armh1",1.80691436558491,1.92321746923501e-05,0.00370556330412084
"Arsi",4.68113932101863,1.02734511402017e-07,3.26156720839595e-05
"C230072F16Rik",5.47260854358383,6.78108493643176e-08,2.23880127285886e-05
"Cabcoco1",1.6660492292088,2.31471245260984e-07,6.6231638977343e-05
"Ccdc121",2.85659064011035,4.77867835918188e-05,0.0084288030894282
"Ccdc153",5.68459345834962,4.92621433300104e-08,1.76194265977004e-05
"Ccdc162",1.01882817151486,2.52680289659394e-07,7.15057452671287e-05
"Ccdc170",3.95753024566701,1.86754972168703e-11,1.37408972665384e-08
"Ccdc180",5.45805469986425,1.7116406568194e-15,2.3199036944428e-12
"Ccdc33",4.74423119204143,4.22564047386473e-12,3.75236874079188e-09
"Ccdc81",2.56356105349254,6.56152743621337e-08,2.19444746152424e-05
"Cd34",0.939234757851727,2.5700738522564e-05,0.00479598129299324
"Cdhr3",5.24039063517968,2.02394872293086e-07,5.85626151830513e-05
"Cdhr4",2.40418017963026,1.54147263211751e-08,6.84413848660173e-06
"Cfap206",2.94985693555854,2.90788109799915e-06,0.000674628414735802
"Cfap221",2.62006158940266,2.60064933331696e-10,1.59456956265663e-07
"Cfap299",3.8704457646987,2.72218926724235e-18,6.3728925463659e-15
"Cfap43",1.18422012039276,4.92834119001979e-05,0.00848385510482201
"Cfap44",2.68796958027226,4.94166769852167e-05,0.00848385510482201
"Cfap46",1.45411955945928,1.17117043902385e-07,3.63373266816171e-05
"Cfap52",3.78916032989504,2.27185087175447e-05,0.00427041632477527
"Cfap54",2.34826070290455,1.28386170155325e-11,9.72411957011742e-09
"Cfap58",4.03727557055295,5.90593676601635e-07,0.00015362594302874
"Cfap61",3.023090254757,6.96145141441815e-13,6.89504987784985e-10
"Cfap65",4.0570984163683,1.76220618121805e-06,0.000420188273877104
"Cfap70",2.39691565208404,1.25348008398652e-09,6.86800406868529e-07
"Cfap77",3.10710862599254,3.494383134896e-08,1.32334344838002e-05
"Chrna10",3.71302173095239,1.75952292048744e-07,5.14900389186278e-05
"Col6a5",3.75716133186032,3.08015545975832e-05,0.00562554350352456
"Cpne4",1.75817942205864,7.05145078688585e-10,4.03531023697521e-07
"Crocc2",2.29474763433676,5.04486397811658e-07,0.000135328476212977
"Daw1",4.60736703893827,2.11417717128167e-09,1.08871113490681e-06
"Dnaaf3",3.54725768758933,5.94183904339615e-14,6.6527930019799e-11
"Dnah10",1.61578654986382,5.31739140942072e-08,1.87580087089592e-05
"Dnah11",3.80128337441325,1.86545075103131e-09,1.0008143279283e-06
"Dnah12",5.14550980690559,3.92367687742622e-17,6.73616846316533e-14
"Dnah3",1.91399277055258,1.26725475207673e-10,8.36778060909743e-08
"Dnah5",1.08675197543962,6.15243095790764e-07,0.000158437402028038
"Dnah6",4.33176801976552,7.45552002661237e-16,1.06663639847401e-12
"Dnah7c",1.57524980249691,1.02737687387464e-07,3.26156720839595e-05
"Dnah9",3.06457951432475,1.30482531841402e-12,1.24451339258511e-09
"Dnajb13",3.40770005614524,3.26555690686664e-07,9.0424324156591e-05
"Dpy19l2",4.18583681730489,5.43432838331273e-15,6.99724122635347e-12
"Drc7",4.86402163072049,9.77924036850688e-15,1.19921427604661e-11
"Dsg2",2.8411465618332,3.06319334053507e-05,0.00562554350352456
"Dthd1",4.70947148726567,3.68613696964577e-27,2.37313498105795e-23
"Dydc1",2.84991976210104,1.4895943692718e-05,0.00292824688530437
"Dynlrb2",2.8804260675344,4.44832185515943e-08,1.61342513259247e-05
"E130111B04Rik",5.3590227244461,1.40450742820387e-05,0.00282569338211767
"Ecrg4",2.51301556511294,8.1331994019603e-06,0.0017901380427289
"Ect2l",2.27972358052696,1.61818393722518e-08,7.06296148329199e-06
"Efcab6",1.81166755299976,2.29291727759463e-09,1.13552318716571e-06
"Enkur",2.82627267821766,1.26494139269585e-05,0.0025649425783231
"Fam183b",4.50987584927597,6.63284850771798e-10,3.88202533569894e-07
"Fam216b",6.2069732943707,5.7398240587909e-07,0.000150828519553044
"Fank1",1.88766611320773,1.29468744709243e-06,0.000311596178855366
"Fbxl13",2.61717347627827,3.78898644920486e-11,2.71038830666454e-08
"Frmpd2",5.70531769644869,5.07337699401612e-23,2.17749340583172e-19
"Fsip1",2.6121676660719,3.24565529173028e-08,1.2474942548155e-05
"Glipr1l1",4.30136809623872,1.09431324807856e-05,0.00229414144347661
"Gm10440",4.10034427522472,5.51011332769512e-08,1.8919525121974e-05
"Gm10714",5.52037810743487,6.00368649030187e-13,6.18427737993015e-10
"Gm12695",4.50603011895133,3.38331777964128e-17,6.22337139009444e-14
"Gm13481",3.92153749647068,2.43404036851063e-10,1.5288148187777e-07
"Gm14280",2.62274692454902,1.22674057835733e-08,5.54228480243123e-06
"Gm19301",5.22462918531121,6.17101982513278e-08,2.09100134916868e-05
"Gm28729",3.79942503135358,1.52821922778062e-07,4.52352891423063e-05
"Gm29266",2.03643626593907,8.68092913602013e-12,6.9859777222122e-09
"Gm29508",1.87092310691507,5.45609132049917e-05,0.00930498435003276
"Gm29538",5.79900306578573,2.76027148643476e-08,1.12829383045505e-05
"Gm31107",5.30038450335851,1.44988328732827e-07,4.34155749014855e-05
"Gm33543",5.914190933207,7.6544786360768e-10,4.28517682252717e-07
"Gm35611",4.92828384957356,1.86704485877931e-08,7.88199003332537e-06
"Gm40761",4.07045134305634,7.51553359882159e-07,0.00018974511885966
"Gm41669",3.46094609589573,1.80297573922566e-06,0.000425965424188434
"Gm42722",1.52266490988766,2.59693591704746e-05,0.00481124415365511
"Gm44109",3.05901336922379,4.3477446019975e-08,1.59947312843771e-05
"Gm4681",2.0990319683116,1.08593898786104e-05,0.00229414144347661
"Gm47888",4.96377877442495,3.88649837949262e-16,5.88735919227612e-13
"Gm48500",5.16056596679454,2.91774499382917e-08,1.17402764189201e-05
"Gm49896",4.94392710096555,7.31111167444664e-09,3.36206692572053e-06
"Gm50114",4.59377778484688,3.50534221277585e-05,0.00631255752890935
"Gm867",2.24158029497335,1.18693068934801e-05,0.00245080251919882
"Hydin",3.90108359023616,4.0810851248924e-07,0.000111804366102371
"Iqub",1.36983968117307,1.19913450380184e-05,0.00245080251919882
"Jhy",2.54071809575658,1.92818221012812e-05,0.00370556330412084
"Lmntd1",2.51512106757599,5.95869427433748e-09,2.78996899914071e-06
"Lrguk",1.29135568735689,4.6411235904809e-06,0.00104840539212337
"Lrrc36",4.8766880459672,6.00789242423327e-18,1.28929371424046e-14
"Lrrc43",3.96751160855622,1.85245976961177e-22,5.96306799838029e-19
"Lrrc6",2.14794702893697,2.10437614186505e-09,1.08871113490681e-06
"Lrrc74b",2.71374873385736,2.07763077364273e-05,0.0039484432230159
"Lrriq1",2.53277681348501,1.23287335878411e-11,9.62089537436616e-09
"Maats1",4.62887681659598,1.4331994038947e-12,1.31813396603916e-09
"Mia",2.80424531656154,4.207359073375e-05,0.00752416047621897
"Mlf1",1.59048255039143,5.02242319176096e-10,3.0078474891681e-07
"Myl4",1.57540647371154,3.10984763053689e-05,0.00563977437898494
"Nek10",2.13368865321839,3.58077534050792e-08,1.3364076314313e-05
"Nek5",1.76217109264735,4.91242070405461e-05,0.00848385510482201
"Nme8",2.07711866808165,4.83230806137948e-07,0.000130991154943836
"Nptxr",1.64978606808197,2.13946718327711e-10,1.37738897259381e-07
"Olfm1",1.35290672499269,2.9373450701657e-06,0.000675379555775955
"Pi15",4.10485685521551,1.03855433010433e-07,3.26156720839595e-05
"Ptpn20",4.21034652889912,6.59754237254087e-06,0.00146465440670407
"Rasgrf2",1.47409144868175,6.3089112973366e-07,0.000160858498741596
"Rassf9",2.20634991641301,2.74471776708286e-08,1.12829383045505e-05
"Rgs22",2.24786151437661,9.0791095448054e-20,2.33805228997829e-16
