"","avg_logFC","p_val","p_val_adj"
"1110017D15Rik",0.716637461219099,0.000316307229955292,0.0076060706225411
"1700016K19Rik",3.38163878051653,0.000438192988390136,0.00966786124338793
"1700024B18Rik",1.2234049135033,7.13615820996256e-05,0.00243385934593651
"1700027H10Rik",0.953686987645888,2.6894856890248e-06,0.000189987822887016
"1700030L22Rik",1.45644018456648,3.39349119042704e-07,3.72283185618922e-05
"1700042O10Rik",2.80134867061638,2.05459911385599e-05,0.00093880588300299
"1700084C06Rik",0.664188769151529,9.19639885001495e-05,0.00295053195449401
"1700087M22Rik",1.00569291874621,6.39659539931702e-06,0.000378799378298858
"1700125H03Rik",1.89117977208309,1.39347053267984e-05,0.000682571183147661
"2010001K21Rik",1.93323893831835,2.0336147753963e-06,0.000152719979000266
"2010300C02Rik",0.899613931150916,2.80252847744851e-05,0.00117874545820034
"2310022B05Rik",1.4143626935484,7.53436544315372e-08,1.09367746182754e-05
"2610035D17Rik",0.635907715530407,2.3289207813514e-06,0.000170068368468869
"2900052N01Rik",1.02712210142178,1.47552406358706e-08,2.92719382147945e-06
"4833422C13Rik",0.799783522810316,0.000406370737860787,0.00916104335749422
"4930405J17Rik",3.87330222989017,6.09514903566977e-06,0.000364575673224007
"4930430A15Rik",3.40378237015935,0.000229069798646315,0.00594034381979756
"4930444A19Rik",1.02437477285734,0.000240621022927644,0.00615276484620353
"4930511M06Rik",1.2349317508999,5.1089525960156e-05,0.00189357453164667
"4930517O19Rik",0.968520853096388,0.000339879989278663,0.00803240530614161
"4930555F03Rik",2.40016820309758,9.98195068052063e-07,8.80112288520275e-05
"4930583P06Rik",1.35204288795734,0.000435366632386302,0.00963228443363225
"4933406B15Rik",1.33831128001894,5.27176207359165e-05,0.00194084752945314
"4933413L06Rik",3.6974406652054,2.79877839410532e-11,1.4342881163877e-08
"5330417C22Rik",1.44369688273365,4.14457991599972e-08,6.85179649168676e-06
"5330434G04Rik",0.902279834590334,6.25229041404807e-06,0.000372105063992071
"5730522E02Rik",0.675001708938787,0.00037507070224717,0.00862698853883684
"6030442K20Rik",0.602831262547136,0.000181800536456256,0.00503835107203449
"6330576A10Rik",1.57673364888937,2.14681138749838e-08,3.84263096923206e-06
"6430628N08Rik",5.09666351176866,7.87822942074043e-11,3.46583498949742e-08
"6530403H02Rik",1.16110878457893,8.07282048729643e-09,1.74710513200526e-06
"6530411M01Rik",0.964058699505587,0.000291484964506085,0.00714633477346226
"9530052E02Rik",1.47963074747369,1.59346129035556e-06,0.000127723701946817
"A230006K03Rik",1.02696629539251,1.65137041351518e-05,0.000786250481282847
"A2ml1",2.78839847500627,0.000152776376538462,0.0044138281794595
"A330087D11Rik",2.85229196767409,3.13815054254837e-05,0.00128362219614959
"A830018L16Rik",1.29717136334952,6.30344050493346e-05,0.00220676036265362
"Abtb2",0.616874118950975,4.11391373917983e-05,0.00158066383063342
"AC160336.1",1.81784135444911,8.04706840118606e-06,0.000442421501982992
"Acta2",1.41022740121885,0.000151073737879723,0.00436994095256949
"Actn2",1.02060203769721,2.41426408890794e-07,2.93234545410931e-05
"Adamts3",0.959803653256511,1.54339314003547e-06,0.000124128436120555
"Add2",1.09895022697489,2.41333170788408e-05,0.00105804373182115
"Adgrg1",1.0574757729603,1.94070321023602e-07,2.44072709236115e-05
"Adora1",0.855678955642775,0.000401464495956058,0.00908485151210068
"Agt",2.03322440576636,0.000221909681472959,0.00582445631438286
"Aif1l",1.16691461346311,3.15420223893203e-05,0.00128576949486329
"Alox5",1.97465707185061,0.000125382753529654,0.00375454318305277
"Amph",0.688905831479831,9.76340989175191e-06,0.000515360833443561
"Angptl1",1.02658382182082,0.000384724315218285,0.0087980279040216
"Angptl2",1.09857818595906,0.000112111925821276,0.00343492471827708
"Angptl4",1.60017492451494,6.62242098402995e-05,0.00228881385020915
"Ankfn1",1.92397127202858,3.46655010025064e-05,0.00139872358790791
"Ano4",1.73915485447599,1.23120144048726e-08,2.52672254243446e-06
"Ano6",0.889242601779209,7.52898124114963e-06,0.000422723885440585
"Apba3",1.11837772670846,2.07014274864544e-05,0.000944096135522096
"Apoc1",1.9334257859213,0.0001731548794955,0.0048667356095276
"Arhgap10",0.907606316351852,1.16605740466187e-05,0.00058687447305244
"Arhgef16",2.23456473001718,5.3058019726527e-05,0.00194563953063256
"Astn2",1.0188348413043,5.65475707003432e-06,0.000349654926777239
"Atp13a4",0.692406771977536,3.27682505840327e-06,0.000224807196946249
"Atp13a5",0.594919611642515,0.000202480886171297,0.00545278277849989
"Atp2b4",1.06330173342525,5.58626830742322e-05,0.00200529385331626
"Atp7b",1.43483409039605,2.1216673616055e-05,0.000958413912910445
"Atp8a2",1.0318453022676,3.84949257880442e-05,0.00151377778283205
"Aunip",1.85606648609712,0.000118306423673365,0.00357411512940116
"AW551984",4.9250036438288,3.68723277903241e-09,9.23981721448901e-07
"B230112J18Rik",1.25520618229855,0.000251539988890619,0.00637321056798416
"B230209E15Rik",1.20902352877874,1.57946141217271e-08,3.07253328491812e-06
"B230323A14Rik",3.04761382286112,6.73327216586183e-05,0.00231636238700154
"B430010I23Rik",1.06702594228277,3.05191873760115e-05,0.00125051113604862
"B830012L14Rik",1.59162222340822,7.0937795767298e-09,1.60063558559314e-06
"Baiap3",2.85287677019935,2.72754797962361e-07,3.17369519835733e-05
"BB557941",1.71620917990799,2.99649469400937e-05,0.00124246820042218
"BC051077",2.5503013133706,3.68930587092144e-08,6.22890890518835e-06
"Bcl11a",1.04577747222803,6.86803008888442e-06,0.000398781278770689
"Bcl2",0.673301216963618,7.88289755620502e-09,1.7216537543396e-06
"Blcap",0.588054275318492,3.02194270293008e-05,0.00124680013840474
"Btbd11",1.26616608931085,5.6454276816171e-06,0.000349654926777239
"C030005K06Rik",1.79988071091176,1.0349307118733e-22,5.26312473201633e-19
"C4a",2.868413056401,0.000183473253827689,0.0050670119264756
"C530008M17Rik",1.00637763887712,1.21259958619601e-11,6.87312994023386e-09
"Cables1",0.76525791781625,8.447526663517e-06,0.000459136574775538
"Cacna1b",1.35349908050479,6.01711558163818e-08,9.2415131313857e-06
"Cacna1e",0.688458790085832,0.00034011024735742,0.00803240530614161
"Cacna1g",2.7236134442441,1.2102863295467e-06,0.000102900272718532
"Cacng3",0.986033544972676,6.63268006322284e-05,0.00228881385020915
"Camk2d",0.601666991778159,1.52445135143252e-05,0.000733153310549547
"Car10",1.64221887298251,4.01380841375408e-05,0.00156723384680567
"Cartpt",3.44050999230482,7.92296555579432e-08,1.14311586679539e-05
"Ccdc24",1.41256256016201,1.27843853036817e-06,0.000107542429872596
"Ccdc60",1.40216342966466,4.06271343382114e-07,4.31772125024759e-05
"Cd82",1.43235418077818,5.50510874582362e-05,0.00199474305636342
"Cdh13",0.9971020600855,1.3827551620079e-05,0.000680121268321488
"Cdh18",1.16807813057182,4.1243311032321e-07,4.34441709042227e-05
"Cdh9",1.30968805667642,2.86443782730817e-09,7.49349526559322e-07
"Cdr1os",0.696453083841781,3.597376935766e-05,0.00143449171411802
"Cdyl2",0.790049762871686,4.41151037169242e-06,0.000288058145726685
"Celf4",0.805430156002545,0.000227418961363501,0.00590771066928955
"Celf5",0.765430687446315,7.84509129584422e-05,0.00262303712624814
"Cers6",1.48327413042378,5.12652608614035e-08,8.02908421096429e-06
"Chodl",3.72033109070941,8.76935063156773e-05,0.00285549103855657
"Chsy3",0.721822317072439,2.22116021250488e-05,0.000992062664519533
"Cit",1.41532154148328,1.36880790050552e-13,1.30343363517738e-10
"Clvs1",0.909506551476203,9.45302130748845e-05,0.00302225792413913
"Cntn3",1.07896532334691,7.66832797165676e-05,0.00257842698621052
"Cntnap2",0.730390195710583,8.5805373495462e-08,1.22316330624729e-05
