"","avg_logFC","p_val","p_val_adj"
"0610012G03Rik",-0.80384393602038,8.63668343023762e-05,0.00307352398616151
"1700001O22Rik",-4.81411598688309,0.000142177628047176,0.00438483434196793
"1700003D09Rik",-1.15459088813589,1.00741632872217e-07,1.5331336523668e-05
"1700047M11Rik",-1.37622947579654,0.000267840373581011,0.00706498971900069
"1700099I09Rik",-4.8789544049174,0.000175693946195672,0.005125586637916
"2310067P03Rik",-4.66715883001963,0.000359339875197137,0.0088695326839723
"2610044O15Rik8",-0.618213918200575,8.53574666343809e-05,0.00305352057622489
"4930488L21Rik",-1.07990455906066,1.13510740517446e-10,6.16389118905305e-08
"4930578G10Rik",-2.82818846081154,2.0632039575789e-07,2.84948740800188e-05
"4930593A02Rik",-1.80926110093763,0.000141722838960649,0.00438483434196793
"9530097N15Rik",-1.46229512599861,0.000249889538673753,0.00675089100264985
"9630001P10Rik",-2.44307719814467,5.49097235996926e-06,0.000367495245369035
"9630013D21Rik",-2.88777468442816,1.11971599707201e-06,0.00010635334002247
"A330076C08Rik",-2.06561181175727,9.44754982758316e-05,0.00326671936368226
"Abca5",-1.49318232854024,1.41958139676357e-06,0.000127982829955876
"Abca6",-2.31907946957489,2.08019101577532e-05,0.00102902699668571
"Abca8b",-1.22418052647696,0.000250986905389007,0.00676080059803782
"Abcc1",-0.806613924356687,4.19420046082334e-05,0.00177366427629119
"Abracl",-2.00758469843208,8.14401601499394e-05,0.00294825719160985
"Acvr1c",-2.97123764115222,1.30921650649011e-05,0.000727467674176004
"Acvrl1",-7.16185542432417,1.7146582187898e-05,0.000899254511888597
"Adamts16",-2.84820353965699,0.000139619083048059,0.00436013689507733
"Adamts5",-2.33597758182863,6.70112354209676e-08,1.13553152334268e-05
"Adamts6",-0.915337764149999,0.000169726472121288,0.00500136283441989
"Adamtsl3",-2.43049048265552,4.27502348495632e-05,0.00179198484431687
"Adamtsl5",-1.17362980366782,4.83695189340844e-07,5.66516135241215e-05
"Adipor2",-1.17049950834632,8.11162473209585e-07,8.50048463701606e-05
"Adora2a",-1.62822588393231,2.33240387957141e-07,3.13079358958426e-05
"Adra1a",-0.641319227302708,0.000232661304734734,0.0064043508686947
"Adra2c",-1.66199956408349,0.000124691369153287,0.00401630641131104
"Adrb1",-0.913642081324104,5.14789528142354e-07,5.94196434584795e-05
"AI593442",-2.29904008096388,1.24214790589351e-06,0.000115481089165423
"AI987944",-0.867567589730568,0.000121282034957872,0.00393721693104408
"Akt2",-1.30929818701017,5.18770412234009e-06,0.000354142327414491
"Aldh1a1",-2.66616344901746,1.61027030040939e-16,4.2749098097424e-13
"Alpk1",-0.857475173350365,3.51375432115657e-10,1.55470614806285e-07
"Amer2",-0.61510963124787,0.000179369273941255,0.0052200609771966
"Ankrd29",-1.4999858962192,2.20490962267881e-08,4.62121979076007e-06
"Ankrd33b",-2.31806620332425,2.46330253848044e-06,0.000197502307221185
"Ankrd35",-1.06999234498791,0.000232956803397234,0.00640510575784824
"Ankrd6",-0.745518230629008,0.000367853802544921,0.00899603982006736
"Ano5",-2.34414983639774,4.57013544487439e-07,5.45971230921919e-05
"Aox1",-0.593633139488181,4.64170344516204e-05,0.001905570797513
"Apc2",-0.673853629991563,6.06491726937488e-05,0.00232281833381027
"Apln",-1.74196802553927,7.37151947647394e-05,0.00272643521441783
"Apobec1",-2.10401202505378,4.51146312896395e-06,0.00031703643688334
"Apod",-1.31290857847877,4.21920549637368e-06,0.000300028205133501
"Arhgef17",-0.783197745358099,0.000266934807077435,0.00706498971900069
"Arpp19",-1.08116915234656,1.43498598239528e-05,0.000773953049150572
"Ass1",-1.9460268917628,2.02280694581818e-07,2.80993757886243e-05
"Atf5",-1.45024140948506,1.33868957925025e-06,0.000122081336324527
"Atp5j2",-0.781124103195425,2.9573277277751e-05,0.0013306956449372
"Atp6ap1l",-2.05690561275897,1.37219100999161e-05,0.000748533328806612
"B3gnt2",-2.00451086469166,5.7762158520011e-05,0.00223680916291511
"Banf1",-1.15964107092047,0.000203243416238223,0.00573328800965745
"Baz1a",-1.1765839157345,3.33341246047182e-05,0.00146275922032199
"BC055402",-2.33126303024595,5.219075381761e-08,9.59225908433966e-06
"Bcar3",-0.696430166753289,8.49409824832889e-06,0.000519052402678573
"Bhlhe41",-0.806689459939382,0.000234066506567202,0.00642394820394991
"Bicc1",-0.681100664841845,0.000114059107582968,0.00375891621721358
"Bmp6",-1.23824628157729,2.63643622523493e-06,0.00020721174582085
"Brms1l",-0.626500703289501,2.96291835728702e-05,0.0013306956449372
"C230037L18Rik",-0.763065443513971,3.73547490489269e-05,0.00160524643709714
"C730002L08Rik",-2.02964685179433,9.3362980877907e-07,9.42668792297458e-05
"Cacna1i",-1.56868370804873,8.20830227777889e-05,0.00296647331551631
"Cacng4",-1.31992258139686,5.95948863919914e-08,1.05474120041767e-05
"Camk2n1",-1.07725640701876,4.52024368649151e-09,1.28574026668264e-06
"Car8",-1.12931996757568,0.000270892590260948,0.00712039236425175
"Cbr3",-0.765383150073966,0.000386309993550966,0.0093327650919244
"Ccdc122",-0.670779863323895,0.000247848290574549,0.0067141034089543
"Ccdc18",-0.864216189416506,1.80122434839697e-06,0.000152072980057416
"Ccdc28b",-0.713964909375618,0.000337808371187896,0.00842511003423007
"Ccdc80",-1.17478312648405,1.92073592157377e-05,0.00096936280891661
"Ccnjl",-1.86453042254207,1.11041443245986e-06,0.00010635334002247
"Cd44",-1.48475050420791,5.40465597299117e-06,0.000363494929018747
"Cd59a",-2.97138313149169,0.000171422838311259,0.00502552868192751
"Cdh19",-0.744287491005709,0.000200090577964013,0.00567113188528371
"Cdk16",-0.670416330028398,6.21705457605666e-05,0.0023691241624517
"Cdon",-2.95927165620155,0.000357014644786566,0.0088395346195704
"Cebpg",-0.801888897692618,1.43018522572381e-06,0.000127982829955876
"Cep128",-1.39703903852675,1.14111919218713e-07,1.70404755368294e-05
"Cerkl",-2.31438105736774,0.000208928849602516,0.00585908099008558
"Ces5a",-1.62963978451229,1.75977660558563e-08,3.72091525993428e-06
"Cfap74",-0.595856308380558,0.000377084294959976,0.00916548836162636
"Chchd10",-1.44898177734465,9.10591064077139e-05,0.00317722562272802
"Chst2",-1.0096103404789,5.26305855513133e-06,0.000358262843469381
"Cldn11",-1.21835106856719,9.97081683473816e-05,0.00339846970944934
"Cntfr",-0.767618412798193,4.92844494916669e-07,5.74416269124096e-05
"Coch",-1.49906679723319,0.000240538266794933,0.00657556661371858
"Col11a2",-1.18380895063765,3.31660834622004e-07,4.17072227453871e-05
"Col5a2",-0.849983667822263,0.000137548727404361,0.00431859624687568
"Colgalt2",-1.17323650307377,0.000283372378527921,0.00737539895443094
"Cox19",-0.740034828352163,9.4000208884175e-06,0.000560086531388926
"Cox4i2",-2.33918944490421,8.64440680827244e-05,0.00307352398616151
"Cox5b",-0.895430629592321,0.000324604845761214,0.008155398085986
"Cplx1",-1.69797275823547,8.37024008673913e-06,0.000512795247160149
