"","avg_logFC","p_val","p_val_adj"
"1700024B18Rik",1.23408285390318,4.76458982945416e-05,0.0019426679999172
"1700027H10Rik",0.95435267459062,4.93895320528932e-06,0.000341058985358317
"1700030L22Rik",1.45748643558431,2.68552146568055e-07,3.5062931354921e-05
"1700042O10Rik",2.95690090057335,8.99837863920763e-06,0.000540196635242683
"1700084C06Rik",0.652516977938679,0.000139478802193791,0.00436013689507733
"1700087M22Rik",0.988297954024661,8.82792879113774e-06,0.000531298999009204
"1700125H03Rik",1.88127321858442,1.59169732714681e-05,0.0008488933981589
"2010001K21Rik",1.91853292924507,1.912837228051e-06,0.000159245365469765
"2010300C02Rik",0.879023714959861,7.2369020840817e-05,0.00269752420428961
"2310022B05Rik",1.33235758474792,3.1648198780752e-06,0.000238539562608362
"2610035D17Rik",0.634659678486328,2.11417863932789e-06,0.000173587870204335
"2900052N01Rik",0.997406919168479,8.61669313258636e-09,2.10080254098863e-06
"4833422C13Rik",0.80856055329921,0.00030398768083126,0.00772919286645488
"4930405J17Rik",3.45789102149639,1.78497690451367e-05,0.000927140286511848
"4930430A15Rik",3.39415654410464,0.000275380851487422,0.00720665354281377
"4930511M06Rik",1.2254696230943,0.000106490178830241,0.00354863297460383
"4930517O19Rik",0.965752568735164,0.0003840886689615,0.00931015932694347
"4930555F03Rik",2.34086888515003,1.36538875941637e-05,0.000748533328806612
"4933406B15Rik",1.27950767615494,0.000158019166489702,0.00473126810142662
"4933413L06Rik",3.87057194683947,8.06689175888176e-12,6.26224116896239e-09
"5330417C22Rik",1.42388970876055,1.37548553614395e-07,1.9679326895262e-05
"5330434G04Rik",0.891057805774598,2.02362158787689e-05,0.0010072998041488
"5730522E02Rik",0.676212426129356,0.000369859717114078,0.00903584685174505
"6030442K20Rik",0.599451020157835,0.000236324025954366,0.00647533251390788
"6330576A10Rik",1.55365838404801,1.19216959695069e-08,2.6872177528248e-06
"6430628N08Rik",5.06796604054521,7.75851569598556e-11,4.63435538810458e-08
"6530403H02Rik",1.13431805598882,2.71150678565792e-08,5.44420433863232e-06
"6530411M01Rik",1.02610132214837,5.62853550596018e-05,0.0021902703394773
"9530052E02Rik",1.4473339432763,6.54837448343156e-06,0.000428658387760631
"A230006K03Rik",1.02835400153273,3.16388010348286e-05,0.00141034677821858
"A2ml1",2.78873368557561,0.000154286483377698,0.00464863423372426
"A330087D11Rik",2.52964617768642,7.93807915239364e-05,0.00288682686739941
"A830018L16Rik",1.30605385044913,6.38519074776859e-05,0.00242932105949737
"Abtb2",0.606603287747091,4.51287189254726e-05,0.00186873566947369
"AC160336.1",1.79892213278923,9.68689033602909e-06,0.00057147869333023
"Acta2",1.37303609477165,0.000304045695739159,0.00772919286645488
"Actn2",1.00694062491268,6.5021103972053e-07,7.12637264772598e-05
"Adamts3",0.945386891095145,3.75246898437141e-06,0.000272515931439471
"Add2",1.10502650194128,3.21251049128632e-05,0.00142405404764943
"Adgrg1",0.985978821773302,2.3182713597118e-05,0.00111899914338574
"Aif1l",1.17775193288607,9.10894216535676e-05,0.00317722562272802
"Alox5",1.95491347617052,0.00013405101530594,0.00423319141818207
"Amph",0.676962360662477,1.29562513035866e-05,0.000723279701861203
"Angptl1",1.02446371025966,0.000375121898772516,0.00913637872311082
"Angptl2",1.07516044619861,0.00026502886935537,0.00703592752834207
"Angptl4",1.53796286502332,0.000133675346417816,0.00423319141818207
"Ankfn1",1.97686104364868,6.8225141302575e-06,0.000437866689077388
"Ano4",1.66960333997953,5.75774929564191e-08,1.03436017985543e-05
"Ano6",0.848155725555133,1.97982370256239e-05,0.00099169659801516
"Apba3",1.04298595331178,6.47598434188774e-05,0.00245604276001149
"Apoc1",1.93760195146274,0.000303354436055328,0.00772919286645488
"Arhgap10",0.890973791057603,1.36958120767691e-05,0.000748533328806612
"Arhgef16",2.27364086417214,4.97499700682661e-05,0.00199442287725014
"Astn2",1.03122455735311,2.86125821885512e-06,0.000218415471639315
"Atp13a4",0.698672335572338,1.30286528674227e-05,0.000725626114128978
"Atp13a5",0.623801567477705,7.51525364436469e-05,0.00276674815600625
"Atp2b4",1.07209941936668,7.91989239417477e-05,0.00288682686739941
"Atp7b",1.43278464007841,7.56873764772517e-06,0.000475894338466046
"Atp8a2",1.02592050567183,4.92862354441791e-05,0.00198918247207394
"AW551984",4.49035212076633,1.1013465167777e-08,2.55480313838539e-06
"B230209E15Rik",1.14334973821434,7.208253297648e-08,1.21286476085003e-05
"B430010I23Rik",1.0629485913469,4.82734165771158e-05,0.00196155908550515
"B830012L14Rik",1.56456186557419,5.46826372081538e-08,9.97352863217113e-06
"Baiap3",2.83771688712097,5.29634817530904e-07,6.08392533426245e-05
"BB557941",1.59270358397296,4.22496603759718e-05,0.00178037237277442
"BC051077",2.48569796868966,1.04806186062757e-07,1.57492717207387e-05
"Bcl11a",1.03100771718679,4.33056987110921e-05,0.00181059894234818
"Bcl2",0.662702272518057,1.62403847864745e-08,3.46456708663602e-06
"Btbd11",1.06614322041173,4.79478968475409e-05,0.00195165093590851
"C030005K06Rik",1.7452445208826,3.16685835130773e-19,1.89164366469489e-15
"C530008M17Rik",0.998280910401167,1.81917354489308e-10,9.05531531419381e-08
"Cables1",0.767128277415502,1.02523060238904e-05,0.000596265327188586
"Cacna1b",1.30950143912806,2.55366182748036e-07,3.38970233577713e-05
"Cacna1g",2.63749804073618,1.66838510006037e-06,0.00014443016375269
"Cacng3",0.988782775846827,8.6212075704261e-05,0.00307352398616151
"Cartpt",3.48092528457366,6.36136222748212e-08,1.08851275580902e-05
"Ccdc24",1.42478746714919,1.14843488326372e-08,2.63841871786731e-06
"Ccdc60",1.36084079675197,7.03993444725337e-06,0.000448244589975122
"Cd82",1.58267889130706,2.27850673375984e-05,0.0011042669653088
"Cdh13",0.963059369712358,2.91363331605593e-05,0.0013234874680708
"Cdh18",1.17388743509319,5.36797119034727e-07,6.13669548569221e-05
"Cdh9",1.29426304586804,1.55504101738234e-08,3.37769045711965e-06
"Cdr1os",0.679731727950672,5.31955537996109e-05,0.00209550903760881
"Cdyl2",0.740635778195406,2.66109468596583e-05,0.00124140786553456
"Celf4",0.807040321128508,0.000283306633391831,0.00737539895443094
"Celf5",0.74703903778669,0.000181796540808879,0.00525867403092803
"Cers6",1.4835782880732,9.46954418349655e-08,1.47879620376656e-05
"Chodl",4.06976763915673,3.24197428210579e-05,0.00142916036019103
"Chsy3",0.704669850951254,2.52772202692349e-05,0.00118653953613523
"Cit",1.34463145561579,1.06361085180235e-11,7.70086487336775e-09
"Clvs1",0.910185323411672,0.000138839798578179,0.00434770551432298
"Cntn3",1.08766867372722,9.65165201942185e-05,0.00331808520431721
"Cntnap2",0.74008368290044,7.34731948385337e-08,1.21909378074798e-05
"Cntnap5a",0.978861553066244,0.000243298873706819,0.00662088837070276
"Cntnap5b",1.26732032475699,2.76332890163718e-06,0.000214364342359796
"Cobl",1.10782846739462,3.84550086674689e-05,0.00164660487830078
"Coq8b",0.956965858476302,7.26353802132797e-07,7.82277947717606e-05
"Cped1",1.30168599145231,5.37475619544114e-05,0.00211215542397492
"Cpsf4l",0.854154850208106,5.1368561511582e-05,0.00204899672820739
"Crh",5.55494090439042,3.99830509356254e-17,1.19414379500612e-13
"Crocc2",4.84645956629438,9.16799652474011e-06,0.000548999852044149
"Csgalnact1",0.725316522775741,4.43718246226289e-07,5.35442427125491e-05
"Csmd1",1.15747911877363,8.95814644489499e-08,1.41746352985348e-05
"Csmd2",1.2088479266429,1.50780130055304e-17,5.14655663915912e-14
"Csmd2os",1.61055189321673,3.72351072422386e-06,0.000271237322359392
"Csmd3",0.713643553575737,1.40931698186083e-07,2.0043339671191e-05
"Csrnp3",0.878367054734435,4.97062772920236e-05,0.00199442287725014
"Cxcl17",1.11050208718654,3.43651063055568e-05,0.00149695192045738
"D030068K23Rik",2.11214258873783,3.8863429204351e-10,1.600972265482e-07
"D430041D05Rik",0.827194571113204,0.000140263878218741,0.00436013689507733
"Dap",1.39896548368062,2.5213400997849e-05,0.00118587360244411
"Dapk1",0.73602927725077,4.82974928974603e-06,0.000335456976104366
"Ddi1",2.02984682100904,4.71964060944226e-07,5.58249371690118e-05
"Dgkg",1.3202412600414,1.06481564736161e-09,3.63452003748726e-07
"Dhrs3",0.962947866485742,6.75495908687137e-05,0.00254970359340628
"Disc1",1.11206480744477,1.28882412355482e-10,6.69432060523811e-08
"Disp2",1.62247216537823,1.39012281771658e-05,0.000754868283720503
"Dlgap3",0.887575992963615,2.8892569721059e-05,0.00132036366172592
"Dnajc6",1.48211614483616,2.93653170884605e-07,3.73205064465205e-05
"Dock10",1.01605021247202,1.63169701209522e-06,0.00014228517047442
"Dok6",0.652479830210947,8.5353811673329e-05,0.00305352057622489
"Dpp6",0.773506695806237,2.85554033423035e-06,0.000218415471639315
"Dscam",1.1303022585019,0.000109704285610831,0.0036506469305008
"Dscaml1",1.17804208563254,0.000158659227270925,0.00473855614648026
"Dync1i1",1.32060841846069,9.50074623209143e-07,9.50995156349384e-05
"Ece1",0.901212104227915,2.01244754106473e-09,6.16453962803327e-07
"Edil3",0.957340231669982,5.21397977504923e-05,0.00207283891456325
"Egfros",0.949204123025798,0.000191797417899931,0.00548816252201564
"Epb41l1",0.954883128337037,3.86701440242002e-06,0.000279137689175292
"Epb41l3",1.11966625918965,6.85283622663194e-06,0.000437866689077388
"Epb41l4b",1.10842302019894,0.000285442645750354,0.00742119818815365
"Erbb4",1.85493734186025,1.04300973851679e-09,3.6116857510698e-07
"Etl4",0.880632312264359,8.9750702084494e-05,0.00314859818230817
"F5",2.46839828183237,9.92208041913662e-05,0.00338890681634957
"Fabp7",1.80979042971651,1.3881409002617e-20,1.65834252649764e-16
"Fam135b",1.05319973972986,5.38397658606834e-06,0.000363388001612799
"Fam155a",0.629010090598837,0.000310242253133848,0.00785497178378424
"Fam189a1",1.23555491762423,6.92299085731575e-05,0.00260489796147788
"Fam227b",1.5332237838315,7.28463001758566e-05,0.00270266560574804
"Fbp1",3.43065408057635,0.000199473655491988,0.00566036110530887
"Fbxo47",1.64572704927306,0.000142015686171138,0.00438483434196793
"Fgf14",0.812778769277247,3.8183661978625e-05,0.00163792142846551
"Fnbp1l",0.730429020832577,2.79855270579443e-07,3.61436863781331e-05
"Fndc9",1.20117535435673,1.82695104935307e-06,0.000153701906416172
"Folh1",1.28175715170629,3.95664747594335e-08,7.50287128116781e-06
"Foxp2",0.607111687845383,8.98733503676463e-05,0.00314859818230817
"Fras1",1.12253523155541,2.1531409593398e-05,0.00105853903171823
"Frem2",0.64065565777432,8.68685997158787e-05,0.00307945319437907
"Fry",1.42734974294845,4.09783598135031e-06,0.000292267448066875
"Fstl4",1.0044016731773,7.9712616676908e-05,0.00289448867820876
"Ftx",0.638284964509492,0.000144072449062497,0.0044245797242291
"Gabbr2",1.40220419383292,3.71230584898934e-08,7.09584989199219e-06
"Gabrb2",1.0634047893357,1.66794846837766e-05,0.000883642854876885
"Gabrb3",0.594008502784891,2.24550870803231e-05,0.00109270752670094
"Gabrg3",0.911475350272285,1.12171103191991e-06,0.00010635334002247
"Gad2",0.674627844403026,0.000198090817339481,0.0056278048735936
