"","avg_logFC","p_val","p_val_adj"
"1110051M20Rik",1.34969929264788,1.12775559607005e-05,0.000514872082534043
"1700085D07Rik",2.33072861139544,7.50546194278581e-06,0.000374069095952635
"1700109K24Rik",1.92419414661115,1.52559151656491e-06,9.7324602268753e-05
"1700111E14Rik",1.60940430072014,6.77462533850793e-06,0.00034409630992171
"1700126G02Rik",9.12568759586044,0.000300918696235157,0.00709728422449161
"2010300C02Rik",2.17443539272285,1.5011544721533e-07,1.32517042204145e-05
"2010315B03Rik",9.06236052773932,0.000391748877257802,0.00877510148936179
"2210408F21Rik",1.71941924509578,2.47114270402918e-05,0.000975530477037789
"2210408I21Rik",1.2221600036626,6.88769822803649e-05,0.00225718362615503
"2610020C07Rik",1.74994059592022,4.17695508453617e-05,0.00149588767196645
"2700069I18Rik",2.80307970171349,0.000119253275314759,0.0034655676151072
"2900026A02Rik",9.52874259477124,3.45535673790056e-05,0.0012815891355162
"4930419G24Rik",2.3409641526537,1.50310180784007e-06,9.6146268847481e-05
"4930428E07Rik",3.96715094665962,5.8540882240101e-13,1.66723038789278e-10
"4930503L19Rik",9.26235708232491,0.000148346231981143,0.00410275943084958
"4930512B01Rik",1.94608013578793,0.000346189550200916,0.00796335827832358
"4930532I03Rik",1.48606465637565,0.000301122078663169,0.00709728422449161
"4930545L23Rik",1.57683634773183,1.81608560380627e-05,0.000756062098104257
"4930555F03Rik",2.19695572480037,5.08989941214685e-09,7.07939904865054e-07
"4930587E11Rik",2.66453898321603,2.48863947557266e-13,7.63278489411855e-11
"4933413L06Rik",2.60966240158111,1.08894113032292e-09,1.68069281682034e-07
"4933424G05Rik",3.60608380456883,1.72019795618198e-14,6.7462779845478e-12
"4933424G06Rik",9.21055744758745,0.00019618083214541,0.00506828730822316
"5031425E22Rik",2.0236691142506,3.67693326847828e-07,2.87545121833791e-05
"5330417C22Rik",2.21920180427486,4.59550777823654e-10,7.74213609709526e-08
"5730522E02Rik",1.67130683975507,4.94369594855361e-08,4.94845348021959e-06
"6330403K07Rik",2.25223549849755,2.13486816802345e-05,0.00086857910176233
"6430628N08Rik",10.4436770130372,2.03777474348529e-08,2.37099323124676e-06
"6530403H02Rik",3.54634727179483,1.277084245108e-10,2.60640413551815e-08
"6530409C15Rik",3.29101217328612,1.92030787640073e-06,0.000118096466136593
"9330182L06Rik",1.7841945487429,0.000391706203528939,0.00877510148936179
"9530026P05Rik",9.10360704050222,0.000334272401993583,0.00774133463009922
"9530059O14Rik",1.90568406820555,1.947538723831e-09,2.91193555563807e-07
"9630013A20Rik",3.5587217795225,8.96166303600964e-05,0.00277585920828227
"9630028H03Rik",2.05734403178122,7.28389810731765e-10,1.1773830704146e-07
"A230006K03Rik",1.21052668056651,2.99205964697509e-05,0.00114526468695336
"A430090L17Rik",9.57347619805587,2.72822981771022e-05,0.00106125921835905
"A730081D07Rik",9.42423396649752,6.15172119000118e-05,0.00206456388691808
"A930015D03Rik",1.23757629290539,0.000280089789562733,0.0067221823255342
"Abcd4",2.08713333022261,0.000359278468614843,0.0082248983776774
"Abhd17b",2.40934046117086,0.000154590326442509,0.00423142377515348
"Abl2",2.26324649365915,3.98667004382841e-10,6.90456731479861e-08
"Ablim2",1.99291559404973,4.92543768360117e-08,4.94845348021959e-06
"Abr",1.31411946664747,3.60627365760393e-05,0.00133137167763671
"Acp1",1.14159828736128,9.31208594154492e-05,0.00286709178866897
"Actn2",9.71117231725323,1.07170422677433e-05,0.000493995765262474
"Acvr2a",2.31744561206694,4.45063059877125e-08,4.60919635560193e-06
