"","avg_logFC","p_val","p_val_adj"
"1500009L16Rik",2.28770142029133,1.61514855992299e-21,9.99661590838048e-19
"1700042O10Rik",4.89317940465552,7.83155481109342e-12,1.80160413552543e-09
"1700047F07Rik",3.23182314377482,0.0001259946221355,0.00424802879690316
"1700060O08Rik",3.79533142646529,8.17596822592805e-05,0.00302324742578947
"1700085C21Rik",3.35529693305092,9.97716174918344e-06,0.000526077727525403
"2810032G03Rik",1.32651578048148,0.00011101011564452,0.00382719888087442
"4921504A21Rik",1.32154550480032,5.3686250494908e-06,0.000312208966804281
"4921507P07Rik",0.934111632642519,0.000178691625524929,0.00556650677527707
"4930412B13Rik",3.02950082802298,1.89105368160579e-05,0.000887327445006184
"4930452N14Rik",3.73110618391646,1.91751237773663e-10,3.4140913876208e-08
"4930473D10Rik",4.31613391866851,1.56158132586244e-26,1.39976919192394e-23
"4930528P14Rik",4.41751449591964,7.15796116625425e-05,0.00267343678903418
"4930555F03Rik",5.97208590255165,8.55974171784766e-30,9.67436895458478e-27
"4930581F22Rik",1.25594851077668,0.000101923152438816,0.00359496926410723
"4933407I08Rik",1.65237516779258,2.51382279804678e-06,0.000165017231402086
"4933423P22Rik",1.53176282755101,0.000239812050815468,0.00708399347835011
"4933426B08Rik",1.10216966937264,6.71850743041922e-05,0.00253479826783378
"5031415H12Rik",1.53611725922873,3.26436373263311e-09,4.46616501209462e-07
"5330439A09Rik",1.2531641092241,1.69666709806275e-05,0.000816679406418742
"5430403N17Rik",5.00643390894493,3.18710595262261e-07,2.71635472912868e-05
"5530401A14Rik",1.17420223380178,4.94848249627343e-05,0.00197294175599122
"6330403K07Rik",1.30700164188813,0.000194891187768847,0.00597255682625571
"6330411D24Rik",2.5426769458463,4.77597524015903e-07,3.87973363649794e-05
"9530026P05Rik",6.0572816282146,5.47006960340575e-104,4.73981531135108e-100
"9530052E02Rik",0.96640735718183,8.88760956717914e-06,0.000476357547832622
"A230077H06Rik",1.56152263454442,3.54008615850016e-07,2.96853353839392e-05
"A730049H05Rik",7.435907123203,5.82390591889404e-58,1.89240542952063e-54
"A830012C17Rik",3.46203379908523,1.04959813210454e-06,7.66413018091505e-05
"A830031A19Rik",0.895138283565743,0.000166462211678396,0.00527705511290234
"A930001A20Rik",3.33134791569781,8.47671800378762e-06,0.000457162415992654
"AC150683.1",2.56921499497651,2.98731685280389e-09,4.14657904052564e-07
"AC160336.1",2.14761446709072,5.18213098198604e-09,6.76932135058931e-07
"Acer3",1.14818922377899,7.25491729033592e-09,9.15097765619451e-07
