"","avg_logFC","p_val","p_val_adj"
"1110002J07Rik",-1.97454424879437,0.00106521649378731,0.007136433809029
"1110018N20Rik",-1.05462883972596,0.000188613358801085,0.00168239012972742
"1110038F14Rik",-0.620844301625459,0.00100085831033283,0.00678319312493649
"1300002E11Rik",-1.04935692535689,0.000111988710677079,0.0010848312091502
"1700001O22Rik",-1.53494371054896,1.56077414068537e-05,0.00019863159553766
"1700003D09Rik",-1.93809779834676,2.16472859828516e-11,8.83465130267482e-10
"1700006F04Rik",-2.65424926892982,4.23131980789594e-08,9.63874083322961e-07
"1700007F19Rik",-2.97415054818243,5.43675143449982e-09,1.46781102000148e-07
"1700010K23Rik",-1.75556840764915,0.00140795119487003,0.0089656528162532
"1700019A02Rik",-1.37430305949743,1.50753027459599e-05,0.000192135062972063
"1700034H15Rik",-0.855836948837914,0.00133948201930253,0.00859600912674079
"1700037F03Rik",-0.9882542024859,0.0012957568642317,0.00836900113983957
"1700095A13Rik",-6.22658567507376,7.055036150079e-05,0.000729177859985715
"1700112D23Rik",-0.632662608747821,0.000627227475194425,0.00465550792846606
"1810012K16Rik",-1.92844749961398,0.000314705613968534,0.00261262408154453
"1810026B05Rik",-0.602433231517781,4.39067636544867e-05,0.000487188706901074
"2010300C02Rik",-0.871527137913584,1.39020757692388e-06,2.28582877403737e-05
"2310026I22Rik",-0.883309460849901,2.00024224804676e-05,0.000246549352152386
"2310075C17Rik",-1.10147340547537,9.57095901163626e-06,0.000127557697502975
"2410018L13Rik",-1.17513572688786,1.56609706279596e-08,3.88445360320335e-07
"2510009E07Rik",-1.16647061499523,0.000847962589424847,0.0059355119423011
"2810408I11Rik",-1.34671896089648,0.0010158923849292,0.00687265995496575
"2900042K21Rik",-2.79675793127481,8.40568515314965e-07,1.45363875990513e-05
"2900052L18Rik",-0.719564095552763,0.000122513623401838,0.00116909182011311
"3110039M20Rik",-1.10691796756998,6.47354449230596e-11,2.46201093575497e-09
"4632428C04Rik",-3.70423107161594,5.65971826099976e-08,1.24494825318655e-06
"4833415N18Rik",-2.47144157306252,1.88243725822157e-05,0.00023389639455611
"4833418N02Rik",-1.67153213575719,3.65004968853822e-09,1.01466741447691e-07
"4833438C02Rik",-1.79577018886024,5.29411682340047e-08,1.17238998885802e-06
"4921524J17Rik",-1.17163654342757,5.53484263687205e-05,0.000594293537139101
"4921539H07Rik",-1.7624799108133,3.42737237104568e-05,0.000394824871646097
"4930412C18Rik",-1.12055722881586,4.31950763805718e-05,0.000480510892063995
"4930458D05Rik",-2.14661306990708,4.48903362888982e-09,1.22837560468537e-07
"4930465M20Rik",-4.223559498952,0.000180690610179912,0.00162386403847303
"4930473O22Rik",-2.37474287800408,4.25740692071881e-05,0.000475214259521493
"4930509J09Rik",-1.44900896650175,5.44936206959787e-07,9.81483592521533e-06
"4930522L14Rik",-1.28945687426708,8.45198981300057e-08,1.79592807022479e-06
"4930525C09Rik",-1.85282951037148,6.16625115883848e-06,8.6120193076122e-05
"4930539M17Rik",-4.92712299395825,0.000745128865149694,0.00536451897922037
"4930544I03Rik",-1.54445505256283,2.85579323810137e-05,0.000336363223313537
"4930549C15Rik",-1.78418523438345,0.000265986837920477,0.0022603713085198
"4930557F08Rik",-2.97354459796001,3.42566588577969e-05,0.000394801599361575
"4930593C16Rik",-3.3298854562922,4.04668842035158e-05,0.000454983708341329
"4930598N05Rik",-1.09081079321039,4.0809068015633e-06,5.97273598921496e-05
"4931422A03Rik",-3.52019104764373,9.9167845158888e-31,2.06536713703138e-28
"4933407K13Rik",-0.958418475062356,2.84563146133545e-05,0.000335316842426426
"4933411O13Rik",-1.25460897847256,2.27103778144933e-05,0.000275018797696324
"4933412O06Rik",-0.865881953058936,2.25297839939806e-08,5.44407542882172e-07
"5430427M07Rik",-1.52820392705602,0.000270284407081956,0.00229243807713144
"5730522E02Rik",-0.644707785777666,0.00052934770211259,0.00404635665564771
"6030458C11Rik",-0.654096536878613,0.000701218469408256,0.0051015733502111
"6530402F18Rik",-1.88843541352245,7.89763982518528e-05,0.00080298281399656
"6530403H02Rik",-1.56918272713056,1.16063068253532e-17,9.76194563176018e-16
"6720489N17Rik",-1.60379414869871,1.71232226651486e-07,3.44327669868834e-06
"8030453O22Rik",-1.4230011620333,8.43186946749417e-10,2.6450361433985e-08
"8030462N17Rik",-0.739555833079839,1.35354790008351e-05,0.000173351898457742
"9030624G23Rik",-1.31024096126129,4.98108515397596e-10,1.62175727804761e-08
"9130023H24Rik",-2.97981625314032,0.000853880054115856,0.00596261851519646
"9130230N09Rik",-2.94490287602717,1.17599956322847e-09,3.5870403300825e-08
"9230114K14Rik",-0.837103815876459,0.000305496442232424,0.00254180013857428
"9330188P03Rik",-1.42898606135072,8.15955894786083e-05,0.000826092383911126
"9530059O14Rik",-1.16729095383846,0.000565435421501277,0.00428106068408439
"9630015K15Rik",-2.84904062783588,9.23506951443841e-10,2.87481250531308e-08
"9930014A18Rik",-2.3468620279165,0.00079672246361487,0.00563091594133623
"A230103O09Rik",-2.17824547423797,0.000125569848784103,0.00119175550516905
"A330009N23Rik",-0.987520030609847,0.00160064067707557,0.00996300110242341
"A330015K06Rik",-1.34431819371763,0.00100488630732372,0.00680873392119524
"A330094K24Rik",-4.72851483071032,5.89306329897617e-06,8.265407113401e-05
"A430027H14Rik",-2.17309659565923,4.13908765276365e-06,6.04776938662715e-05
"A430073D23Rik",-1.80443201771243,4.5309586198148e-07,8.33226461816257e-06
"A730056A06Rik",-1.76477158079512,0.00121772354744617,0.00793925498933726
"A730060N03Rik",-1.976990944227,9.99530453513783e-06,0.000132206039118491
"A730085K08Rik",-1.72530832684405,0.000113259327532076,0.00109552203210348
"A730090N16Rik",-1.51249015163416,0.000315754539275758,0.00261884659281746
"A830092H15Rik",-1.15218968557317,0.000369315918418483,0.00298938566660636
"A930002C04Rik",-0.791669035395406,0.00101915012679119,0.00689114600032321
"A930028N01Rik",-1.90921887847629,2.47408316259068e-08,5.9292137308406e-07
"Abat",-0.644519791539655,2.41526822122088e-05,0.000289810099045625
"Abcb4",-0.666414138742766,9.33076564324636e-05,0.000928547409973724
"Abcb9",-1.39348172646039,3.10761462675289e-09,8.82576006874992e-08
"Abcc1",-0.916478681670473,1.03327171232977e-06,1.74710800740707e-05
"Abcc12",-3.29601297596863,3.86590435324451e-05,0.000437280439818286
"Abcc4",-1.33748613951214,4.62906032686249e-08,1.04450387874055e-06
"Abcc6",-2.13606000940654,0.000955636861424065,0.00654431694088995
"Abcc8",-1.24716334547441,9.60194224562798e-12,4.12396347642831e-10
"Abcd2",-2.42268859718453,4.35301269844108e-12,2.00055620372138e-10
"Abhd14a",-1.27506791887048,1.06684399496249e-09,3.2651387566063e-08
"Abhd2",-1.00288525042905,5.48181892869467e-10,1.77597397934328e-08
"Abhd3",-0.720739660404301,0.000117680716118595,0.00113078628794734
"Abhd5",-1.39976817850599,9.77484802840477e-07,1.66349910480803e-05
"Abi1",-0.645280391724732,2.10831261341148e-05,0.000257934955239362
"Abi3bp",-2.00486220741807,0.00115062956290351,0.00760191867817569
"Ablim2",-1.17994628750024,1.13663241173607e-07,2.37291231096085e-06
"Abracl",-0.90897847139075,0.000418246521805331,0.00332192046768024
"AC109619.1",-1.49455258781897,2.25884843328176e-05,0.000274048546399353
"Acaa2",-1.1978042754219,2.49562677170567e-05,0.000297953765892176
"Acap2",-0.937641777555362,2.46939731548558e-08,5.92881284107708e-07
"Acer2",-1.33140053361977,6.4543458969395e-06,8.94743502522379e-05
"Ackr2",-3.6069516440812,2.7531492253718e-06,4.20781257846283e-05
"Actn1",-0.938875189310343,4.54780297351463e-05,0.000501864783982216
"Actn2",-2.33270790719095,1.36150124777767e-08,3.4354342061713e-07
"Actr5",-0.625902040966116,0.000965471359207076,0.00659960911912271
"Acvr1",-1.66997137374394,7.37090114327176e-09,1.94987084477558e-07
"Acvr1c",-4.73033850584367,9.84412624218491e-12,4.21418533193175e-10
"Acvrl1",-6.23573363684214,3.95339042410935e-06,5.82182219469571e-05
"Acy1",-1.58626187230641,3.68433931399312e-08,8.54857933490781e-07
"Acyp1",-1.05383167474603,7.29854525139885e-06,0.000100276662035188
"Adam28",-1.90691070117497,6.95603809319519e-07,1.22346080188759e-05
"Adam7",-1.97390341601777,1.23487551176206e-05,0.000160106735077371
"Adamdec1",-2.12261906322774,0.000104222674692015,0.0010202835805123
"Adamts18",-0.715420850439936,0.000151749019119698,0.00140317045797714
"Adamts2",-1.49858575104986,6.04732973430585e-09,1.61932680497606e-07
"Adcy5",-2.08596889344375,1.86485130513587e-14,1.14607559600411e-12
"Adcy9",-0.657117485572626,8.15906254242084e-05,0.000826092383911126
"Add1",-0.653996400725437,0.00010666215509039,0.00104208051894342
"Adgrb1",-0.924445240282041,2.7492894231849e-05,0.000325278868544717
"Adgrd1",-1.53915761054988,1.28588829443419e-09,3.88758993347257e-08
"Ado",-1.83529590306357,0.000200503811680479,0.00177158957108388
"Adora1",-1.2540878701124,3.77762143300027e-07,7.10184350093933e-06
"Adora2a",-2.31448313031161,2.69010089475676e-09,7.74902609003368e-08
"Adra2c",-2.43510983078881,3.58072849907295e-09,9.98570427977389e-08
"Adrb1",-0.739988288854506,5.7946510448201e-05,0.00061739030742253
"Adss",-0.673671716969397,0.00048709595290766,0.00376917850432486
"Aff1",-2.0694257745309,1.9385335732509e-12,9.26611985960842e-11
"Aff3",-1.33734645790248,5.17985204928771e-05,0.000560072836742514
"Agbl1",-1.01721131458319,0.00013360316767536,0.00125753741970473
"Ago4",-2.32336075768739,1.88939251476164e-05,0.000234427604597517
"Ahnak",-2.37807595179993,3.32712827336614e-07,6.34985455633995e-06
"Ahr",-0.685687721505938,0.000883392176941958,0.00613279828235737
"AI197445",-3.07315355993436,0.00013569658447905,0.00127495516287119
"AI593442",-2.55779306538904,5.09899077429965e-07,9.2628605900592e-06
"Aimp2",-1.16660850861447,0.000947826624363297,0.00649991335708804
"Akap5",-0.896922143308884,5.70800132078217e-06,8.04022386795307e-05
"Akirin1",-0.596362564311353,0.000237604973598387,0.00205376472897525
"Akr1e1",-0.831264999320133,2.36881372193017e-06,3.6935478128872e-05
"Akt2",-1.22130056170324,0.000123093017457355,0.00117328970794302
"Alcam",-1.56092406730515,2.81093299549125e-15,1.88174754254289e-13
"Aldh18a1",-0.695528010700659,0.00012913132302661,0.00121982151866966
"Alg1",-0.65237755857409,0.000199056707154887,0.00176117535709998
"Alkbh2",-1.52088660282572,1.56151564936828e-06,2.53729372574132e-05
"Anapc13",-0.884079746464948,0.000597672780875128,0.00447989977598546
"Angptl6",-1.47430416659672,5.79867769229224e-05,0.000617568587666936
"Ankrd13a",-0.922266512771521,0.000635973555352968,0.00470516437540811
"Ankrd33b",-1.58499904964014,5.48301893566843e-05,0.000589694192253324
"Ankrd35",-1.3930995976721,4.36120318796223e-05,0.00048432794777192
"Ano3",-2.59457196952576,3.89354067661323e-23,5.03321647466425e-21
"Ano6",-0.796116237740702,4.23332296262566e-07,7.85796707289706e-06
