"","avg_logFC","p_val","p_val_adj"
"1110046J04Rik",0.627871631070993,0.000723884287044506,0.00523743354304437
"1500009L16Rik",1.84343613003204,3.55000714798325e-27,6.08884232531873e-25
"1700001D01Rik",2.81512168763679,1.74739250228286e-11,7.18731568101988e-10
"1700001L19Rik",2.27455551031493,0.000154319396235073,0.00142113215999096
"1700003G18Rik",1.70059626546424,7.07015098050236e-05,0.000730386489640358
"1700007K13Rik",2.21927808781793,0.000195699769189264,0.00173615731678995
"1700008K24Rik",2.59334587071171,0.000768166519857371,0.00548741265509281
"1700010I14Rik",2.81663624509286,4.13261922586201e-08,9.45494278335404e-07
"1700011B04Rik",5.96650702256713,9.4457487149535e-13,4.72143500529162e-11
"1700012B09Rik",2.44250715510512,0.00088309399324551,0.00613235050826903
"1700016K05Rik",2.57916029254107,3.21121870267241e-08,7.54420780622465e-07
"1700017B05Rik",1.37076568069895,0.00117020296595491,0.00769635745177663
"1700019C18Rik",5.12422005226251,4.22065853595434e-06,6.1566715564488e-05
"1700026F02Rik",1.55896470836571,2.06682311295633e-09,6.10096424411699e-08
"1700029J07Rik",0.656443719217611,0.000124706765416617,0.00118484972413572
"1700030C12Rik",2.25878451252287,0.000275158564007644,0.00232700967988675
"1700030L22Rik",3.65198933567362,5.26626163326125e-09,1.42618408441735e-07
"1700034J05Rik",3.04100186709077,1.19210062743342e-06,1.99128610217108e-05
"1700041B01Rik",1.31575266718235,0.000962886023473925,0.00658365164877612
"1700042O10Rik",5.59741735254274,6.73782187352946e-15,4.37658221794951e-13
"1700047F07Rik",2.09509921622818,7.58390763187473e-05,0.000776499820818013
"1700047G03Rik",2.7624983911188,0.000111346312855143,0.00108031660999661
"1700052H01Rik",3.86113074693899,6.01604020920044e-07,1.07469657705812e-05
"1700060O08Rik",3.1199597340294,8.72966661116888e-06,0.000117298469641727
"1700080N15Rik",1.14031307276165,0.000238711421276896,0.00206129158181912
"1700085C21Rik",2.36554037945277,4.40849704442667e-06,6.40929525982519e-05
"1700087M22Rik",0.843795964527578,0.00147283732028515,0.00929538166400263
"1700088E04Rik",0.777709026204232,3.70628571944426e-05,0.000422136935111355
"1700095J03Rik",3.14415661023823,2.15814575969951e-05,0.000263782305663878
"1700096J18Rik",2.48441035994947,6.90182372540345e-12,3.06459658548286e-10
"1700105P06Rik",1.13389816637708,5.94847815649254e-05,0.000632495801388482
"1700112J16Rik",1.11981440184946,0.000425218214149733,0.00337015293739574
"1700122H20Rik",2.47637415465934,6.46948219760495e-05,0.000680176890342745
"1700125H20Rik",1.31449484661227,0.000746293138007329,0.00537142746231166
"1810007D17Rik",3.68421892635823,2.69305712963218e-07,5.25046101008972e-06
"2010320O07Rik",1.35376929703833,0.000331487330414401,0.00272436283267607
"2210408I21Rik",0.935810376760392,3.83867717926686e-10,1.2735090586387e-08
"2310002D06Rik",1.54909051237638,2.76538621369626e-09,7.9224088449582e-08
"2310002F09Rik",1.53536833913023,0.00055143599236044,0.00418835985861727
"2310040G24Rik",1.86195155223601,0.000259680854524807,0.00221683311139882
"2410004P03Rik",2.16550937922131,0.000456504023928787,0.00356641220480477
"2600006K01Rik",2.3341395744386,0.000858670415123553,0.00598695153127558
"2610042L04Rik",3.10653675510462,0.00153701676218394,0.00965055044600334
"2700054A10Rik",0.881192110235759,8.72001458175069e-05,0.000874400545106234
"2700069I18Rik",2.37549915719509,0.000424720168624377,0.00336780635224878
"2700081O15Rik",1.15014518113696,5.19621980709405e-05,0.000561611203368048
"3300002A11Rik",1.52017975178999,0.0011674084416958,0.00768390731556226
"4732419C18Rik",2.43405478092627,3.83826044944239e-05,0.000434715713052513
"4732463B04Rik",1.37172508155639,3.02530139205335e-09,8.60129568041864e-08
"4833422M21Rik",1.44150173723655,0.000966426582901028,0.00660269887750293
"4921504A21Rik",1.84004174547309,2.08747413239736e-18,1.84442748088793e-16
"4921511C10Rik",1.81144346647881,7.8533725115993e-12,3.45206367586916e-10
"4930405A10Rik",1.80402942855002,0.000464532332071882,0.00361943511230117
"4930405L22Rik",2.59785610425581,7.64325769970237e-05,0.000780748807145152
"4930408O17Rik",1.50733135950574,0.00104128283343699,0.00700829548988293
"4930412B13Rik",2.89935121064381,3.1467125349515e-09,8.90787813831687e-08
"4930412F09Rik",2.63549217712278,0.000548592717326271,0.00417038530940788
"4930415O20Rik",3.50011659338446,2.09574328830313e-20,2.22657875998586e-18
"4930432K21Rik",1.45895441426193,4.9362588993402e-05,0.000538392793169101
"4930444A19Rik",3.15108583853603,0.000215070862052814,0.00188192382860618
"4930447C04Rik",0.791464922472866,3.02439207979031e-06,4.57705288107597e-05
"4930452N14Rik",2.17533161085727,6.92913782412523e-06,9.54010675659466e-05
"4930458B22Rik",7.06101845573607,1.11838204719369e-25,1.70631288851493e-23
"4930459L07Rik",2.73263675307813,1.86208775802592e-05,0.000231806958947421
"4930463O16Rik",2.83847324686044,0.00040115176886414,0.00320945875565023
"4930465K09Rik",5.15510843095928,3.66992605841447e-15,2.43197473800284e-13
"4930473D10Rik",5.40662409980891,7.12766473345893e-55,3.97966336032828e-52
"4930474H06Rik",2.76289548760502,0.000127101055414553,0.00120449204731578
"4930477N07Rik",2.12030241128945,0.000851609149048539,0.00595468353033087
"4930480K15Rik",1.24025336902581,4.28989330551209e-05,0.000478230161950927
"4930483O08Rik",2.35220190566629,0.000782718886755269,0.00554988085010315
"4930505G20Rik",3.61333500446798,1.15386461490279e-20,1.24097193542127e-18
"4930509E16Rik",1.51127351476311,0.000577993796421412,0.00435728618376635
"4930512J16Rik",3.49192852956745,0.00128646660144966,0.00831923522800444
"4930517E11Rik",1.91212264436162,4.22543182774568e-06,6.16021011242789e-05
"4930519H02Rik",3.27285260415024,0.000582426423571532,0.00438319186811785
"4930524B15Rik",1.94045463049085,5.75933261093684e-05,0.000614833074894035
"4930524O08Rik",3.1430940516727,0.000315955258546566,0.00261968337907709
"4930527B05Rik",1.53315739988592,2.32185448722506e-07,4.57506720312139e-06
"4930528P14Rik",8.1214968455752,8.43174055806301e-66,6.14627043679693e-63
"4930532I03Rik",1.61446663761327,1.48019891535039e-07,3.02283112347277e-06
"4930533B01Rik",1.72685300354342,0.000413190479426036,0.00328673675692575
"4930540M03Rik",3.11699134685505,4.47878165716657e-07,8.24787285946422e-06
"4930544F09Rik",2.83523822116291,2.00639419201792e-05,0.000247075534429537
"4930545H06Rik",3.48846395580294,0.000921204090744381,0.00634994424725875
"4930547E08Rik",2.49211339772169,8.45531295568807e-06,0.000114255572905853
"4930555F03Rik",3.93662436990491,2.13068124807033e-12,1.01660613294294e-10
"4930568G15Rik",1.00079883977923,0.000851290047972897,0.00595403876303432
"4930572G02Rik",1.67627823511574,6.70955574930937e-05,0.000700645292373165
"4930572O13Rik",1.82222325667018,2.25329100573047e-06,3.53865126106397e-05
"4930581F22Rik",1.12354989303131,9.13368581565723e-05,0.00091100791780493
"4930583P06Rik",1.88142869904668,7.31728813397935e-07,1.27928231320377e-05
"4930588J15Rik",1.77540575066199,0.000742803176146255,0.0053507112128548
"4930594M22Rik",1.98752201420076,4.83576356007015e-22,5.74208630512946e-20
"4930594M22Rik.1",1.73022215127729,0.000987946269577947,0.00671099500732825
"4930595D18Rik",1.15983594658578,0.000675890829679523,0.00495577735469406
"4930597A21Rik",2.18917072509664,5.51143487006524e-05,0.000592264839722572
"4931403E22Rik",0.807056179766242,0.000503744441379329,0.00386528117856034
"4931419H13Rik",5.09306237551496,1.62107980366916e-07,3.28750975331423e-06
"4932413F04Rik",7.32469694461463,5.11392549150462e-29,9.79559363124556e-27
"4932441J04Rik",1.12639042119308,4.80553438755173e-06,6.88356077500723e-05
"4933403O08Rik",4.91063830117728,9.53217138530474e-09,2.46933111049523e-07
"4933406B15Rik",1.96394612607168,3.76403483595548e-09,1.04524658375813e-07
"4933406F09Rik",3.08834522439491,1.15212327625007e-05,0.000150642845118855
"4933424L21Rik",1.95804365425754,6.59848494255548e-07,1.16682912306294e-05
"4933426B08Rik",0.826963497957595,6.4930002428417e-05,0.000682102931836076
"4933426K07Rik",1.79947196580795,3.27329109999567e-06,4.90283704600949e-05
"4933428C19Rik",4.14577583484601,1.4905849343818e-11,6.1697050233513e-10
"4933432K03Rik",2.61309970228396,1.70585918717049e-08,4.21120948163011e-07
"5031410I06Rik",4.02380327752589,0.000261814565576171,0.00223069410060061
"5031415H12Rik",1.85730637484159,4.32885729145897e-15,2.84706448727986e-13
"5033403H07Rik",3.67307188976662,3.10911409112844e-14,1.87993944652978e-12
"5330413P13Rik",3.06227535526518,0.000989664839104176,0.00671682820013667
