"","avg_logFC","p_val","p_val_adj"
"0610043K17Rik",0.779201812600531,0.000249538074724119,0.00256543965806172
"1110015O18Rik",2.392426593298,7.73782226777149e-05,0.000947863468296727
"1500009L16Rik",1.86753530715198,4.08631162532496e-16,4.95000930976865e-14
"1700010I14Rik",3.79465769928104,1.65440515427809e-28,7.08982185069805e-26
"1700023F06Rik",1.39882856427573,0.000141366480217527,0.00159067635371993
"1700024I08Rik",2.17456839536745,0.000382513943788708,0.00369199072103508
"1700025G04Rik",1.47082187964643,3.82869868551806e-09,1.44616280271103e-07
"1700027H10Rik",1.20138270692201,2.72340044716532e-05,0.000386971325386612
"1700028K03Rik",0.875312947217154,2.43068629168248e-05,0.00035171853096312
"1700029J07Rik",0.67166911933345,0.000704467298683263,0.00611754096991965
"1700066O22Rik",4.11330060544203,8.67082987993248e-09,3.02281765508983e-07
"1700080G11Rik",4.10274452999913,7.8326119695292e-05,0.000957031065151084
"1700080N15Rik",1.63300794398085,6.86328619731043e-07,1.51162460461424e-05
"1700084C06Rik",0.967090736393872,3.07676798959783e-06,5.71178639554983e-05
"1700087M22Rik",0.750273628869042,0.00107565387425565,0.00870795114689979
"1700088E04Rik",1.00133609420419,8.63440402660231e-06,0.000142923520067672
"1700120E14Rik",4.75472255137697,2.86582656662393e-21,6.42400469163318e-19
"1700125H03Rik",4.66116904842857,4.11250153158198e-26,1.38927252443653e-23
"1810062O18Rik",0.772230132086327,0.000318130894790551,0.00315695883804359
"2010013B24Rik",2.2145157316047,2.15320242119068e-05,0.000316643532018752
"2210408F21Rik",0.783223390956082,0.00105539292862944,0.00857506754511417
"2210409D07Rik",4.32664127680035,2.28669858430979e-07,5.67181649893179e-06
"2310002D06Rik",1.78049094267358,4.79311031043085e-05,0.000630278239011425
"2610035D17Rik",0.588359760068761,0.000354514464870962,0.00346496717193562
"2700054A10Rik",1.47481938330014,6.18125298933391e-07,1.38558273784275e-05
"2700069I18Rik",3.21815086280701,3.94897231258438e-16,4.83245412843553e-14
"2810032G03Rik",0.825909293613768,1.84479545916234e-07,4.69717824713469e-06
"2810403D21Rik",1.04137988181695,3.29450270756845e-05,0.000457813716344318
"2810457G06Rik",2.81775706845606,3.34740892141411e-05,0.000463586046382224
"2810459M11Rik",3.27234898220402,6.12458206381848e-06,0.000104852320343102
"2900060N12Rik",0.769100757501355,1.28434964533725e-06,2.62842374090564e-05
"3300002A11Rik",2.1059446476239,3.3240927521251e-09,1.25953182716778e-07
"3830408C21Rik",1.65263197181009,6.0315629268454e-13,4.54927788680462e-11
"4631405J19Rik",2.66247237586562,4.70723225072278e-08,1.3853124605348e-06
"4732471J01Rik",0.796546484218563,1.08251383000994e-07,2.91731395649308e-06
"4833422C13Rik",1.43449692638959,5.57659344177368e-07,1.25945945104465e-05
"4921504A21Rik",1.15800059739785,7.24052133705415e-06,0.000121783944087829
"4921539E11Rik",2.60149033751375,6.84565820965363e-08,1.94541602083581e-06
"4930408O17Rik",3.7738646567864,7.27983590295539e-07,1.59022644929313e-05
"4930419G24Rik",1.18819608075338,0.00073658811130147,0.0063504909595851
