"","avg_logFC","p_val","p_val_adj"
"Abcg3",0.92046671262118,6.38081952223415e-05,0.00674188052934593
"Atp8b1",0.956079391223869,0.000111939469523093,0.00989636289742937
"AV099323",1.40274278017417,3.25050898175474e-05,0.00431938800888391
"Cacnb2",0.705229511755057,1.9759124197962e-12,1.42660876709286e-08
"Cartpt",3.13821638690465,6.56941520174498e-05,0.0068740837328404
"Ccn3",4.81152793693725,9.2012765013655e-05,0.00847618304327248
"Cdh4",2.11587267990805,6.58173817795667e-06,0.00148500467640147
"Crh",6.34322693264695,2.91121796024506e-10,7.88212262736349e-07
"D630023F18Rik",3.98753233718581,5.49774639319343e-05,0.00604473029830303
"Dab2",0.862326500628805,4.27112430034199e-05,0.00516829901370992
"Dpyd",2.45686886981881,6.09545740068591e-07,0.000305595022087116
"Epb41l4b",2.6081231014171,1.39021669558241e-09,2.50934113552625e-06
"Gabrg1",3.1770082974027,8.99269322491819e-06,0.0018910848082692
"Gm20619",6.00925070207392,4.65530014023686e-07,0.000256999519663778
"Gm20642",1.58075777898791,1.94701123152366e-05,0.00315193897812949
"Gm44618",5.12654588392421,6.90999845119283e-05,0.00709339177501596
"Gm4951",1.32889053691996,2.87640378143263e-05,0.00409441048848178
"Gm50152",1.50343601630003,8.39016587289499e-05,0.00797097744462982
"Gm50218",4.99642837979732,8.19624960222662e-05,0.00792548064215306
"Gm50295",1.77158341386293,1.7968440742155e-06,0.000687719441589292
"Gm5127",1.27109832986483,2.63944585825896e-05,0.00387611314543721
"Hap1",2.10429856749382,2.28376876931604e-06,0.000727447522696845
"Hcn1",1.05992413782137,5.03039358789949e-05,0.00576923564104439
"Il1rl2",0.65403864670819,6.35854870231977e-06,0.00146517196693879
"Khdrbs2",1.49701842310527,2.04843256088321e-06,0.000715629826915004
"Nnat",1.41141507976709,1.30040238837813e-08,1.48245872275107e-05
"Nts",2.68609437058595,8.85618441213581e-08,7.10462793951339e-05
"Pde1a",2.90377092766142,6.95850621724654e-07,0.000327654879707739
"Pecam1",0.983395747656737,5.30841063040035e-06,0.00129191207027496
"Resp18",1.76305451995282,1.09650811304581e-05,0.00213208635168404
"Slc35f4",2.14434017545925,4.83554546504525e-07,0.000256999519663778
"Spink8",3.59012409173605,1.09679711082844e-05,0.00213208635168404
"Tac2",4.9954137732785,1.00501531425137e-09,1.97896651878952e-06
"Tcerg1l",2.96765665667308,5.90593418062349e-05,0.00638659190649654
"Upk1b",0.975141970091662,8.25336750601124e-05,0.00792949230034849
"Vwa3a",4.99322450977124,8.01140748116805e-07,0.000361514762587708
"Zfp804b",3.08613651395292,1.74610126010877e-08,1.89102766469779e-05
