"","avg_logFC","p_val","p_val_adj"
"2510009E07Rik",-0.684471965973637,2.58850746872885e-05,0.00377290012299348
"3110039M20Rik",-2.60289727642284,1.80956725321418e-05,0.00304905068340027
"5730414N17Rik",-6.04408906928499,5.30273882466136e-05,0.00606633321541259
"Aarsd1",-1.08928888935905,7.40623080517935e-05,0.00745286262876752
"Acvr1c",-8.15589172838655,1.22630666017099e-08,1.40289481923561e-05
"Adamts16",-0.697772637917214,6.68293885820945e-07,0.00033781478842335
"Adora2a",-2.77099038342492,2.0009935736753e-12,1.44978654391355e-08
"AI593442",-3.41103920251301,2.59211343348853e-07,0.000170733871485778
"Apod",-1.49045916015105,1.93913586790962e-06,0.00076634649499788
"Arf5",-1.17857710112736,1.3176331043802e-05,0.00249909522100321
"Arhgef17",-2.10411384607934,3.16209201607173e-05,0.00429570200383344
"Asphd2",-1.91965566562201,5.12616071231822e-06,0.00128669791902239
"Atp5g1",-1.09694875762469,0.000110543830928215,0.00968863189135355
"Atp5k",-1.09233582382083,1.59018024356327e-05,0.00274318712492787
"Atp6v1f",-1.17872791936821,1.94417442724451e-05,0.00315362502616318
"C1qtnf4",-1.32355993229744,4.48454769754484e-05,0.00544559378513042
"Cabp1",-3.42078261371842,4.68648822281708e-07,0.000275312183813924
"Cacna1i",-2.40761196042399,4.17656248486824e-05,0.00518752926691978
"Calm1",-0.994722920937493,4.93448910438279e-05,0.00577575535596884
"Camk2n1",-1.32763933259232,3.95470904450544e-08,4.09331218054145e-05
"Car11",-1.9707141428804,1.82354664565309e-06,0.000747860563960671
"Cbx4",-1.0151873980248,2.52543670840731e-05,0.00373421036013206
"Ccdc85b",-1.45186881848334,8.47366380993553e-05,0.00818593584767816
"Ccnd2",-2.78631163834563,5.01891056146687e-06,0.00128669791902239
"Cd9",-0.638899976814824,3.40603713747822e-06,0.00100891028762666
"Cdk5r2",-1.6803672784432,5.7576850848136e-05,0.00648440637323878
"Cep19",-2.07256394034044,4.31280855248708e-05,0.00529622636705419
"Chchd10",-2.09565935014928,3.33241605550874e-07,0.000213039398183935
