"","avg_logFC","p_val","p_val_adj"
"Atp8b1",0.970920001332535,9.01897711419218e-05,0.00856054526437036
"AV099323",1.38452322120697,4.83618762900086e-05,0.00571300947304145
"Cacnb2",0.689475263771372,7.35505358814541e-12,3.19738889583857e-08
"Cartpt",3.12465706427345,7.47143834781644e-05,0.00746080673684847
"Ccn3",4.80438969172746,9.7840939042438e-05,0.00893559097069929
"Cdh4",2.09446335947592,5.13677425286926e-06,0.00128669791902239
"Crh",6.32098810189856,2.86452099931615e-10,7.78290355514198e-07
"D630023F18Rik",3.96228218908287,6.25109651782207e-05,0.0067786299528547
"Dpyd",2.28953650294677,9.65260620036391e-07,0.000456106626893717
"Epb41l4b",2.62506179400447,6.18455253119316e-10,1.22206758016377e-06
"Gabrg1",3.257387061728,4.39448751371005e-06,0.00117281220467645
"Gm20619",5.96850148306055,5.12553682714999e-07,0.000293180706512979
"Gm20642",1.54515096574615,3.48156389929433e-05,0.00461434590945498
"Gm44618",5.09209042522947,7.55808026578644e-05,0.0074995452836931
"Gm50218",4.98760675164103,8.8802357506001e-05,0.00846582474890543
"Gm50295",1.75357896174911,2.80721883935915e-06,0.000897319245475155
"Gm5127",1.27368626488889,2.60394518003837e-05,0.00377290012299348
"Hap1",2.07560125454366,3.48509133604305e-06,0.00101002593706976
"Hcn1",1.03165586342128,7.04074911884156e-05,0.00728751061176858
"Il1rl2",0.633724682276196,1.0174949554132e-05,0.00204780281026493
"Khdrbs2",1.51130580827832,2.38352414877475e-06,0.000820089260922674
"Nnat",1.42826652735192,6.71527862474804e-09,9.57433672596909e-06
"Nts",2.69013853765859,1.07338750548221e-07,8.1701844479677e-05
"Pde1a",2.86510733722983,1.65367295345054e-06,0.000704788927768644
"Pecam1",0.961490406261004,8.09217117077459e-06,0.00179380900278142
"Ptprq",1.91253472651992,7.48277451524185e-05,0.00746080673684847
"Resp18",1.76603036041386,5.2059421056083e-06,0.00128669791902239
"Slc35f4",2.03940447565377,4.68262790690499e-07,0.000275312183813924
"Spink8",3.57128337252867,1.25634831519517e-05,0.00243821312313235
"Tac2",4.58814364913705,6.19586144720695e-07,0.000328471327845098
"Tcerg1l",2.94252395006755,6.56965675357936e-05,0.00696575898516103
"Vwa3a",4.96603395004917,8.97462996833301e-07,0.000433494571092636
"Zfp804b",3.18406455550444,2.81484661360832e-09,4.70642353795311e-06
