"","avg_logFC","p_val","p_val_adj"
"Abcc9",-1.68010553053212,8.36248767123642e-07,0.00125194042699929
"Arpp21",-1.66527595401253,4.61307367191115e-06,0.00361752843947776
"Art3",-2.08019096628326,3.00428179086237e-06,0.00291026544305421
"Atg10",-3.59759236303469,8.91060210830834e-06,0.00586959182078487
"Atp6v1d",-2.78315819749609,1.29543193111691e-05,0.00761899037201187
"Casq2",-6.31205821648887,8.41354809549011e-06,0.00586959182078487
"Cdh4",-2.78450804268594,8.70910738482014e-06,0.00586959182078487
"Cemip",-1.90108769747509,3.06862874015135e-07,0.000561490867697916
"Col12a1",-2.34249341933571,5.49930128296082e-06,0.00411647697853631
"Errfi1",-2.54571852480384,1.77902548483459e-09,4.882831947376e-06
"Filip1l",-1.76271908585602,3.82677872478614e-06,0.00331681010735675
"Nrgn",-1.62548268471233,1.1364467595236e-05,0.00693148342067952
"Ntn4",-3.16441485338807,4.0928116844275e-06,0.0033700211409576
"Pcp4",-2.29425422213185,9.82903570602316e-10,4.04661400016973e-06
"Ppp1r1b",-6.97962166908093,3.59086506566784e-08,7.39179573767725e-05
"Tesc",-6.20675846088127,1.697538746205e-05,0.00963967864569103
"Trpm3",-2.90880176712562,8.56696639640029e-09,2.01544003737029e-05
