"","avg_logFC","p_val","p_val_adj"
"Abcc4",2.64065200450731,3.69606998127439e-06,0.00331681010735675
"Adamtsl3",4.59897239713366,6.46891165652893e-07,0.00106530037159718
"Bnc2",3.67729226989012,1.5832869724731e-06,0.00217279748855726
"Ccn2",1.48354637225534,1.93417019769174e-06,0.00227513677254197
"Chrm3",3.56941918344741,2.4370480707317e-06,0.0025083317268006
"Cmip",1.64861558327907,2.33247178729495e-06,0.0025083317268006
"Col23a1",2.46167900955783,1.49411380058484e-09,4.882831947376e-06
"Col25a1",3.95212801783913,2.59615798444427e-11,2.13767648439142e-07
"Eln",2.55650622362699,8.76817586348738e-10,4.04661400016973e-06
"Slc47a1",5.54189947040503,9.93316430741655e-06,0.00629151345440522
"Slc4a10",2.62906555797514,3.31062316091086e-15,5.451934221388e-11
"Tll1",5.74657280394858,1.74312491134952e-06,0.00220813700308491
