"","avg_logFC","p_val","p_val_adj"
"9330111N05Rik",-3.59506421392978,6.02196360539566e-05,0.00748806556240739
"Abca8b",-1.85892874949699,9.69158651791144e-07,0.000354837698232643
"Adamts2",-2.05518566196016,2.45060809016213e-07,0.000130391789158283
"Adamtsl1",-2.12305385994004,1.71485845998484e-07,0.000101323305627737
"Ankub1",-4.3267572232515,1.25239704683966e-07,7.73785687908339e-05
"Ano4",-0.981078476888738,5.49270687019944e-07,0.000226242307355652
"Arap2",-1.53535033332397,2.04097663082232e-09,2.42747271141926e-06
"C030029H02Rik",-1.46354518532484,2.75543841819315e-05,0.00435822183728774
"Cacna2d4",-1.78817110696453,9.90002448355618e-06,0.00223605334984872
"Camk2n1",-2.939231038346,1.01805529077429e-08,9.58474816852314e-06
"Car2",-1.3196719176954,2.25815842779019e-05,0.0037835635826983
"Ccp110",-1.15843778554758,1.07950186003248e-05,0.00228674056277272
"Chchd10",-1.86106142230714,4.72887341870224e-05,0.00615279098112305
"Col20a1",-2.25380934081208,8.72187614188619e-06,0.00207759293013532
"Creb5",-0.87528380519879,4.0703750565978e-05,0.00566728065098558
"Cyb5a",-1.52116474183689,1.52250287497453e-05,0.00286680041344013
"D7Ertd443e",-1.64197821024996,3.41889629959029e-07,0.000152078360643802
"Daam1",-0.791875164379965,1.81336369773659e-05,0.00317274457238496
"Dtna",-1.27339469012044,2.76277174161407e-07,0.00014005835923962
"Dusp16",-1.08199753723042,1.78402165538753e-05,0.00317274457238496
"Folh1",-3.13143414771254,7.59621275427848e-05,0.00883439543322587
"Gm19500",-1.60106682192585,1.37948878315191e-05,0.00274254426029595
"Gpr88",-2.85850261683571,1.74244721629814e-07,0.000101323305627737
"Hcn2",-5.51073733661019,7.3882302680925e-05,0.00869480360895576
"Hepacam",-1.6190347908984,3.04006945250026e-07,0.000150263032863457
"Hpca",-2.58937292708665,7.36988727040277e-07,0.000280211617736795
"Jcad",-2.06331496879767,3.46139609982858e-07,0.000152078360643802
"Kcna1",-1.67215140346151,2.47361698515556e-08,1.89751731823241e-05
"Kcna6",-1.57471594067406,6.06463815421298e-06,0.00164252001297185
"Kit",-3.85922116212821,3.61199851334411e-10,6.49207478248423e-07
"Kndc1",-1.11975471708521,3.13044134721345e-07,0.000150955989940871
"Ldlr",-1.96212967363428,4.12047758123625e-05,0.00569692043766587
"Mal",-1.33250777974098,1.9437046275867e-07,0.000107399240456962
"Map1lc3a",-2.70085751794688,1.06723189929324e-05,0.00228674056277272
"Mobp",-0.85748506573418,9.82261086479564e-06,0.00223605334984872
"Mog",-1.16656934128804,1.73193396390369e-08,1.42675276668082e-05
"Mul1",-5.50528016222054,5.8964273757042e-05,0.00737837124335745
"Myo1d",-1.15633256465458,2.88124940929591e-06,0.000918793259212733
"Neat1",-1.7044722441962,1.45230696123667e-05,0.00281505499319708
"Ninj2",-1.06888366311211,1.07250029660402e-07,6.84013011747038e-05
"Nkain1",-1.18590175026237,4.65168921994638e-06,0.00131383639382229
"Opalin",-0.900698520335238,6.19725996102595e-06,0.00165575711742492
"Pak1",-1.31212813037565,7.60340266522729e-10,1.15636056995545e-06
"Pak7",-0.94343794277718,5.81664591608717e-07,0.000230001812813919
"Pcp4",-2.40849508416078,1.52340226371274e-08,1.30952983286368e-05
"Pdlim2",-2.7395504259416,3.45130825004406e-07,0.000152078360643802
"Plekhh1",-1.15153490314666,1.25664595191281e-05,0.00253521909339471
"Plxdc2",-1.04841429101409,3.37210819695484e-06,0.00104171798690616
"Ppp1r14a",-1.64242279313411,8.35917248675903e-06,0.00201915503697417
"Prex2",-3.02532701319457,3.69073860045414e-05,0.00536541124041021
"Prr5l",-1.26976702112677,6.10306298325437e-05,0.00749463715788336
"Qdpr",-1.51214845404047,1.22117262480568e-05,0.00248905195515804
"Rap1a",-0.75311773843212,4.18966245903052e-05,0.00575234836649253
"Rasal1",-1.39941446885338,2.72017165760265e-05,0.00435199215498061
"Scn4b",-5.94912371909729,1.75083112880948e-05,0.00317274457238496
"Sema4f",-1.69359454889382,4.73028288468314e-05,0.00615279098112305
"Set",-1.84734333276772,1.40102660608918e-05,0.00274254426029595
"Slc24a2",-0.799916310574743,3.32087749920366e-05,0.00493662173208689
"Slc32a1",-5.75232097042441,1.51271563972105e-05,0.00286680041344013
"Snrpd2",-3.19310313237665,3.60371287004768e-06,0.00107953041141989
"St6galnac3",-0.859703938338402,3.84410753515401e-05,0.00548722886524927
"Stxbp6",-1.19376503164327,7.56130421601796e-06,0.00191828116844981
"Svil",-1.00908696455993,1.09878283072889e-05,0.00228674056277272
"Synj2",-1.0764287828069,5.59804115850424e-05,0.00714057237063144
"Synpr",-1.50406319980389,2.05504261602734e-10,4.37596118582776e-07
"Sytl5",-1.21807405586864,4.00441454937272e-05,0.0056149844011098
"Tac1",-2.38743780092715,7.75866029061711e-06,0.00191828116844981
"Tpm1",-1.71803140342142,2.72948777106669e-05,0.00435199215498061
"Trim59",-1.59492607497271,1.04413822161002e-05,0.00226853371202766
"Tspan2",-1.1589698893016,2.84372304694781e-09,2.81116241806026e-06
"Ttll5",-0.969542142170592,1.78832938208913e-05,0.00317274457238496
"Ttll7",-1.14313409145148,2.11412430603963e-06,0.000746399136691243
"Usp25",-1.14907057115394,2.26197562650751e-06,0.00075799186629966
