"","avg_logFC","p_val","p_val_adj"
"1700042O10Rik",0.907506176528695,6.47887657611189e-05,0.0078106017552627
"4430402I18Rik",0.838778372897533,3.1684378280021e-05,0.00482806316095181
"4930405A21Rik",1.51430040604238,4.29576054890468e-06,0.00123089104075934
"4930445E18Rik",6.14855692561279,1.18580934751231e-12,8.47824865737847e-09
"4930512B01Rik",1.09130091071936,1.69247686792463e-05,0.00312085862952932
"4932413F04Rik",1.64159488154336,5.6303425573205e-07,0.000227178576940375
"5330438D12Rik",0.901477330962489,2.54701472150077e-05,0.00419641900489931
"5730522E02Rik",1.247782573995,1.80640031877549e-05,0.00317274457238496
"8030451O07Rik",2.51514027756711,6.96282924415578e-05,0.00829289740880746
"9130015G15Rik",1.43658168769919,2.76406130631125e-06,0.000895873050607863
"A230057D06Rik",0.720623129915346,2.37196533660937e-05,0.00394085098068099
"A330102I10Rik",1.49171755345288,2.0304947553579e-05,0.00343118904343428
"Agrp",1.37263556484866,2.1597163059116e-06,0.000749118440073302
"Ankrd33b",3.26384597539072,4.41812048264166e-05,0.00598292192207591
"Asic2",1.53138534997487,1.32365768323364e-08,1.18954709341874e-05
"Bbip1",1.19022936695929,1.93204608414867e-09,2.42747271141926e-06
"Bcas1os2",1.12302210903229,7.06871806361925e-06,0.00186340833114422
"Car10",2.43928733732986,4.32869976561451e-05,0.00590225676316996
"Celf4",1.5579900270289,7.25609195117451e-06,0.00188763413114041
"Cerk",1.08018073176926,3.88805623811395e-07,0.000167110347573371
"Cit",1.70295036027948,4.9799977866253e-05,0.0064352638064947
"Cntnap2",1.08230352991337,1.03088980715335e-05,0.0022646358196921
"Cntnap5b",2.08048117717869,6.26794762612226e-05,0.0076496044763002
"Efna5",2.4321878640802,4.53032263439865e-05,0.00605263239967535
"Eps8",1.40474147973588,8.36154085663055e-12,3.30632048552885e-08
"Fam13c",1.08485972025665,2.49534420484763e-08,1.89751731823241e-05
"Far1os",1.05097400006477,1.98597509207159e-05,0.00341432291698674
"Fndc9",1.26225029467406,1.11942867770182e-09,1.58087317048876e-06
"Frmd4a",0.758553450592612,1.93233112572726e-05,0.00335123848129419
"Gabra2",1.49179339109705,4.13117690272508e-06,0.00120113968446732
"Gabrb1",1.77534655001652,3.11683912665732e-13,6.16230263731419e-09
"Gabrb3",1.23713254271257,1.095665575086e-06,0.000393861892455005
"Glis1",1.54100149641871,1.09100109140291e-05,0.00228674056277272
"Glrb",0.992067033666835,4.06762737434618e-06,0.00120031434057012
"Gm13187",1.24278200046203,8.51417835261322e-08,5.6111273403172e-05
"Gm13919",1.24233341364003,2.25474859527713e-06,0.00075799186629966
"Gm15398",1.86153305465715,2.59199814295729e-08,1.89801464016328e-05
"Gm15402",1.49476347400405,1.46927153615756e-05,0.00282028811081273
"Gm15527",1.81587231557952,3.50608842033387e-06,0.00106644421782186
"Gm15563",1.20328571577328,9.97744527914088e-06,0.00223605334984872
"Gm15577",2.38888283561707,1.28646734976154e-12,8.47824865737847e-09
"Gm15929",4.13390399696635,4.35156649354661e-08,3.07267218371107e-05
"Gm16226",1.80667261020107,8.96468755765584e-06,0.00211000997264778
"Gm16599",1.10536800763455,9.18275043760471e-06,0.00213590775178685
"Gm17106",0.901409274208929,7.78949298692058e-05,0.00900620268095946
"Gm17178",1.72005803717839,7.76199956886271e-06,0.00191828116844981
"Gm20515",1.45079194515073,2.5824188698238e-05,0.00421958706407325
"Gm28750",2.02059385434303,5.66568487600615e-11,1.40020319604397e-07
"Gm44992",1.53205334228607,7.46915429878217e-05,0.00873802660598948
"Gm45321",3.72785130930754,5.40952375326541e-06,0.00150636188909592
"Gm45600",1.57836322996421,1.00656895521995e-05,0.00223605334984872
"Gm47712",3.2999835548578,3.5629541846452e-05,0.00521801238404595
"Gm48091",0.970020681865976,4.53082593268905e-05,0.00605263239967535
"Gria1",1.21134347729058,2.82217395045032e-05,0.0043934804074294
