"","avg_logFC","p_val","p_val_adj"
"1700111E14Rik",1.12324887910347,0.000192193392777635,0.00788417444914105
"2810032G03Rik",1.40765525419075,7.96795859385047e-05,0.00381707763997152
"4930445B16Rik",2.07042360739956,1.83930473719215e-08,2.38831299986589e-06
"4930511M06Rik",2.05581549490466,2.08202408589556e-05,0.00128415341822877
"4931415C17Rik",3.53971324611082,5.96703103739697e-07,5.35324052659564e-05
"4933424G06Rik",2.85436447764609,2.60115056600945e-08,3.18875209449245e-06
"6330403K07Rik",1.84724157910065,1.11499689040417e-07,1.17056880988867e-05
"6330411D24Rik",2.11841728409307,3.9744870802063e-05,0.00219118579614614
"9330175M20Rik",2.08957032151934,0.000116097284329329,0.00526761402484588
"9630028H03Rik",2.44018308551311,1.06223233358389e-10,2.01589226614858e-08
"9630041A04Rik",4.18604480844689,5.97298103867413e-09,8.30202301128953e-07
"A230004M16Rik",1.72871494470603,1.91676642654498e-08,2.4565726597869e-06
"A230051N06Rik",2.25360419146886,7.1631894935359e-06,0.000506737889010459
"A630012P03Rik",4.7353606732714,2.53054832027508e-40,9.98908643945385e-37
"Ablim1",1.94432002150111,2.87070795505927e-09,4.42649710226599e-07
"Abr",1.01438649230416,3.01636219345601e-05,0.00174586336106279
"Adamts12",5.24971633318552,1.69355067935504e-14,5.968858885434e-12
"Adamts2",3.70704377479174,2.59516209737774e-05,0.00153355432083666
"Adcy7",2.83749423648282,2.1385875466932e-05,0.00130678954826884
"Adcy8",1.14683761484496,9.4836739888205e-05,0.00439387966003169
"Adgrl2",3.74193056842298,1.93603030167014e-30,3.18428583867196e-27
"Agl",2.37594488985244,1.84482074127109e-07,1.82056134852337e-05
"Ahi1",1.41427020172718,2.32490370206538e-08,2.90421673213066e-06
"Airn",1.25377881798333,3.30613325876088e-05,0.00188592925225906
"Arhgap24",1.34613561880205,0.000224781407163024,0.00899900736952659
"Arhgef28",3.04214953148937,2.81584931968463e-11,6.17515755806839e-09
"Astn2",1.08406090599991,1.08515454160945e-05,0.000723570783369789
"Atp10a",3.55197888753653,0.00017248025219471,0.00724373824525231
"Atp11c",2.28600642631068,3.63060111474755e-05,0.00202109869212134
"AW551984",3.70926152160295,2.50551972827205e-09,3.92471768864329e-07
