"","avg_logFC","p_val","p_val_adj"
"4930445B16Rik",1.88981372079696,1.45179579640317e-07,7.49624389502804e-05
"4930509J09Rik",2.43476539043872,7.5170717440678e-12,1.65378968214982e-08
"4930595D18Rik",1.97041853136501,1.20366952970274e-05,0.00293955618118755
"5031415H12Rik",1.9476969619356,4.30112059858273e-05,0.00777298514575871
"6330411D24Rik",2.18152694601453,3.93412681892065e-06,0.00106115731151543
"6330576A10Rik",1.90275450001026,2.76233337637002e-06,0.000792395059964429
"8030451O07Rik",2.61960370887886,3.01480248383743e-12,9.08058508131834e-09
"A330015K06Rik",2.15184952485574,2.64905207269429e-10,4.7139032244026e-07
"A630012P03Rik",5.94824707012405,5.46031374963094e-12,1.40969700119043e-08
"Adcy2",1.50078256578019,3.41200200737185e-05,0.00655975534864086
"Adgrl2",1.72974096434795,2.44460412020517e-06,0.000724244027218817
"Alcam",1.67677923855826,9.28631662264355e-07,0.0003648311174009
"Ankfn1",2.88690546137834,2.62560417329996e-05,0.00533711384814668
"Baiap3",3.44629512601603,8.23600439317639e-12,1.65378968214982e-08
"Calb1",1.89032137695741,1.19620008862062e-06,0.000432354560031035
"Car10",2.17178481056565,1.11675429660352e-09,1.44157026058706e-06
"Cdh18",1.92132574657271,2.3592667376856e-08,1.63987186474824e-05
"Cep112",1.50026054022854,2.23913019480826e-05,0.00476065422124409
"Cntnap3",1.72307076609525,6.76343469152877e-07,0.000284253004058856
"Cntnap4",1.70444827190159,2.63338517927774e-06,0.000767589305804955
"Cntnap5a",1.49659837908574,1.61152538453048e-05,0.00364043584365434
"Cntnap5b",2.11033884145721,1.20451529315702e-09,1.45120002519558e-06
"Col23a1",3.653487042177,1.03569559083519e-05,0.00263620996022162
"Crhbp",2.94606400622817,2.99924504344151e-06,0.000833882406539615
"Csmd1",1.74562338358794,7.5643829543524e-07,0.000310689838070583
"Dach2",2.40937832436216,5.60813664590637e-05,0.00938428198748333
"Fam135b",1.46266869119787,2.62839272070084e-05,0.00533711384814668
"Fam240b",4.59884198520536,1.3636727781153e-05,0.00315952492898714
"Frmd3",1.64349372748251,4.82036143221929e-06,0.0012810819382804
"Gm13832",3.86057188219524,1.11380703434065e-06,0.000418941510859556
"Gm14582",5.04101800096183,5.32932275132585e-07,0.000229313144671335
"Gm17171",1.93718973022122,1.13704400563439e-05,0.00285398045414232
"Gm1992",1.41762198432904,3.72853429276877e-05,0.00701896580613721
"Gm28750",2.06704312019698,3.83311762806169e-08,2.56563339904929e-05
"Gm28905",1.85367142362418,8.73926534010239e-08,4.93550010082282e-05
"Gm30382",2.38631691202328,5.21430936947373e-10,7.85274991042744e-07
"Gm41609",1.51626919184633,2.74418070151706e-05,0.00551031484864626
"Gm44129",2.38671972463682,1.05193846250692e-06,0.00040448152966862
