"","avg_logFC","p_val","p_val_adj"
"0610043K17Rik",1.01901256452541,9.27250272244589e-05,0.00483013096360136
"1700024B18Rik",0.966398031153285,6.68084586935048e-06,0.000514225703705081
"1700027H10Rik",1.8708204658634,0.000149096046025336,0.0068345627498014
"1700109K24Rik",1.18358659315287,1.21427538715434e-05,0.000872755145861314
"1700111E14Rik",1.11560114769897,1.27997354621973e-05,0.000916781052479883
"1810034E14Rik",0.918301966610589,0.000107001479705436,0.00530583298885511
"2610316D01Rik",1.00617467414177,0.00022419767544105,0.00951594577983123
"4430402I18Rik",0.958350607371581,4.82087350359293e-05,0.00279823777679277
"4833422C13Rik",1.11464418494619,0.000214435206441058,0.00917696013792626
"4930444A19Rik",1.52980225817221,4.02623432547519e-08,5.42831121999361e-06
"4930473D10Rik",2.42328747374384,2.66341501183711e-07,3.02087049432946e-05
"4930509J09Rik",4.21777923389459,1.36582091678897e-23,3.13046154128032e-20
"4930517O19Rik",1.05612007525612,1.68011955540867e-05,0.00114381208544456
"4930527B05Rik",1.90431538840835,3.6500834883872e-08,4.953547513056e-06
"4930529K09Rik",3.91305410231683,4.63572946960951e-05,0.00272438254983205
"4930545L23Rik",0.829049791286686,0.000211772440677484,0.00911992047243243
"4930547E14Rik",1.69891981646772,2.65596445321537e-08,3.70393295765869e-06
"4930567K20Rik",1.32084826025003,1.09455780511482e-06,0.000106502539641078
"4930570B17Rik",0.965970588923238,1.20323806882873e-05,0.000867845974958008
"4933413L06Rik",1.03298182881908,4.61842166838009e-05,0.00272196577643841
"5031415H12Rik",1.22029648147541,1.60453005985129e-05,0.00109960950413995
"5330438D12Rik",0.784829523562365,0.000151186907401778,0.00689974231390237
"5530401A14Rik",1.45056609833725,1.36643325343482e-06,0.000130494375703026
"6330576A10Rik",1.02720510418327,2.63106604036245e-05,0.00165974404527819
"8030451O07Rik",1.18384695918843,2.05809823514362e-05,0.00135637221707804
"A230009B12Rik",1.64411065834487,3.96256122742784e-06,0.000319295753903834
"A330040F15Rik",1.20151717997151,0.00021459257406511,0.00917696013792626
"A430090L17Rik",1.20871674716874,3.41822663821904e-05,0.0020923198543971
"AC163685.1",2.53654503443932,4.99380508638108e-06,0.000396200812776419
"Adamts3",2.20899093899621,4.46061870264048e-09,7.24516870850927e-07
"Adamtsl1",3.63981731968864,2.17576683273247e-17,1.72621993175405e-14
"Adarb2",2.35440747236476,1.19532289188921e-09,2.20152862624023e-07
"Adgrl3",0.59858283645309,0.000227713782975931,0.00962557359677766
"Adra1a",1.03596586248063,3.93536502053325e-07,4.29516982241058e-05
"Agap2",1.24591729754977,1.13001649001598e-05,0.000823674210461119
"Alcam",1.90109009967848,4.24202363659454e-12,1.38895973929638e-09
"Angpt2",1.05630621041033,0.000100722151476725,0.00507093121391891
"Anks1b",0.663619546388868,3.55219633914326e-05,0.00216789071253986
"Apobec4",1.62812206379293,1.51302748490643e-06,0.000141225026962216
"Asic2",1.08562246262103,2.65746595759883e-08,3.70393295765869e-06
"Atrnl1",1.1124142354299,4.83575208894903e-07,5.14185021086807e-05
"B230217J21Rik",2.63181605618054,5.09045339836826e-15,2.44199703957071e-12
"Bace2",3.14420153263878,1.92647717431087e-09,3.39652744886194e-07
"Baiap2l1",2.00202170837148,0.000174478987374066,0.00777354762754261
"Bche",4.22843616729892,1.05121875662294e-14,4.61373202374853e-12
"Bicc1",2.28073208236907,8.79055020958327e-10,1.72696637831699e-07
"Btbd3",1.56271686616828,8.36376896242071e-09,1.24120738242313e-06
"C1ql3",4.29769853326071,4.86996726106716e-05,0.0028060805771311
"Cacnb4",0.716525673435585,0.000106025588634386,0.00527011046349424
"Cadm1",1.6665270194873,1.63011597640779e-15,8.62205957983072e-13
"Camk4",0.953238420565988,2.32781037935171e-06,0.000200912437260532
"Car10",2.10000914094842,1.4986627843824e-06,0.000141135622605088
"Ccdc148",1.17157038295397,4.82922556010387e-05,0.00279823777679277
"Ccdc80",3.91847725803455,2.9875493522122e-05,0.00185624000112751
"Cdh4",1.61573988680931,7.20480387905212e-17,4.5036574065784e-14
"Cdh7",1.66318094741004,3.84237810569954e-05,0.00231080395231399
"Cers6",1.11847455838022,2.46177897761041e-07,2.89053297806091e-05
"Cfap54",1.88384923983175,3.58944212136621e-05,0.00218415964836407
"Chil3",4.6539399187086,2.42882468202564e-05,0.00156080359940264
"Chil5",2.57431910095785,4.35260235526489e-09,7.1258318559051e-07
"Chrm3",0.635983307687476,9.32944842518324e-05,0.00483537341996683
"Cnot3",1.03489638227505,1.52097065043387e-05,0.00105384047978911
"Cntnap2",1.0551337422874,2.47800766577702e-10,5.26972599274726e-08
"Cntnap3",0.847318366032918,3.17880455721438e-05,0.00195738448973786
"Cntnap4",1.01049366995817,1.02327183697915e-10,2.48330017096539e-08
"Cntnap5a",2.19531431440516,8.19905192389052e-15,3.75844540191141e-12
"Col11a1",1.7545247705828,8.99056647920137e-11,2.26167567479227e-08
"Cpne8",0.924328273755765,1.42220726207857e-06,0.000134574731202554
"Creb3l2",1.96163202268232,5.52023172906729e-07,5.78027107143148e-05
"Ctnna2",1.0442214154023,3.95264757751452e-12,1.31508410046725e-09
"Dcc",2.00782046003877,3.75024906021409e-19,5.15734250760642e-16
"Diaph3",4.04155987864271,4.40880333714058e-13,1.6841628747877e-10
"Dlx1as",2.13524828345214,1.18535174762743e-09,2.20152862624023e-07
"Dmd",1.16657857090241,1.67038981220973e-06,0.000154514802898038
