"","avg_logFC","p_val","p_val_adj"
"1700003G18Rik",1.42121919340943,4.74657598521384e-06,0.00051814634702263
"2610035D17Rik",0.939724237401733,6.47574188394195e-05,0.00400756427397043
"4930509J09Rik",2.08977026510284,6.15580022390215e-07,9.17875258888819e-05
"5730522E02Rik",1.04383467619835,7.17376943438158e-06,0.000716994241959839
"6330403K07Rik",1.50739079578616,4.95884140427046e-07,7.59797099852943e-05
"8030451O07Rik",1.02260704096629,0.000199643691871341,0.0096633636215808
"9130019P16Rik",1.3855181794688,1.90697735857776e-05,0.00154625240786577
"9330175M20Rik",1.27030205797132,7.31026090027031e-05,0.00441337137014417
"9430021M05Rik",4.24693256821127,3.81542697044321e-06,0.000428117883850186
"A630012P03Rik",1.25208636058447,1.12111725683585e-10,5.93044335598144e-08
"Adam12",1.7906074853941,3.45865092270997e-06,0.000394055628460756
"Ahi1",0.906250766216615,2.12939415927577e-07,3.75287697176927e-05
"Ak5",0.992186627370642,0.000156915377661829,0.00799584620530473
"Ankfn1",2.15971828037863,0.000133604914566075,0.0070172585979066
"Antxr1",0.972245772707338,6.66915475498035e-06,0.000670446204485966
"Astn1",0.585453052235071,0.000187504828773104,0.00923679552295357
"B230216N24Rik",1.07649904346287,5.09258247819696e-06,0.000541570232068624
"B3gat2",1.07410704437486,2.41480523509909e-05,0.00188907492634495
"Baiap3",2.57761081952821,0.000153228038958731,0.00788024847580124
"Bbs9",0.9440263179397,5.90441841080271e-06,0.000598988419327872
"Bche",2.71156798000281,5.77730427767786e-05,0.00368834394072325
"Bcl11a",1.21226680124199,3.39311159353654e-06,0.00038984558558443
"Bcl2",0.837379798487645,9.67328458703389e-05,0.00549645431381411
"Btg1",1.06040416465002,0.000204567701859649,0.00985874323691067
"C2cd2",1.11456775033959,5.20024256599065e-06,0.000545871626795761
"C530008M17Rik",0.625761628139287,1.80817988671673e-05,0.0014823738945825
"Cacna1e",2.10179428982542,4.10919374040901e-09,1.3041993904381e-06
"Cadm1",1.2350594900838,1.31471752924706e-07,2.59146119412751e-05
"Calb1",2.2414534795704,2.27759952865151e-10,1.01202857456101e-07
"Cartpt",5.24059762271069,1.16932656245576e-06,0.000165470880497322
"Catsperg1",2.5246700745236,7.81431514224032e-05,0.00469217944635549
"Ccbe1",2.46596906074754,1.33793501380937e-07,2.60744756156164e-05
"Cdh2",0.686754768167059,0.000152512513167867,0.00786164850359747
"Cdh4",1.43345524012724,6.64219664071376e-14,5.90278731066951e-11
"Cdh9",1.5710255199687,8.47034609146204e-05,0.00491346420663217
"Celf5",1.03644286485147,1.07847828721784e-05,0.000994213780378372
"Cfap20",1.01406015052255,1.7366498056479e-06,0.000228302655219404
"Chsy3",1.18213355730827,2.07503701705606e-06,0.000260458177445957
"Clmn",1.81705106885019,2.51746929163146e-06,0.000305631777334295
"Cnot3",0.965301248776141,5.26693086076443e-05,0.00340161055039545
"Cpne2",3.18272075730657,1.29844183685118e-07,2.59146119412751e-05
"Cpne4",1.9436893764522,5.19850396682359e-15,7.69967750872798e-12
"Cpne5",1.19897950470392,4.63058620530733e-05,0.00312698278794264
"Crhbp",1.73171468067569,4.61686503296216e-07,7.17292940121121e-05
"Cspg5",0.782409559425208,2.6328808859458e-05,0.00202403856896394
"Ctnna2",0.685887451500399,1.57030878982839e-06,0.00021143969929465
"Cubn",2.81663457033164,1.25302218978163e-05,0.00111353575961514
"Dapk1",1.037821477315,4.44303422624731e-08,9.87108914045364e-06
"Dchs2",1.2876170901853,6.19966378728062e-05,0.00387994170033841
"Dennd3",1.95897049725713,0.000103075807137226,0.00584192654889733
"Dgkg",0.772167003754082,4.53905635764208e-05,0.0030745187529797
"Dlg1",1.05321375200269,2.11875880650073e-05,0.00169936694599374
"Dock10",1.17236358127327,2.52724114891042e-07,4.29800369403377e-05
"Dpyd",1.92126071565411,5.00251373136261e-05,0.00326819343700601
"Dscaml1",1.23458782167451,1.60504344710697e-06,0.000214814760628768
"Dtnbos",0.822419862028734,8.99852243061358e-05,0.00517927908914357
"Efna5",0.710526907490543,7.81892660768471e-06,0.000765255913845512
"Eml6",0.636614454775664,1.24514927507605e-05,0.00111098319053673
"Epha3",0.770342334931885,1.03369123444054e-06,0.000148164633261713
"Eps8",2.33773783718186,8.07400738715366e-05,0.00478347258987714
"Fam135b",0.763118009720814,9.44656438380725e-05,0.00540913198234654
"Fbln2",1.92304027540803,3.3982374271814e-07,5.59249191997698e-05
"Fchsd1",2.06482974494978,3.10981972739011e-05,0.00230302882944753
"Fgd5",3.24285776700637,3.80670467736567e-10,1.65830505523594e-07
"Fgf1",0.886017791712068,0.000116692067402837,0.00637273387871401
"Fgf10",3.61465288785642,0.000131595908053408,0.00696111021243466
"Fkbp5",1.2965875776034,8.34166440728523e-06,0.000805768513637634
"Ftx",0.604370475739021,1.02115353813343e-05,0.000949245529569471
"Fxyd6",2.21340068635663,2.44447187542143e-05,0.00190157277203057
"Gabrb1",0.876117961639575,7.19672844925256e-06,0.000716994241959839
"Gabrg1",4.32540720146885,8.79620644751694e-15,1.14956069790873e-11
"Galnt10",1.12754310298012,2.0153904809019e-07,3.64031953773963e-05
"Galnt18",3.31627260476635,9.95277654266416e-15,1.22844909137983e-11
"Galntl6",0.651479899168788,0.000141542215475048,0.00734729766637652
"Gap43",1.43270966199115,1.684036314058e-07,3.11785289911888e-05
"Gfra2",2.14660765817987,2.88160122287034e-09,9.5553036370911e-07
"Gldn",3.0236130797878,4.75770152552625e-06,0.00051814634702263
"Gm11146",1.25723071732323,0.000146666775052237,0.00757789707287335
"Gm11659",1.07884566272964,1.27846977598087e-05,0.00112713345289552
"Gm12064",2.0905183585787,2.8245709332343e-05,0.00215508607627534
"Gm12364",4.66065501596658,4.98967649014959e-05,0.00326819343700601
"Gm12709",0.900038494837946,3.60050873372411e-06,0.000408125012944636
"Gm13008",1.39576685421634,0.00019713416001595,0.00958946629063106
"Gm13187",1.08180439340658,4.24839623539563e-05,0.00292218635175804
