"","avg_logFC","p_val","p_val_adj"
"Adamtsl1",5.26225957539768,6.21233071476417e-13,2.95442917967397e-09
"Adarb2",3.43593453720406,1.42443447982778e-06,0.000821121730598905
"Atp5md",1.5573892972029,1.72880405127619e-05,0.00557407448600458
"Baiap3",3.07111574592534,2.48331597710457e-05,0.00694722789303292
"Car10",3.3957904801397,1.17704469431593e-13,7.46364040665731e-10
"Col24a1",5.51744218009325,5.70806085365502e-06,0.00223468854301995
"E130114P18Rik",1.99440791049154,2.82474254113446e-07,0.000233630771130438
"Ephb1",2.3027931737918,1.07519515213154e-05,0.0037876735887034
"Gm33206",5.67996568374163,3.88943223418201e-05,0.00973535123563741
"Gpc5",1.72316279678622,2.95693235112239e-06,0.00139674801836295
"Mgat4c",1.78427550392044,2.47155845594083e-09,4.27422331885113e-06
"Npsr1",5.51206355649922,5.79288946576811e-06,0.00223468854301995
"Pbx3",2.26879555392493,2.60577030509907e-05,0.00718399543679705
"Ptprt",3.61361214636923,1.04946709083743e-13,7.46364040665731e-10
"Reln",3.08962753095406,2.31628861197654e-05,0.00677888588701996
"Rpl37",1.60502137761866,5.19609238792051e-06,0.00217587574073837
"Rps29",1.58738094979561,3.22429663476594e-05,0.00840216368262364
"Shisa9",3.26337919512546,9.82167636569307e-07,0.000622792498348597
"Spon1",3.40125906554036,4.62805387721169e-07,0.000352157875624792
"Syt1",1.66719674413581,1.93881374837105e-06,0.00107186754553635
"Tafa2",1.50124344651521,5.32941844424993e-06,0.00217587574073837
"Xlr5a",7.47991757409122,1.29000369761593e-10,2.72663781552754e-07
