"","avg_logFC","p_val","p_val_adj"
"1700031P21Rik",7.17958327509647,1.39085208210107e-08,3.84053489029395e-06
"1700060C16Rik",6.22603565408219,3.0365711279515e-05,0.00289348383323114
"2310002F09Rik",4.14903576263562,4.22164506571635e-09,1.35710136455819e-06
"2610203C22Rik",3.37068324910827,5.3761556697855e-08,1.25860479147652e-05
"3110039M20Rik",1.863767291807,3.28497354719537e-05,0.00303655623431304
"4930447C04Rik",3.921027404721,4.97659353899053e-10,1.81670968886064e-07
"4930505N22Rik",4.88252943919043,3.43739220343674e-16,3.70172766388102e-13
"4930509E16Rik",5.00087951256104,1.06690065047149e-05,0.00118447970153891
"4930556G01Rik",5.00087951256104,1.06690065047149e-05,0.00118447970153891
"4933406J09Rik",4.80677286764588,3.80672743097106e-06,0.000496904820656089
"8030451A03Rik",5.35201521970125,2.53140484241337e-05,0.00251250679704604
"9330159M07Rik",3.36561640271572,3.22998959449187e-05,0.0030115807742929
"A230077H06Rik",2.03938865731523,2.44041789642706e-05,0.002502939078726
"A330008L17Rik",2.39303513708046,3.01105814602053e-06,0.000400195158834846
"A330093E20Rik",1.75206112687302,6.64398252239114e-05,0.00544099222689203
"A330102I10Rik",2.66293398538061,2.86716661629978e-08,7.01739029339372e-06
"A930009A15Rik",4.93704740175288,2.942064861705e-10,1.1734480183593e-07
"Abcb10",2.28587819354249,0.000108402953213812,0.00830437585776316
"AC160336.1",4.0976817430692,1.67523733889064e-16,1.89901377921192e-13
"Acox2",3.12985680470973,8.28210039650017e-05,0.00660666216073409
"Acp7",7.74956392102996,8.33652998866913e-12,5.17147494735333e-09
"Adam18",5.35201521970125,2.53140484241337e-05,0.00251250679704604
"Adamts2",8.23877489507187,7.96191996550736e-35,1.71483832217098e-30
"Ak9",2.80806519155085,7.48074690653398e-06,0.000904151196902418
"Akap13",3.02524947041483,5.51554684828009e-05,0.00471404158802605
"Angpt1",2.88976521494343,3.73509906713943e-09,1.21888732890983e-06
"Ankdd1b",3.7107810674074,8.66530078447964e-06,0.00100661480808875
"Ano10",2.07472005750172,2.43287940221562e-06,0.00034025556210987
"Ano4",2.76100642438978,9.52285466193098e-09,2.73470991611559e-06
"Anxa11os",3.2786473415644,5.24832514666432e-05,0.00452153708035424
"Ar",2.1163318790254,9.71810209636639e-06,0.00109585593168345
"Arhgap22",2.98973792009488,2.78796262499658e-06,0.000377654962372178
"Arhgap31",3.44375983559285,3.94806134706725e-06,0.00051224906803093
"Arhgef38",6.92892047255615,1.47762447771188e-07,2.89318872735985e-05
"Arhgef6",4.73862455909387,5.93033477715063e-11,3.04113215310167e-08
"B3glct",2.75563699925386,1.76925301375039e-08,4.64709407440925e-06
"Bcar3",2.7439237727194,4.79298682887165e-10,1.7798508675903e-07
"Bdnf",2.44688191945154,6.52738969061392e-07,0.000109833530590971
"Blnk",3.7107810674074,8.66530078447964e-06,0.00100661480808875
"Bmp2",4.68907317735755,9.9403468089045e-05,0.00770126581187717
"Bmp3",2.64302882275999,2.918736497731e-06,0.000392898416800814
"C1ql3",3.60646471450062,7.76711063560066e-06,0.00091916499378883
"C730002L08Rik",3.30019490063313,0.000115078315468305,0.00872001936763114
"C730034F03Rik",2.11450983309568,2.06229366870605e-06,0.000296117873577273
"Car2",4.39123304300924,1.85018203233161e-17,2.37535434516963e-14
"Ccdc162",2.73914436935745,1.57429930699753e-06,0.000232241496398032
"Ccnb1",4.26379501189348,2.26387637907684e-09,7.61865147696201e-07
"Chrd",1.81543196655216,3.01153326454585e-05,0.00289348383323114
"Chrm2",2.51480251642546,5.40048715126787e-06,0.000668480990023031
"Chrna7",2.0922717015989,2.32129845265213e-06,0.000331100172670341
"Chst9",4.19085216583108,4.56792770937951e-13,3.51371525016485e-10
"Clic4",3.53754201858572,1.74070380643121e-05,0.00184686101393671
"Cntnap3",4.19397803408467,2.06918902358664e-05,0.00216340743640821
"Col5a2",5.54263834638157,3.76470732927285e-16,3.86115554561327e-13
"Cpne7",2.42111531563089,8.74021883237125e-08,1.90148316375366e-05
"Crh",5.66230983603182,2.36500547792975e-06,0.000332924758063078
"Crtac1",2.95527920787027,3.1805543372769e-10,1.24550507847763e-07
"Cwh43",4.11226283590863,5.98862921338719e-07,0.000102367536506296
"Cyp2c55",6.21755101855723,3.08989359106306e-05,0.00289348383323114
"Dennd2a",2.3148601562866,3.59484479801291e-05,0.00328075284998314
"Dgkg",3.06217889306284,2.60614307500928e-08,6.45185167236206e-06
"Diras2",3.44910256723236,9.07779605195013e-10,3.10345351376035e-07
"Dkk3",2.8399258593047,8.90190511751508e-11,4.26064960935644e-08
"Dlc1",3.30574911537975,1.28165159698957e-05,0.00140837816816129
"Dnah9",1.67617936471415,0.000130731341063667,0.0098450756077946
"Dnase1l3",4.91092773049653,5.83644939217449e-09,1.74590898623131e-06
"Dok5",2.55181851384829,7.94976110179143e-06,0.000935639096231605
"Efna1",5.35201521970125,2.53140484241337e-05,0.00251250679704604
"Emb",1.97290041297182,9.44787435105831e-06,0.00107099114617418
"Esr2",4.14199418854963,1.36751662263442e-10,5.89071460366001e-08
"Fam20a",6.54612275818285,2.17347921874815e-24,7.80206590223296e-21
"Fgf11",3.59427315268038,4.91553240345102e-09,1.53435850587722e-06
"Fgfr1",3.3066293910899,2.66448644683631e-06,0.000364543660613124
"Flt3",3.73215723416797,5.29237411082021e-09,1.60545286758938e-06
"Fstl1",4.4766030935063,8.46778841345543e-12,5.17147494735333e-09
"Galm",5.02374317047591,4.11398229903055e-07,7.38391256304333e-05
"Galnt14",2.19396553263627,8.91689656296792e-06,0.00102701667472301
"Gck",3.58897251557936,5.13124136643503e-06,0.000646296354095192
"Glipr1",4.21383194917899,2.37533988910885e-12,1.55030516762504e-09
"Glis1",2.80957484582736,6.10269443662633e-11,3.05674029711762e-08
"Glis3",4.324384941188,5.70656395534212e-05,0.00480109275274057
"Gm10471",6.92892047255615,1.47762447771188e-07,2.89318872735985e-05
"Gm10614",6.6269266088903,1.53691123638609e-06,0.000228289615236439
"Gm11290",5.43094194675752,3.05563352197586e-23,8.2265293495395e-20
"Gm11967",5.35201521970125,2.53140484241337e-05,0.00251250679704604
"Gm12198",6.21755101855723,3.08989359106306e-05,0.00289348383323114
"Gm12296",2.79063645641176,5.73170324095755e-11,3.01096157082302e-08
"Gm13663",6.21755101855723,3.08989359106306e-05,0.00289348383323114
"Gm13832",2.10789432330249,4.12080474190748e-05,0.00369807885546681
"Gm15679",2.22377873969814,2.70388434599112e-05,0.00265919000200716
"Gm15680",2.31805754022695,1.53212137978599e-06,0.000228289615236439
"Gm17171",2.28634320378919,6.65825495468676e-08,1.54199457219401e-05
"Gm17473",4.96412951179862,5.32875271102316e-07,9.25569966854975e-05
