"","avg_logFC","p_val","p_val_adj"
"1700010I14Rik",2.08349530810981,1.8617698173855e-05,0.00190632221301551
"1700041M05Rik",4.05093537684035,3.73197086944121e-08,1.87304234478454e-05
"1700042O10Rik",2.97359531314831,4.44109900684095e-05,0.00341162306427621
"2310039L15Rik",1.77973683474447,0.000158276238699092,0.00810319049130198
"4732419C18Rik",1.94152957154299,3.21831276840407e-07,0.000101977024045323
"4833422C13Rik",1.22020243374888,0.000125323322566689,0.00689807809282566
"4930419G24Rik",1.89942796137772,8.7406494068408e-07,0.000233035716258976
"4930470P17Rik",1.99380664051167,5.35833833788349e-07,0.000157052896683365
"4930484I04Rik",0.945754128027502,0.000199776406206799,0.00952349237940021
"4930547E14Rik",1.62950581743082,6.16889330736196e-07,0.000175693168166255
"4930551O13Rik",3.68025922096253,9.10723720065773e-05,0.00550360410145898
"4930567K12Rik",0.969563524293001,9.77938418765693e-05,0.0057247706168607
"4931403E22Rik",1.1542622047085,1.62806497228313e-06,0.000334867258509603
"4933424G06Rik",1.98937317711916,1.01688883977474e-05,0.00122907265541434
"6430628N08Rik",2.905159254981,6.12378893683138e-08,2.68886622568017e-05
"6530409C15Rik",0.874523423945799,9.81472956319515e-05,0.0057247706168607
"9330175M20Rik",1.45049625336432,5.04767190768348e-06,0.000759917845806322
"AC156546.1",1.1308632898161,5.86821472371411e-05,0.00413206903428373
"Adamts9",1.16007604412578,5.18728513709442e-05,0.00375405746588241
"Ak5",0.92770534858941,4.40633669302108e-05,0.00340989382105473
"Ar",0.708168829310286,3.99402381369828e-05,0.0032072558350547
"Atp10a",1.47093063844673,4.76364949218963e-05,0.00353474852192603
"B3galt1",0.867315557736177,1.01096832303291e-05,0.00122824793981739
"Brinp3",0.999951615510009,2.77107827707146e-05,0.00248000929163251
"Cacna1h",0.958324303345148,7.77187310650381e-05,0.00488565363542363
"Cacna2d1",0.770311060389485,0.000137059291519444,0.00732065209008636
"Cadm1",1.12729762612636,5.05574820649037e-06,0.000759917845806322
"Ccdc148",0.794925013696492,6.33879977851554e-05,0.00435871487409479
"Ccdc172",5.02244768525951,5.79407262499917e-09,4.24560671596814e-06
"Cdh18",1.0527944713235,1.62437371225908e-06,0.000334867258509603
"Cfap20",0.797636671772373,2.34288621565175e-05,0.00226026284067645
"Cfap97d2",2.19743698661342,3.67015225145819e-06,0.000619120359656054
"Cntnap5a",1.29563048194624,3.81427415779427e-06,0.000637806471552412
"Cntrl",1.62950578705012,5.64241512518875e-06,0.000819035259389818
"Col12a1",2.74894710084191,0.000106428378635957,0.00610154675368194
"Col6a2",1.44637284565443,0.000168957747529532,0.0084784966038541
"Cpeb1",1.19359381270312,3.16767120821202e-06,0.000566656810286884
"Crh",5.09890595318337,7.806230233486e-09,5.54668140953878e-06
"Csmd2",1.39614617342626,5.11549955727952e-11,9.88329202256104e-08
"Csmd2os",1.84208513051795,3.21440417516274e-06,0.000566656810286884
"Csrp2",1.15460978009246,1.13708285001683e-05,0.00134393999770106
"Dnah9",2.19629488656798,3.01501989857153e-05,0.00260871537201864
"Dnajc5b",1.67062407920257,6.54751087469855e-06,0.000899462300745741
"Doc2a",2.20483988264229,5.27588464835262e-05,0.00380642902260222
"Dok6",0.592812768464471,0.000207620455826867,0.00969832836350296
"Dpp10",1.00884546664029,1.41211773848108e-05,0.00158427448478012
"Ecel1",2.92076932321891,6.72621215003403e-08,2.80195120935168e-05
"Efna5",0.944574645870861,7.87883116393441e-06,0.00103208286665885
"Elfn1",3.61420023922864,1.93563743222043e-11,4.12607513733679e-08
"Epha6",1.16379618248023,7.23990498056874e-06,0.000975639609105608
"Eya4",2.56732176331634,2.54859547760954e-05,0.0023527349117712
"Fancd2",1.80175489099835,6.16868678356535e-05,0.00427938957695386
"Fbxl12os",0.92854009046942,2.82172378007283e-05,0.00249674638472255
"Fbxl7",1.92726078302003,1.84397955417688e-07,6.35847538034404e-05
"Fez2",1.33181641082894,2.45260951053703e-05,0.00230958987160933
"Fndc9",0.836706397402233,6.66223566561928e-05,0.00447610607127338
"Gabrb1",0.614831742117844,0.000121954256165711,0.00677626397766252
"Gabrg1",2.31782594595021,4.52640402755649e-06,0.000705665322055637
"Gdpd3",1.19612130715555,7.56494010346857e-05,0.00479412744719273
"Glp2r",1.22330742298078,2.96406488089709e-05,0.00258860757445424
"Glra3",1.8445880449415,4.92470026385965e-10,7.21714823668632e-07
"Gm11861",3.33392946047716,0.00018824377278289,0.00910090718394475
"Gm12473",1.4701525141836,0.000199816512578159,0.00952349237940021
"Gm12709",1.23498743554188,9.52837310909404e-10,1.17590154032651e-06
"Gm15270",2.64496791629855,1.46575848018978e-05,0.00162886752812749
"Gm15584",1.51586250071337,2.73526957594517e-07,9.03332408686793e-05
"Gm16000",2.12769281618342,3.20342865867515e-05,0.00274138668571587
"Gm17477",1.24665739095609,3.62979542784704e-05,0.00299688180254075
"Gm17767",2.60415510896697,0.000120444393928825,0.00672423844962638
"Gm19299",3.61188438980714,1.19570627647373e-05,0.00138782233579264
"Gm20342",0.597603807042058,0.000110956091978991,0.00626915287885153
"Gm20619",3.97587121832669,6.02240770522038e-05,0.00420278023428594
"Gm26811",2.84667162138203,1.75627111762753e-06,0.000355009010052848
"Gm26871",0.81037608091227,0.000128282119142255,0.00697902350266261
"Gm2721",2.26432747776207,2.94802414292156e-06,0.000535854807001742
"Gm28320",1.115152172048,7.16917286802228e-05,0.00465334586643276
"Gm29638",4.15702036464443,1.79540070625808e-05,0.00186588024607187
"Gm30382",1.18779870650717,1.77586698036536e-09,1.66562115822427e-06
"Gm31816",1.72908782348281,1.33996173966222e-06,0.000293639466089717
"Gm32036",1.08052201831607,2.25984727466438e-05,0.0022078707873471
"Gm32743",1.78036747506127,8.31843617190148e-05,0.00510603904080487
"Gm34006",2.71371366876851,1.76882154979924e-09,1.66562115822427e-06
"Gm35733",4.32904211377038,8.11895310686839e-06,0.00104029077841448
"Gm36500",2.71807752522316,1.65987373445037e-07,6.05087760942564e-05
"Gm37459",1.98075021865446,1.73135390557621e-06,0.000353015533721312
"Gm38039",1.2452377492184,0.000122578878804047,0.00677884327876719
"Gm38405",2.48774104886721,9.57931612251935e-05,0.00566539977793854
"Gm39090",1.43632707149412,8.10456208265098e-06,0.00104029077841448
"Gm41168",2.64616538627975,4.14181123915007e-08,2.02327479032481e-05
"Gm43000",1.8497611651862,0.000133930003148206,0.00720273099499801
"Gm43507",2.03616692409059,9.32557586608028e-06,0.00115696350744894
"Gm45350",2.38519679964576,3.90069070619133e-05,0.00314307201645273
"Gm45479",1.19361508825151,6.00169659106937e-05,0.00420278023428594
"Gm48094",0.914999418896099,0.000168265220006847,0.00846894910278837
"Gm48715",0.722973900034875,0.000152817834370745,0.00791009399630294
"Gm48749",0.945242246403589,0.000170159092494267,0.00850722899958543
"Gm49267",2.4644262567691,1.6826653380726e-07,6.05087760942564e-05
"Gm49871",1.58439316189129,0.000207859253836491,0.00969832836350296
"Gm50048",2.23098651443034,0.000127699990149714,0.00696351016053604
"Gm50152",1.84316786752624,1.42167201302177e-05,0.00158739835053974
