"","avg_logFC","p_val","p_val_adj"
"0610006L08Rik",2.08829088957664,5.30913838102298e-05,0.000651956288679837
"0610031O16Rik",3.97676862550561,1.8635669124729e-05,0.00026608040506752
"1500009L16Rik",1.35852471179304,1.52343731878584e-14,1.56477088945057e-12
"1700001D01Rik",1.7342124375531,2.165250435826e-05,0.000301836594157753
"1700001L19Rik",2.16203005210349,4.13080993303186e-06,7.41140577016549e-05
"1700010I14Rik",2.42658092301777,8.40671203246522e-05,0.000963989047426778
"1700011B04Rik",4.26298362049446,2.41564386985873e-09,9.96892649027535e-08
"1700016D06Rik",1.64361459252102,5.34813511881102e-05,0.000655529975247419
"1700017M07Rik",3.50767024107626,4.75665729372018e-05,0.000594582161715022
"1700019C18Rik",5.19152971878825,9.09921573090892e-09,3.33051404515313e-07
"1700026F02Rik",1.16655095429451,7.1082462104107e-07,1.61551050236607e-05
"1700029J07Rik",0.601214012906092,4.30617031539902e-05,0.000545475685268041
"1700030L22Rik",2.67044146618594,0.000390669812007697,0.0033744296017614
"1700034J05Rik",3.16844834996709,9.60245701677612e-08,2.70707564834646e-06
"1700042O10Rik",4.33940577173887,3.23457322955194e-05,0.00042987056460946
"1700060O08Rik",2.85898113150668,0.000444174653252161,0.00374980194685641
"1700080G11Rik",5.02802398716113,1.39843697507372e-07,3.78148773871975e-06
"1700087M22Rik",0.853665039749037,0.000745763031586937,0.00573985763363428
"1700088E04Rik",0.749705620282326,0.000412310067481949,0.00352686145522003
"1700095J03Rik",2.21914937713973,0.000152373003328225,0.00156083671750985
"1700096J18Rik",2.02758331372253,2.04118520964838e-08,6.77837193680225e-07
"1700105P06Rik",1.09827247593885,4.13752537979314e-05,0.00052789803834626
"1700109G15Rik",4.5143561445333,5.65306506212745e-14,5.40816693669232e-12
"1810008I18Rik",4.71290888974429,3.67150220703837e-06,6.71461756290661e-05
"1810019N24Rik",1.42120352688109,1.70336659479239e-06,3.44048893003036e-05
"1810046K07Rik",2.62421220937208,1.27650069070164e-14,1.33704617800765e-12
"2010007H06Rik",1.35549775266083,0.00115540459553918,0.00815181623583287
"2010204K13Rik",0.798133180802628,0.00122948592287034,0.00857404656738528
"2210011K15Rik",1.89560109356677,6.15686815420757e-06,0.000104453909146287
"2210408I21Rik",0.737953140776178,7.17780706344872e-06,0.000118808174379382
"2210420H20Rik",3.10250801822054,7.43247049129046e-06,0.000122335694421862
"2310002D06Rik",1.42195320710239,2.43046464422277e-06,4.67397046965916e-05
"2310034O05Rik",1.69584408317634,0.000383184937022761,0.00332277514106779
"2310039L15Rik",1.05462982577888,0.000952745814274068,0.00698609963427305
"2310040G24Rik",1.79952646637182,1.64138299866291e-06,3.34332432471691e-05
"2310081O03Rik",3.09539525036725,0.00121874901882603,0.00851485605032688
"2410004P03Rik",1.77590747708939,2.03579960969562e-05,0.000287113835321628
"2410124H12Rik",3.55808362701769,1.65715904562666e-10,8.56037323764262e-09
"2600002D14Rik",0.840470884713738,0.000872358581083903,0.00650750020253663
"2700069I18Rik",2.5838726767751,2.96927357265131e-08,9.51460092808462e-07
"3110006O06Rik",1.81380890916938,1.0426991902275e-05,0.000163114100006073
"3110045C21Rik",1.03759195564726,0.000750876207807536,0.0057681194733631
"3300002A11Rik",1.41805865507373,6.5560838120607e-05,0.00077943571565549
"4732419C18Rik",2.20339870514152,1.77935431855233e-05,0.000256265703487157
"4732463B04Rik",0.714027217812917,0.0004331608880502,0.00367202928129568
"4732471J01Rik",0.601888762064009,0.000395966729110125,0.00340594250020912
"4833423E24Rik",2.25965844719998,6.69027173031672e-05,0.000792898930471347
"4833427G06Rik",2.33418044507421,7.61789383948294e-06,0.000124613695522406
"4921504A21Rik",1.2415520678121,8.65192414169891e-13,6.7633035325965e-11
"4921507P07Rik",0.867009996422696,0.000238041657667854,0.00227153978000708
"4921511C10Rik",1.05859563449319,0.000265528154709594,0.00247763947176206
"4921539E11Rik",1.26226878960175,0.000333378746324044,0.00298161889219952
"4930401C15Rik",1.51955925936914,0.000133475468201128,0.00140194209565195
"4930405L22Rik",3.35638785334348,4.91232496687559e-15,5.46960553034467e-13
"4930412B13Rik",2.82202000548648,8.90247908033675e-06,0.000142203553724487
"4930415O20Rik",2.68718391769349,1.67776283754116e-18,2.92252976452278e-16
"4930417O13Rik",1.17861498379569,0.000255002469540215,0.00240140918365874
"4930419G24Rik",1.43872292119535,9.57904325881672e-06,0.000151278096757237
"4930432K21Rik",1.30013296562071,0.000191344207549732,0.00188428892607502
"4930441H08Rik",1.9319178886191,3.8271782889493e-05,0.000495588922063642
"4930444A19Rik",1.99636686400079,4.68623660400529e-07,1.11277123661416e-05
"4930452N14Rik",1.93501541496438,2.54580487987175e-05,0.00034614586617035
"4930455H04Rik",2.1185949351948,6.17475827332502e-05,0.000742427832319024
"4930458B22Rik",6.97219400390071,1.7574933234749e-24,5.2329857384365e-22
"4930459L07Rik",2.11930700336083,0.00018786724796474,0.00185668428556742
"4930465K09Rik",2.47008574776316,3.88935300746388e-09,1.53832618951929e-07
"4930469K13Rik",1.92484621339843,9.82561080351708e-05,0.00109540886114094
"4930470P17Rik",2.9860079416065,8.22043511127247e-11,4.59581287866499e-09
"4930474H06Rik",2.28898176148461,0.000180095962826752,0.00179284110252026
"4930477N07Rik",1.6047196322265,0.000305821939700022,0.00278019945181838
"4930478K11Rik",0.987226322084169,0.000174630195513807,0.00174432724504933
"4930480K15Rik",1.12277957236387,8.00924690226589e-05,0.00092373495348092
