"","avg_logFC","p_val","p_val_adj"
"2610307P16Rik",-1.63687091608831,0.000125583090797348,0.00806399059661214
"4632428C04Rik",-2.72497715816338,2.2204955630303e-05,0.00235651252973642
"6330411D24Rik",-1.50245200739587,6.67048700755579e-06,0.00101606338346779
"9530036O11Rik",-1.1548936598729,1.35689601536303e-05,0.00170377774919148
"A730056A06Rik",-2.43454168325291,1.57196911457535e-07,5.11172110539604e-05
"A830036E02Rik",-2.03173389560863,1.77443530184153e-05,0.00206453105485819
"A930029G22Rik",-1.25261939527929,1.4986569305234e-05,0.0018100921136093
"Abcc8",-1.27340463948613,4.61866110628371e-07,0.00011714772029978
"Abtb2",-1.78027004369474,4.13749077980669e-05,0.00372032078323678
"Acan",-3.08594988777634,6.53500324183862e-05,0.00513169728253854
"Adamts17",-1.29739084855529,1.82555908785143e-05,0.00208843033058125
"Adamtsl5",-5.31903620186514,4.57013170834883e-12,1.65595458072228e-08
"Adcy1",-1.15482690295808,5.43522316645108e-05,0.00454980199319687
"Adora2a",-1.57943905661386,3.70232152973142e-05,0.00340237982898941
"Afap1",-1.41990972031486,7.20549559990383e-05,0.0053911560588779
"Aff2",-0.848510122418682,4.675248725028e-05,0.00406106194046611
"Akain1",-1.71826006171348,2.14714191121434e-05,0.00232872179579297
"Antxr2",-2.32947500654653,0.000103957024341466,0.00693885780367617
"Anxa6",-1.16998083707873,7.76013933181553e-05,0.0056236621146334
"Aox3",-2.27038140053167,6.55849550437582e-05,0.00513424938188236
"Aox4",-3.06516549162078,6.84729135727787e-05,0.00526432867292674
"Arap2",-1.2398356582778,5.25108015635147e-05,0.00446940929817781
"Arhgap15",-1.70540030140162,3.39283608237496e-05,0.00322306720574376
"Arhgap20",-1.06625856078798,2.71997371751652e-05,0.00274858220601948
"Arhgap22",-1.59473049786077,3.7424188371829e-05,0.00341448602109018
"Arhgef37",-1.70536173442642,3.67760143544158e-05,0.00339195210212874
"Asap1",-1.22256499347365,4.10928787376147e-09,2.89522160083572e-06
"Atp6ap1l",-3.41248049593152,1.55211197467621e-06,0.000320063155493394
"BC030500",-1.54942686758385,5.4269560571769e-05,0.00454980199319687
"Brinp1",-1.17075723039545,2.98711452297823e-05,0.0029252962455915
"Cacna1i",-1.24479401164959,7.10127012359703e-05,0.00532889394718684
"Cacnb3",-0.913353291429959,0.000117362377053333,0.00763276751687371
