"","avg_logFC","p_val","p_val_adj"
"1700041M05Rik",3.23353678392328,1.4303235424333e-05,0.00176110321991641
"1700042O10Rik",2.14148143928681,7.63139221710617e-06,0.00112524634911428
"1700125H03Rik",2.47075642968268,1.33160031958072e-05,0.00168873552529227
"4833422C13Rik",1.28673395372508,0.000128160504898815,0.00818806812658322
"4930419G24Rik",1.73423279073188,7.95768840546376e-10,8.77560037896447e-07
"4930470P17Rik",2.8481540823608,2.24485486477657e-09,1.77932808719353e-06
"4930528P14Rik",3.42165729070979,3.13125808357416e-06,0.000559304436843486
"4930539E08Rik",2.65326729438432,8.42895254543792e-05,0.00595520758669881
"4930547E14Rik",1.48021063218629,8.07596923722294e-09,5.15232919080972e-06
"4933408N05Rik",1.77002956555824,1.95680960623079e-05,0.00218383455688045
"5730522E02Rik",0.73967952300077,0.00016359718784374,0.00978650724638828
"6430628N08Rik",3.83359365622658,8.03364350026803e-13,8.45661118518775e-09
"6530403H02Rik",2.09072535746187,8.36282936157784e-07,0.000187606583281684
"9330154J02Rik",2.34284651709651,2.81359682731868e-06,0.000517784886816518
"9530026P05Rik",1.32361016570307,1.5064568476039e-09,1.36463469580805e-06
"A630012P03Rik",1.4551599799748,4.0625877838981e-06,0.000705777236649257
"A730049H05Rik",1.70413630088596,1.9973339460825e-07,6.07042077866114e-05
"A830012C17Rik",1.23589791491336,0.000119655828876193,0.00776202159492522
"Abl2",0.709223542211901,6.79551369522235e-05,0.00525492101724451
"AC160336.1",1.53884378801015,0.000121537175904145,0.00784394129677543
"Adamts18",1.66473289770037,3.74484341140989e-06,0.00065506350542759
"Adamts9",1.77827241702385,4.95358630846714e-11,9.66482793292005e-08
"Adgrg3",1.63801440733112,1.29692422385428e-07,4.43866941266052e-05
"Adgrv1",1.05941527094063,3.63573673401118e-05,0.00337790573338679
"Agap2",0.871227293278827,7.67495735675644e-06,0.00112524634911428
"Airn",0.782192446529652,0.000120319416688106,0.00778515735938043
"Arhgap18",1.01441504987777,3.51751533015494e-05,0.00329584375366497
"Arhgap40",1.90114262321069,1.20809396789835e-06,0.000255350795014781
"Atp2b4",1.29374542607027,8.70076110116751e-08,3.19834934159439e-05
"AW551984",2.34788322904296,6.97149486431571e-06,0.00104630174993197
"B020031H02Rik",1.43804776561994,4.73458716554149e-05,0.00409856890330356
"B3galt1",0.89650412133242,6.0413323868797e-08,2.55920706970868e-05
"Baiap3",1.53624202302458,6.11521009480773e-10,7.38600899260492e-07
"BC052040",0.690910270676412,8.97152323720256e-05,0.00623434836680564
"Cacna1e",1.38398296399046,3.67191765080603e-08,1.82616704500087e-05
"Car12",1.10060132791549,3.1712892489517e-05,0.0030468401708489
"Ccdc187",1.03750392398048,1.26387516847631e-06,0.000264933303911017
"Ccnd3",1.07895776618205,4.33957950807881e-07,0.000111231004158692
"Cdh18",0.88249645398457,7.9095706900719e-06,0.00114639057704562
"Cdh4",1.35161901547738,1.65044675724837e-05,0.00195616502574054
"Celf6",0.905528552127724,0.000170843728798828,0.00999095206623087
"Cers6",0.902073022945098,2.72568585968961e-06,0.000508340412832113
"Cfap20",0.902127217439584,1.48201029636598e-07,4.94601436276668e-05
"Cfap97d2",2.57042532105421,8.43208898206589e-07,0.000187606583281684
"Chst9",1.55328020833896,1.05767357811909e-05,0.0014161265348371
"Clcn5",0.641455695554565,7.0049130034359e-05,0.00528787539937941
"Clec12b",3.69294869696814,8.87490451414205e-06,0.00124366341489889
"Clic6",0.987117001587529,8.68310695990508e-07,0.00019151158689655
"Cpne2",2.09790332646063,3.05747611767981e-06,0.000549998753537807
"Csgalnact1",1.37687579480252,1.64600321912406e-07,5.28471210757754e-05
"Csmd3",0.627816623258199,7.74774918303311e-05,0.0056236621146334
"Dchs2",1.48640023405335,2.06810982171523e-09,1.69211411348339e-06
"Ddc",2.11770209892422,7.0971593069134e-06,0.00105889616859148
"Ddx5",1.11714657216454,3.5214227142533e-05,0.00329584375366497
"Dhrs9",2.56036491976428,1.20495794115386e-05,0.00155139864058002
"Dnajc5b",2.3046269401147,4.77241119510678e-07,0.000118673958384989
"Dtnbos",0.878285406154217,2.88037516879945e-05,0.00285221509396227
"Elmo1",0.86048901421234,2.57693612870281e-07,7.30659758063973e-05
"Epha6",1.10272384148396,2.67021957147434e-09,1.99198380031986e-06
"Fam117a",1.18634388597432,0.000170953839959951,0.00999095206623087
"Fancd2",1.48966910004921,9.84382503160303e-05,0.00662277925998884
"Fbxl12os",0.836480448213311,0.000149901697952928,0.00918383252869099
"Fbxl7",1.64425676823161,8.33582863500438e-12,2.34922174998057e-08
"Fgf10",1.27793591587407,2.2368140185725e-06,0.000443238677867757
"Filip1",0.775143546896733,2.20709804706089e-05,0.00235213591872489
"Fndc3a",0.662005905242885,1.39679729267441e-05,0.00173668463389185
"G630016G05Rik",1.1557202016889,1.67232467008618e-05,0.00196706268631802
"Galnt10",0.862445135265644,1.87959897085398e-05,0.00212831019181876
"Galnt16",0.950778935524181,3.10675238609028e-05,0.00300762089774022
"Garem1",0.942099424796485,2.28079093931547e-05,0.00239049509854536
"Gc",1.75962132681019,0.000105571060425025,0.00700969732099562
"Gdpd5",1.00862903270226,6.84037671478222e-08,2.66922023067287e-05
"Gfra1",1.60273041704051,3.60892635427362e-08,1.82616704500087e-05
"Gfra2",1.25524014341633,1.8823551193277e-07,5.89432780822564e-05
"Glce",0.940138533222724,3.8506275944145e-07,0.000102807703478663
"Gm12709",0.892880181338199,7.96999771873284e-06,0.00114858535305648
"Gm13571",3.4172104410377,5.55757056608507e-09,3.70953210100478e-06
"Gm13663",4.12798309121626,9.46753229181676e-05,0.00642288868695025
"Gm14582",1.4065723049211,1.4864142195722e-05,0.0018038952280014
"Gm14636",1.25094117485719,7.02483682497738e-16,1.78177961228726e-11
"Gm14637",2.12794661064674,9.74259251839555e-05,0.00657210416586662
"Gm15345",1.44012618777798,6.36063410766548e-08,2.55920706970868e-05
"Gm15737",2.2256718180542,2.31011153090522e-06,0.000447470901689503
"Gm16036",1.60891756204708,2.76950278070747e-05,0.00278752652896287
