"","avg_logFC","p_val","p_val_adj"
"1110015O18Rik",1.11305488805626,0.000584846068977976,0.00561138448894219
"1110017D15Rik",0.884612499374625,4.86132484739578e-05,0.00076428124470852
"1700003G18Rik",1.74633712148242,0.000166485119468427,0.00207719224639095
"1700024B18Rik",1.62032150699501,3.77803569492293e-06,9.33704176733737e-05
"1700026F02Rik",1.4309386538735,0.000708137116906071,0.00654125780885051
"1700026J12Rik",1.44096472457486,8.3983634211122e-05,0.00118312174409454
"1700027H10Rik",1.63787715283966,8.19330732717776e-11,1.10468089156797e-08
"1700030L22Rik",1.73987741456645,5.75872776074239e-07,1.93349096863935e-05
"1700034J05Rik",1.47834672247701,0.000190745302125754,0.00232139556726957
"1700071M16Rik",1.34328549484423,6.65970345191705e-06,0.000148485440081184
"1700087M22Rik",1.04443996375215,9.95501121128699e-06,0.000208763394717478
"1700088E04Rik",0.843433401213294,1.13487061725412e-05,0.000233988696041058
"1700110K17Rik",1.39571811666079,5.28069968694416e-06,0.000123266128654083
"1700125H03Rik",2.42943696181767,1.25943807385854e-06,3.77096690296814e-05
"1810019N24Rik",0.950748054630995,0.000426433232906554,0.0043577415134165
"2010308F09Rik",1.17464369062185,0.000985115702356364,0.00855894047472372
"2310022B05Rik",0.700234827426038,0.000168643338156065,0.0020955182275126
"2700081O15Rik",1.12961884021243,9.99110752383733e-08,4.40566782455238e-06
"2810459M11Rik",1.04675990340954,1.57925332684548e-06,4.5541916766993e-05
"2900052N01Rik",1.68546288213518,8.89305917112405e-11,1.18048484419993e-08
"2900060B14Rik",0.60892592786928,0.000532327564310535,0.00520444169936405
"4430402I18Rik",1.04107214905932,2.79009584692943e-06,7.22116062815344e-05
"4833422C13Rik",0.97625042963563,5.90470611394303e-06,0.000134922796669264
"4921511C10Rik",0.613297991718867,0.000405754501856319,0.0042048249222551
"4921511I17Rik",1.18632761103904,0.000195672424218522,0.00237124516464915
"4921534H16Rik",1.70772519395553,0.000145369217671911,0.00186617552018298
"4922502N22Rik",3.66838352462106,1.75174520804215e-07,7.0485847808596e-06
"4930405A21Rik",1.05055138156913,3.90014608770031e-05,0.000641357356644051
"4930412F09Rik",1.93491402143793,2.25453831722975e-05,0.00041060021743494
"4930412L05Rik",1.55977437594311,2.83126981137544e-05,0.000490030112146708
