"","avg_logFC","p_val","p_val_adj"
"1700003D09Rik",-6.77658652868185,4.10590961123736e-05,0.00381154498910888
"4930405A10Rik",-2.830015718592,5.451936797831e-05,0.00463410837268935
"6030407O03Rik",-1.92031625796719,6.53609484938302e-06,0.000963216127835014
"9330111N05Rik",-1.13640012292666,2.74681691486184e-10,2.49104600136644e-07
"9330199G10Rik",-1.57680469365726,2.5077938155055e-07,7.39140879697554e-05
"A330049N07Rik",-0.610460847588573,2.71890922317289e-05,0.00278735480753016
"A330072L02Rik",-1.10656861823872,0.000161056702467498,0.00983822794684231
"A530053G22Rik",-2.00069283420937,1.75153970787347e-06,0.000344162956432904
"Aarsd1",-0.76876902393211,7.33174559863075e-05,0.00570236600273888
"Abca6",-0.900536690813303,6.85705924319255e-05,0.00549940815970194
"Abcb9",-1.24570477490241,8.92497372052143e-05,0.00656180610149712
"Abhd11",-1.70008380265288,4.24516550214355e-05,0.00386473966699007
"Actg1",-0.882875702168754,2.62195784006084e-05,0.00272348651589404
"Acvr1c",-3.45847218813022,2.40561779556361e-07,7.36650155864861e-05
"Acvrl1",-8.12824063537354,6.98182253886141e-05,0.00552430851153735
"Adamtsl4",-0.601789089218118,0.000153686343102294,0.00958669387303969
"Adgrg6",-2.0308876784956,8.09040569836154e-05,0.00613388025600215
"Adipor2",-0.625617060514976,0.000129805227242622,0.0085018818143161
"Adora2a",-2.46439253481132,4.88861979711529e-11,6.43080338004778e-08
"Agmo",-1.18325592067898,8.35785534676776e-08,3.3977564003696e-05
"AI593442",-2.72529988072498,4.59552180629333e-07,0.000125997451942547
"Ak2",-1.26291312302841,3.31915856340905e-06,0.000584048057959865
"Anxa5",-2.1357327504219,3.85386380772304e-05,0.00362032887339847
"Apln",-2.00257602837116,0.000131253189867123,0.00854922365711849
"Arfgef3",-1.47707010254313,1.2821139075339e-09,9.44717619554435e-07
"Arl6",-1.04452181102334,6.68173888378429e-05,0.00539550414865582
"Arl6ip4",-1.35163321058977,6.93492581284167e-08,2.86874764457884e-05
"Arpp19",-0.846700487083964,8.58260626584278e-05,0.0064040909222249
"Atp5f1",-0.882167884865181,2.14041439503213e-05,0.00233660979536643
"Atp5g3",-1.02455500250475,7.26404169810026e-05,0.0056714847417055
"Avpi1",-2.18003615888903,5.46368432761202e-05,0.00463410837268935
"B3gnt2",-1.757206797903,1.57533042237606e-09,1.0924916479178e-06
"Bag1",-1.13612338118908,3.5184791195899e-05,0.00341408309303745
"Bcat1",-1.51443238667011,5.76178382288788e-05,0.00481762768652033
"Brk1",-0.773292495311095,6.4845983681003e-06,0.000961637389443
"Cacna1h",-1.91905230327179,2.61151876632634e-06,0.000481070320243819
"Cacna1i",-2.163937073711,9.1669120508963e-05,0.00660998835621052
"Cacng2",-1.93462993481935,5.95093203401236e-06,0.000911149522272581
"Camk2n1",-1.76880901856104,9.9476431218213e-13,1.95462897641187e-09
"Car11",-1.0959828768991,7.12635638757117e-07,0.000176535436616186
"Carns1",-0.714653605272574,9.05110919054883e-07,0.000213416103603951
"Ccdc127",-1.08268593059635,6.37373878062549e-07,0.000165149875503701
"Ccdc85b",-1.16310890527035,1.09803930688261e-05,0.00142256422071347
"Cd4",-3.37013816653195,5.08658278869049e-05,0.0044445954774323
"Cdk2ap1",-1.05212835133841,4.16514471827797e-05,0.00385137048283436
"Cds1",-1.30897303971928,1.3873647016625e-06,0.000300116259637616
"Chchd10",-1.50114099605799,0.00011660667719618,0.0079154080007112
"Chst15",-1.86207483032045,0.000160622817479289,0.00983720886582896
"Chst8",-1.54757990211376,1.09372514253175e-07,4.07362171260853e-05
"Cited2",-1.84406040348624,1.24181948566313e-05,0.00158785697832533
"Cited4",-2.87338327496267,0.000150358009948941,0.00940395627741668
"Clca4a",-4.77860916335847,4.48828072416051e-11,6.43080338004778e-08
